var1_name,var2_name,line_order1,line_order2,line_order3,op1,op2,op3,input,result,result_emojis,model_output,model_input,expected,actual
a,b,first,second,third,sum,difference,product,"[3, 5]",p,✅,outputs/arithmetic/869/0.py,input/arithmetic/869.txt,,
a,b,first,second,third,sum,difference,product,"[7, 10]",p,✅,outputs/arithmetic/869/0.py,input/arithmetic/869.txt,,
a,b,first,second,third,sum,difference,product,"[0, 0]",p,✅,outputs/arithmetic/869/0.py,input/arithmetic/869.txt,,
a,b,first,second,third,sum,difference,product,"[1, 0]",p,✅,outputs/arithmetic/869/0.py,input/arithmetic/869.txt,,
a,b,first,second,third,sum,difference,product,"[0, 1]",p,✅,outputs/arithmetic/869/0.py,input/arithmetic/869.txt,,
a,b,first,second,third,sum,difference,product,"[100, 20]",p,✅,outputs/arithmetic/869/0.py,input/arithmetic/869.txt,,
a,b,first,second,third,sum,product,difference,"[3, 5]",p,✅,outputs/arithmetic/871/0.py,input/arithmetic/871.txt,,
a,b,first,second,third,sum,product,difference,"[7, 10]",p,✅,outputs/arithmetic/871/0.py,input/arithmetic/871.txt,,
a,b,first,second,third,sum,product,difference,"[0, 0]",p,✅,outputs/arithmetic/871/0.py,input/arithmetic/871.txt,,
a,b,first,second,third,sum,product,difference,"[1, 0]",p,✅,outputs/arithmetic/871/0.py,input/arithmetic/871.txt,,
a,b,first,second,third,sum,product,difference,"[0, 1]",p,✅,outputs/arithmetic/871/0.py,input/arithmetic/871.txt,,
a,b,first,second,third,sum,product,difference,"[100, 20]",p,✅,outputs/arithmetic/871/0.py,input/arithmetic/871.txt,,
a,b,first,second,third,difference,sum,product,"[3, 5]",p,✅,outputs/arithmetic/875/0.py,input/arithmetic/875.txt,,
a,b,first,second,third,difference,sum,product,"[7, 10]",p,✅,outputs/arithmetic/875/0.py,input/arithmetic/875.txt,,
a,b,first,second,third,difference,sum,product,"[0, 0]",p,✅,outputs/arithmetic/875/0.py,input/arithmetic/875.txt,,
a,b,first,second,third,difference,sum,product,"[1, 0]",p,✅,outputs/arithmetic/875/0.py,input/arithmetic/875.txt,,
a,b,first,second,third,difference,sum,product,"[0, 1]",p,✅,outputs/arithmetic/875/0.py,input/arithmetic/875.txt,,
a,b,first,second,third,difference,sum,product,"[100, 20]",p,✅,outputs/arithmetic/875/0.py,input/arithmetic/875.txt,,
a,b,first,second,third,difference,product,sum,"[3, 5]",f,❌,outputs/arithmetic/879/0.py,input/arithmetic/879.txt,'-2\n15\n8','-2\n15'
a,b,first,second,third,difference,product,sum,"[7, 10]",f,❌,outputs/arithmetic/879/0.py,input/arithmetic/879.txt,'-3\n70\n17','-3\n70'
a,b,first,second,third,difference,product,sum,"[0, 0]",f,❌,outputs/arithmetic/879/0.py,input/arithmetic/879.txt,'0\n0\n0','0\n0'
a,b,first,second,third,difference,product,sum,"[1, 0]",f,❌,outputs/arithmetic/879/0.py,input/arithmetic/879.txt,'1\n0\n1','1\n0'
a,b,first,second,third,difference,product,sum,"[0, 1]",f,❌,outputs/arithmetic/879/0.py,input/arithmetic/879.txt,'-1\n0\n1','-1\n0'
a,b,first,second,third,difference,product,sum,"[100, 20]",f,❌,outputs/arithmetic/879/0.py,input/arithmetic/879.txt,'80\n2000\n120','80\n2000'
a,b,first,second,third,product,sum,difference,"[3, 5]",p,✅,outputs/arithmetic/883/0.py,input/arithmetic/883.txt,,
a,b,first,second,third,product,sum,difference,"[7, 10]",p,✅,outputs/arithmetic/883/0.py,input/arithmetic/883.txt,,
a,b,first,second,third,product,sum,difference,"[0, 0]",p,✅,outputs/arithmetic/883/0.py,input/arithmetic/883.txt,,
a,b,first,second,third,product,sum,difference,"[1, 0]",p,✅,outputs/arithmetic/883/0.py,input/arithmetic/883.txt,,
a,b,first,second,third,product,sum,difference,"[0, 1]",p,✅,outputs/arithmetic/883/0.py,input/arithmetic/883.txt,,
a,b,first,second,third,product,sum,difference,"[100, 20]",p,✅,outputs/arithmetic/883/0.py,input/arithmetic/883.txt,,
