double_class,triple_class,input,result,result_emojis,model_output,model_input,expected,actual
letter,number,aaaAB1!1kf!kd3?f3fk?lk3,p,✅,outputs/double_letters/1/0.py,input/double_letters/1.txt,,
letter,number,???!!!!ABCdefg1234aaaee,p,✅,outputs/double_letters/1/0.py,input/double_letters/1.txt,,
letter,number,A?,p,✅,outputs/double_letters/1/0.py,input/double_letters/1.txt,,
letter,number,?,p,✅,outputs/double_letters/1/0.py,input/double_letters/1.txt,,
letter,number,!!!!!,p,✅,outputs/double_letters/1/0.py,input/double_letters/1.txt,,
letter,number,AAAaaaaaAAAA,p,✅,outputs/double_letters/1/0.py,input/double_letters/1.txt,,
letter,number,1A2B3C!,p,✅,outputs/double_letters/1/0.py,input/double_letters/1.txt,,
letter,exclamation point,aaaAB1!1kf!kd3?f3fk?lk3,p,✅,outputs/double_letters/4/0.py,input/double_letters/4.txt,,
letter,exclamation point,???!!!!ABCdefg1234aaaee,p,✅,outputs/double_letters/4/0.py,input/double_letters/4.txt,,
letter,exclamation point,A?,p,✅,outputs/double_letters/4/0.py,input/double_letters/4.txt,,
letter,exclamation point,?,p,✅,outputs/double_letters/4/0.py,input/double_letters/4.txt,,
letter,exclamation point,!!!!!,p,✅,outputs/double_letters/4/0.py,input/double_letters/4.txt,,
letter,exclamation point,AAAaaaaaAAAA,p,✅,outputs/double_letters/4/0.py,input/double_letters/4.txt,,
letter,exclamation point,1A2B3C!,p,✅,outputs/double_letters/4/0.py,input/double_letters/4.txt,,
letter,question mark,aaaAB1!1kf!kd3?f3fk?lk3,f,❌,outputs/double_letters/5/0.py,input/double_letters/5.txt,'aaaaaaAABB1!1kkff!kkdd3???ff3ffkk???llkk3','aaaaaaAABB11!!11kkff!!kkdd33???ff33ffkk???llkk33'
letter,question mark,???!!!!ABCdefg1234aaaee,f,❌,outputs/double_letters/5/0.py,input/double_letters/5.txt,'?????????!!!!AABBCCddeeffgg1234aaaaaaeeee','?????????!!!!!!!!AABBCCddeeffgg11223344aaaaaaeeee'
letter,question mark,A?,p,✅,outputs/double_letters/5/0.py,input/double_letters/5.txt,,
letter,question mark,?,p,✅,outputs/double_letters/5/0.py,input/double_letters/5.txt,,
letter,question mark,!!!!!,f,❌,outputs/double_letters/5/0.py,input/double_letters/5.txt,'!!!!!','!!!!!!!!!!'
letter,question mark,AAAaaaaaAAAA,p,✅,outputs/double_letters/5/0.py,input/double_letters/5.txt,,
letter,question mark,1A2B3C!,f,❌,outputs/double_letters/5/0.py,input/double_letters/5.txt,'1AA2BB3CC!','11AA22BB33CC!!'
number,letter,aaaAB1!1kf!kd3?f3fk?lk3,p,✅,outputs/double_letters/8/0.py,input/double_letters/8.txt,,
number,letter,???!!!!ABCdefg1234aaaee,p,✅,outputs/double_letters/8/0.py,input/double_letters/8.txt,,
number,letter,A?,p,✅,outputs/double_letters/8/0.py,input/double_letters/8.txt,,
number,letter,?,p,✅,outputs/double_letters/8/0.py,input/double_letters/8.txt,,
number,letter,!!!!!,p,✅,outputs/double_letters/8/0.py,input/double_letters/8.txt,,
number,letter,AAAaaaaaAAAA,p,✅,outputs/double_letters/8/0.py,input/double_letters/8.txt,,
number,letter,1A2B3C!,p,✅,outputs/double_letters/8/0.py,input/double_letters/8.txt,,
number,upper-case letter,aaaAB1!1kf!kd3?f3fk?lk3,p,✅,outputs/double_letters/10/0.py,input/double_letters/10.txt,,
number,upper-case letter,???!!!!ABCdefg1234aaaee,p,✅,outputs/double_letters/10/0.py,input/double_letters/10.txt,,
number,upper-case letter,A?,p,✅,outputs/double_letters/10/0.py,input/double_letters/10.txt,,
number,upper-case letter,?,p,✅,outputs/double_letters/10/0.py,input/double_letters/10.txt,,
number,upper-case letter,!!!!!,p,✅,outputs/double_letters/10/0.py,input/double_letters/10.txt,,
number,upper-case letter,AAAaaaaaAAAA,p,✅,outputs/double_letters/10/0.py,input/double_letters/10.txt,,
number,upper-case letter,1A2B3C!,p,✅,outputs/double_letters/10/0.py,input/double_letters/10.txt,,
number,lower-case letter,aaaAB1!1kf!kd3?f3fk?lk3,p,✅,outputs/double_letters/11/0.py,input/double_letters/11.txt,,
number,lower-case letter,???!!!!ABCdefg1234aaaee,p,✅,outputs/double_letters/11/0.py,input/double_letters/11.txt,,
number,lower-case letter,A?,p,✅,outputs/double_letters/11/0.py,input/double_letters/11.txt,,
number,lower-case letter,?,p,✅,outputs/double_letters/11/0.py,input/double_letters/11.txt,,
number,lower-case letter,!!!!!,p,✅,outputs/double_letters/11/0.py,input/double_letters/11.txt,,
number,lower-case letter,AAAaaaaaAAAA,p,✅,outputs/double_letters/11/0.py,input/double_letters/11.txt,,
number,lower-case letter,1A2B3C!,p,✅,outputs/double_letters/11/0.py,input/double_letters/11.txt,,
number,exclamation point,aaaAB1!1kf!kd3?f3fk?lk3,p,✅,outputs/double_letters/12/0.py,input/double_letters/12.txt,,
number,exclamation point,???!!!!ABCdefg1234aaaee,p,✅,outputs/double_letters/12/0.py,input/double_letters/12.txt,,
number,exclamation point,A?,p,✅,outputs/double_letters/12/0.py,input/double_letters/12.txt,,
number,exclamation point,?,p,✅,outputs/double_letters/12/0.py,input/double_letters/12.txt,,
number,exclamation point,!!!!!,p,✅,outputs/double_letters/12/0.py,input/double_letters/12.txt,,
number,exclamation point,AAAaaaaaAAAA,p,✅,outputs/double_letters/12/0.py,input/double_letters/12.txt,,
number,exclamation point,1A2B3C!,p,✅,outputs/double_letters/12/0.py,input/double_letters/12.txt,,
number,question mark,aaaAB1!1kf!kd3?f3fk?lk3,p,✅,outputs/double_letters/13/0.py,input/double_letters/13.txt,,
number,question mark,???!!!!ABCdefg1234aaaee,p,✅,outputs/double_letters/13/0.py,input/double_letters/13.txt,,
number,question mark,A?,p,✅,outputs/double_letters/13/0.py,input/double_letters/13.txt,,
number,question mark,?,p,✅,outputs/double_letters/13/0.py,input/double_letters/13.txt,,
number,question mark,!!!!!,p,✅,outputs/double_letters/13/0.py,input/double_letters/13.txt,,
number,question mark,AAAaaaaaAAAA,p,✅,outputs/double_letters/13/0.py,input/double_letters/13.txt,,
number,question mark,1A2B3C!,p,✅,outputs/double_letters/13/0.py,input/double_letters/13.txt,,
number,vowel (lower-case or upper-case),aaaAB1!1kf!kd3?f3fk?lk3,p,✅,outputs/double_letters/14/0.py,input/double_letters/14.txt,,
number,vowel (lower-case or upper-case),???!!!!ABCdefg1234aaaee,p,✅,outputs/double_letters/14/0.py,input/double_letters/14.txt,,
number,vowel (lower-case or upper-case),A?,p,✅,outputs/double_letters/14/0.py,input/double_letters/14.txt,,
number,vowel (lower-case or upper-case),?,p,✅,outputs/double_letters/14/0.py,input/double_letters/14.txt,,
number,vowel (lower-case or upper-case),!!!!!,p,✅,outputs/double_letters/14/0.py,input/double_letters/14.txt,,
number,vowel (lower-case or upper-case),AAAaaaaaAAAA,p,✅,outputs/double_letters/14/0.py,input/double_letters/14.txt,,
number,vowel (lower-case or upper-case),1A2B3C!,p,✅,outputs/double_letters/14/0.py,input/double_letters/14.txt,,
number,consonant (lower-case or upper-case),aaaAB1!1kf!kd3?f3fk?lk3,p,✅,outputs/double_letters/15/0.py,input/double_letters/15.txt,,
number,consonant (lower-case or upper-case),???!!!!ABCdefg1234aaaee,p,✅,outputs/double_letters/15/0.py,input/double_letters/15.txt,,
number,consonant (lower-case or upper-case),A?,p,✅,outputs/double_letters/15/0.py,input/double_letters/15.txt,,
number,consonant (lower-case or upper-case),?,p,✅,outputs/double_letters/15/0.py,input/double_letters/15.txt,,
number,consonant (lower-case or upper-case),!!!!!,p,✅,outputs/double_letters/15/0.py,input/double_letters/15.txt,,
number,consonant (lower-case or upper-case),AAAaaaaaAAAA,p,✅,outputs/double_letters/15/0.py,input/double_letters/15.txt,,
number,consonant (lower-case or upper-case),1A2B3C!,p,✅,outputs/double_letters/15/0.py,input/double_letters/15.txt,,
upper-case letter,number,aaaAB1!1kf!kd3?f3fk?lk3,p,✅,outputs/double_letters/17/0.py,input/double_letters/17.txt,,
upper-case letter,number,???!!!!ABCdefg1234aaaee,p,✅,outputs/double_letters/17/0.py,input/double_letters/17.txt,,
upper-case letter,number,A?,p,✅,outputs/double_letters/17/0.py,input/double_letters/17.txt,,
upper-case letter,number,?,p,✅,outputs/double_letters/17/0.py,input/double_letters/17.txt,,
upper-case letter,number,!!!!!,p,✅,outputs/double_letters/17/0.py,input/double_letters/17.txt,,
