hash_type,transform,input,result,result_emojis,model_output,model_input
md5,none,Hello world,p,✅,outputs/hash/0/0.py,input/hash/0.txt
md5,none,A B C,p,✅,outputs/hash/0/0.py,input/hash/0.txt
md5,none,password,p,✅,outputs/hash/0/0.py,input/hash/0.txt
md5,none,,p,✅,outputs/hash/0/0.py,input/hash/0.txt
md5,uppercase,Hello world,p,✅,outputs/hash/1/0.py,input/hash/1.txt
md5,uppercase,A B C,p,✅,outputs/hash/1/0.py,input/hash/1.txt
md5,uppercase,password,p,✅,outputs/hash/1/0.py,input/hash/1.txt
md5,uppercase,,p,✅,outputs/hash/1/0.py,input/hash/1.txt
md5,dash,Hello world,p,✅,outputs/hash/2/0.py,input/hash/2.txt
md5,dash,A B C,p,✅,outputs/hash/2/0.py,input/hash/2.txt
md5,dash,password,p,✅,outputs/hash/2/0.py,input/hash/2.txt
md5,dash,,p,✅,outputs/hash/2/0.py,input/hash/2.txt
sha1,none,Hello world,e,💀,outputs/hash/3/0.py,input/hash/3.txt
sha1,none,A B C,e,💀,outputs/hash/3/0.py,input/hash/3.txt
sha1,none,password,e,💀,outputs/hash/3/0.py,input/hash/3.txt
sha1,none,,p,✅,outputs/hash/3/0.py,input/hash/3.txt
sha1,uppercase,Hello world,e,💀,outputs/hash/4/0.py,input/hash/4.txt
sha1,uppercase,A B C,e,💀,outputs/hash/4/0.py,input/hash/4.txt
sha1,uppercase,password,e,💀,outputs/hash/4/0.py,input/hash/4.txt
sha1,uppercase,,p,✅,outputs/hash/4/0.py,input/hash/4.txt
sha1,dash,Hello world,p,✅,outputs/hash/5/0.py,input/hash/5.txt
sha1,dash,A B C,p,✅,outputs/hash/5/0.py,input/hash/5.txt
sha1,dash,password,p,✅,outputs/hash/5/0.py,input/hash/5.txt
sha1,dash,,p,✅,outputs/hash/5/0.py,input/hash/5.txt
sha224,none,Hello world,p,✅,outputs/hash/6/0.py,input/hash/6.txt
sha224,none,A B C,p,✅,outputs/hash/6/0.py,input/hash/6.txt
sha224,none,password,p,✅,outputs/hash/6/0.py,input/hash/6.txt
sha224,none,,p,✅,outputs/hash/6/0.py,input/hash/6.txt
sha224,uppercase,Hello world,p,✅,outputs/hash/7/0.py,input/hash/7.txt
sha224,uppercase,A B C,p,✅,outputs/hash/7/0.py,input/hash/7.txt
sha224,uppercase,password,p,✅,outputs/hash/7/0.py,input/hash/7.txt
sha224,uppercase,,p,✅,outputs/hash/7/0.py,input/hash/7.txt
sha224,dash,Hello world,p,✅,outputs/hash/8/0.py,input/hash/8.txt
sha224,dash,A B C,p,✅,outputs/hash/8/0.py,input/hash/8.txt
sha224,dash,password,p,✅,outputs/hash/8/0.py,input/hash/8.txt
sha224,dash,,p,✅,outputs/hash/8/0.py,input/hash/8.txt
sha256,none,Hello world,p,✅,outputs/hash/9/0.py,input/hash/9.txt
sha256,none,A B C,p,✅,outputs/hash/9/0.py,input/hash/9.txt
sha256,none,password,p,✅,outputs/hash/9/0.py,input/hash/9.txt
sha256,none,,p,✅,outputs/hash/9/0.py,input/hash/9.txt
sha256,uppercase,Hello world,p,✅,outputs/hash/10/0.py,input/hash/10.txt
sha256,uppercase,A B C,p,✅,outputs/hash/10/0.py,input/hash/10.txt
sha256,uppercase,password,p,✅,outputs/hash/10/0.py,input/hash/10.txt
sha256,uppercase,,p,✅,outputs/hash/10/0.py,input/hash/10.txt
sha256,dash,Hello world,p,✅,outputs/hash/11/0.py,input/hash/11.txt
sha256,dash,A B C,p,✅,outputs/hash/11/0.py,input/hash/11.txt
sha256,dash,password,p,✅,outputs/hash/11/0.py,input/hash/11.txt
sha256,dash,,p,✅,outputs/hash/11/0.py,input/hash/11.txt
sha384,none,Hello world,p,✅,outputs/hash/12/0.py,input/hash/12.txt
sha384,none,A B C,p,✅,outputs/hash/12/0.py,input/hash/12.txt
sha384,none,password,p,✅,outputs/hash/12/0.py,input/hash/12.txt
sha384,none,,p,✅,outputs/hash/12/0.py,input/hash/12.txt
sha384,uppercase,Hello world,p,✅,outputs/hash/13/0.py,input/hash/13.txt
sha384,uppercase,A B C,p,✅,outputs/hash/13/0.py,input/hash/13.txt
sha384,uppercase,password,p,✅,outputs/hash/13/0.py,input/hash/13.txt
sha384,uppercase,,p,✅,outputs/hash/13/0.py,input/hash/13.txt
sha384,dash,Hello world,p,✅,outputs/hash/14/0.py,input/hash/14.txt
sha384,dash,A B C,p,✅,outputs/hash/14/0.py,input/hash/14.txt
sha384,dash,password,p,✅,outputs/hash/14/0.py,input/hash/14.txt
sha384,dash,,p,✅,outputs/hash/14/0.py,input/hash/14.txt
sha512,none,Hello world,p,✅,outputs/hash/15/0.py,input/hash/15.txt
sha512,none,A B C,p,✅,outputs/hash/15/0.py,input/hash/15.txt
sha512,none,password,p,✅,outputs/hash/15/0.py,input/hash/15.txt
sha512,none,,p,✅,outputs/hash/15/0.py,input/hash/15.txt
sha512,uppercase,Hello world,p,✅,outputs/hash/16/0.py,input/hash/16.txt
sha512,uppercase,A B C,p,✅,outputs/hash/16/0.py,input/hash/16.txt
sha512,uppercase,password,p,✅,outputs/hash/16/0.py,input/hash/16.txt
sha512,uppercase,,p,✅,outputs/hash/16/0.py,input/hash/16.txt
sha512,dash,Hello world,p,✅,outputs/hash/17/0.py,input/hash/17.txt
sha512,dash,A B C,p,✅,outputs/hash/17/0.py,input/hash/17.txt
sha512,dash,password,p,✅,outputs/hash/17/0.py,input/hash/17.txt
sha512,dash,,p,✅,outputs/hash/17/0.py,input/hash/17.txt
blake2b,none,Hello world,e,💀,outputs/hash/18/0.py,input/hash/18.txt
blake2b,none,A B C,e,💀,outputs/hash/18/0.py,input/hash/18.txt
blake2b,none,password,e,💀,outputs/hash/18/0.py,input/hash/18.txt
blake2b,none,,p,✅,outputs/hash/18/0.py,input/hash/18.txt
