var,val,success_rate
all_allergens,"['eggs', 'peanuts', 'shellfish', 'strawberries', 'tomatoes', 'chocolate', 'pollen', 'cats']",1.0
name,Tom,1.0
example_allergen1,peanuts,1.0
example_allergen2,pollen,1.0
input,1,1.0
input,2,1.0
input,3,1.0
input,4,1.0
input,5,1.0
input,6,1.0
input,7,1.0
input,8,1.0
input,9,1.0
input,10,1.0
input,11,1.0
input,12,1.0
input,13,1.0
input,14,1.0
input,15,1.0
input,16,1.0
input,17,1.0
input,18,1.0
input,19,1.0
input,20,1.0
input,21,1.0
input,22,1.0
input,23,1.0
input,24,1.0
input,25,1.0
input,26,1.0
input,27,1.0
input,28,1.0
input,29,1.0
input,30,1.0
input,31,1.0
input,32,1.0
input,33,1.0
input,34,1.0
input,35,1.0
input,36,1.0
input,37,1.0
input,38,1.0
input,39,1.0
input,40,1.0
input,41,1.0
input,42,1.0
input,43,1.0
input,44,1.0
input,45,1.0
input,46,1.0
input,47,1.0
input,48,1.0
input,49,1.0
input,50,1.0
input,51,1.0
input,52,1.0
input,53,1.0
input,54,1.0
input,55,1.0
input,56,1.0
input,57,1.0
input,58,1.0
input,59,1.0
input,60,1.0
input,61,1.0
input,62,1.0
input,63,1.0
input,64,1.0
input,65,1.0
input,66,1.0
input,67,1.0
input,68,1.0
input,69,1.0
input,70,1.0
input,71,1.0
input,72,1.0
input,73,1.0
input,74,1.0
input,75,1.0
input,76,1.0
input,77,1.0
input,78,1.0
input,79,1.0
input,80,1.0
input,81,1.0
input,82,1.0
input,83,1.0
input,84,1.0
input,85,1.0
input,86,1.0
input,87,1.0
input,88,1.0
input,89,1.0
input,90,1.0
input,91,1.0
input,92,1.0
input,93,1.0
input,94,1.0
input,95,1.0
input,96,1.0
input,97,1.0
input,98,1.0
input,99,1.0
input,100,1.0
input,101,1.0
input,102,1.0
input,103,1.0
input,104,1.0
input,105,1.0
input,106,1.0
input,107,1.0
input,108,1.0
input,109,1.0
input,110,1.0
input,111,1.0
input,112,1.0
input,113,1.0
input,114,1.0
input,115,1.0
input,116,1.0
input,117,1.0
input,118,1.0
input,119,1.0
input,120,1.0
input,121,1.0
input,122,1.0
input,123,1.0
input,124,1.0
input,125,1.0
input,126,1.0
input,127,1.0
example_allergen2,shellfish,1.0
example_allergen1,chocolate,1.0
name,Alice,1.0
name,Destiny,1.0
name,Fritz von Kitzhausdorf,1.0
all_allergens,"('peanuts', 'eggs', 'chocolate', 'shellfish', 'cats', 'pollen', 'tomatoes', 'strawberries')",1.0
all_allergens,"('eggs', 'tomatoes', 'peanuts', 'pollen', 'strawberries', 'cats', 'chocolate', 'shellfish')",1.0
all_allergens,"('peanuts', 'tomatoes', 'strawberries', 'eggs', 'pollen', 'chocolate', 'shellfish', 'cats')",1.0
