var,val,success_rate
input,1,0.0
input,2,0.0
input,7,0.0
input,13,0.0
input,14,0.0
input,19,0.0
input,26,0.0
input,29,0.0
input,31,0.0
input,37,0.0
input,38,0.0
input,41,0.0
input,43,0.0
input,47,0.0
input,49,0.0
input,53,0.0
input,58,0.0
input,59,0.0
input,61,0.0
input,62,0.0
input,67,0.0
input,71,0.0
input,73,0.0
input,74,0.0
input,79,0.0
input,82,0.0
input,83,0.0
input,86,0.0
input,89,0.0
input,91,0.0
input,94,0.0
input,97,0.0
input,98,0.0
input,101,0.0
input,103,0.0
input,106,0.0
input,107,0.0
input,109,0.0
input,113,0.0
input,118,0.0
input,122,0.0
input,127,0.0
factor1,ninety-nine,0.09055118110236221
factor1,144546,0.09448818897637795
factor2,4948938,0.14173228346456693
factor2,a hundred and seventeen,0.15354330708661418
input,4,0.15555555555555556
input,8,0.15555555555555556
input,16,0.15555555555555556
input,28,0.15555555555555556
input,32,0.15555555555555556
input,52,0.15555555555555556
input,56,0.15555555555555556
input,64,0.15555555555555556
input,76,0.15555555555555556
input,104,0.15555555555555556
input,112,0.15555555555555556
input,116,0.15555555555555556
input,124,0.15555555555555556
factor1,seventeen,0.16404199475065617
factor1,eleven,0.17097862767154107
factor2,23,0.18799212598425197
factor2,twenty-three,0.2092238470191226
factor2,17,0.2125984251968504
factor1,five,0.24746906636670415
factor2,11,0.2532808398950131
input,11,0.28888888888888886
input,17,0.28888888888888886
input,22,0.28888888888888886
input,34,0.28888888888888886
input,77,0.28888888888888886
input,119,0.28888888888888886
input,121,0.28888888888888886
factor2,5,0.29133858267716534
factor1,4,0.3048368953880765
input,3,0.3111111111111111
input,5,0.3111111111111111
input,6,0.3111111111111111
input,9,0.3111111111111111
input,10,0.3111111111111111
input,18,0.3111111111111111
input,21,0.3111111111111111
input,25,0.3111111111111111
input,27,0.3111111111111111
input,35,0.3111111111111111
input,39,0.3111111111111111
input,42,0.3111111111111111
input,50,0.3111111111111111
input,54,0.3111111111111111
input,57,0.3111111111111111
input,63,0.3111111111111111
input,65,0.3111111111111111
input,70,0.3111111111111111
input,78,0.3111111111111111
input,81,0.3111111111111111
input,87,0.3111111111111111
input,93,0.3111111111111111
input,95,0.3111111111111111
input,111,0.3111111111111111
input,114,0.3111111111111111
input,123,0.3111111111111111
input,125,0.3111111111111111
input,126,0.3111111111111111
input,23,0.3333333333333333
input,46,0.3333333333333333
factor1,3,0.3669291338582677
factor1,three,0.3669291338582677
factor2,3,0.3858267716535433
input,44,0.4
input,68,0.4
input,88,0.4
input,92,0.4
input,117,0.4
input,12,0.4222222222222222
input,20,0.4222222222222222
input,24,0.4222222222222222
input,36,0.4222222222222222
input,40,0.4222222222222222
input,48,0.4222222222222222
input,72,0.4222222222222222
input,80,0.4222222222222222
input,84,0.4222222222222222
input,96,0.4222222222222222
input,100,0.4222222222222222
input,108,0.4222222222222222
input,33,0.4666666666666667
input,51,0.4666666666666667
input,66,0.4666666666666667
input,69,0.4666666666666667
input,102,0.4666666666666667
input,15,0.4888888888888889
input,30,0.4888888888888889
input,45,0.4888888888888889
input,75,0.4888888888888889
input,90,0.4888888888888889
input,105,0.4888888888888889
input,55,0.5111111111111111
input,85,0.5111111111111111
input,110,0.5111111111111111
input,60,0.5555555555555556
input,99,0.5555555555555556
input,115,0.5555555555555556
input,120,0.5555555555555556
