codex_result_emojis,incoder_result_emojis,codeparrot_result_emojis,var1_name,var2_name,line_order1,line_order2,line_order3,op1,op2,op3,codex_result,model_input,failed_inputs,failed_inputs,failed_inputs,errors,errors,errors,incoder_result,errors,errors,errors,failed_inputs,failed_inputs,failed_inputs,codeparrot_result,errors,errors,errors,failed_inputs,failed_inputs,failed_inputs
✅✅✅✅✅✅,✅✅✅✅✅✅,💀💀💀💀💀💀,a,b,first,second,third,sum,difference,product,pppppp,input/codex/arithmetic/869.txt,[],[],[],[],[],"[""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable""]",pppppp,[],[],"[""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable""]",[],[],[],eeeeee,[],[],"[""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable""]",[],[],[]
✅✅✅✅✅✅,❌❌✅✅❌❌,💀💀💀💀💀💀,a,b,first,second,third,sum,product,difference,pppppp,input/codex/arithmetic/871.txt,[],"[[""(8, 15, -2)"", ""(8, 0, 8)""], [""(17, 70, -3)"", ""(17, 0, 17)""], [""(1, 0, -1)"", ""(1, 0, 1)""], [""(120, 2000, 80)"", ""(120, 0, 120)""]]",[],[],[],"[""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable""]",ffppff,[],[],"[""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable""]",[],"[[""(8, 15, -2)"", ""(8, 0, 8)""], [""(17, 70, -3)"", ""(17, 0, 17)""], [""(1, 0, -1)"", ""(1, 0, 1)""], [""(120, 2000, 80)"", ""(120, 0, 120)""]]",[],eeeeee,[],[],"[""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable""]",[],"[[""(8, 15, -2)"", ""(8, 0, 8)""], [""(17, 70, -3)"", ""(17, 0, 17)""], [""(1, 0, -1)"", ""(1, 0, 1)""], [""(120, 2000, 80)"", ""(120, 0, 120)""]]",[]
✅✅✅✅✅✅,✅✅✅✅✅✅,💀💀💀💀💀💀,a,b,first,second,third,difference,sum,product,pppppp,input/codex/arithmetic/875.txt,[],[],[],[],[],"[""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable""]",pppppp,[],[],"[""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable""]",[],[],[],eeeeee,[],[],"[""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable""]",[],[],[]
✅✅✅✅✅✅,✅✅✅✅✅✅,💀💀💀💀💀💀,a,b,first,second,third,difference,product,sum,pppppp,input/codex/arithmetic/879.txt,[],[],[],[],[],"[""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable""]",pppppp,[],[],"[""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable""]",[],[],[],eeeeee,[],[],"[""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable""]",[],[],[]
✅✅✅✅✅✅,✅✅✅✅✅✅,💀💀💀💀💀💀,a,b,first,second,third,product,sum,difference,pppppp,input/codex/arithmetic/883.txt,[],[],[],[],[],"[""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable""]",pppppp,[],[],"[""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable""]",[],[],[],eeeeee,[],[],"[""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable""]",[],[],[]
✅✅✅✅✅✅,✅✅✅✅✅✅,💀💀💀💀💀💀,a,b,first,second,third,product,difference,sum,pppppp,input/codex/arithmetic/885.txt,[],[],[],[],[],"[""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable""]",pppppp,[],[],"[""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable""]",[],[],[],eeeeee,[],[],"[""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable""]",[],[],[]
✅✅✅✅✅✅,❌❌✅❌❌❌,💀💀💀💀💀💀,a,b,first,third,second,sum,difference,product,pppppp,input/codex/arithmetic/923.txt,[],"[[""(8, 15, -2)"", ""(8, -2, 15)""], [""(17, 70, -3)"", ""(17, -3, 70)""], [""(1, 0, 1)"", ""(1, 1, 0)""], [""(1, 0, -1)"", ""(1, -1, 0)""], [""(120, 2000, 80)"", ""(120, 80, 2000)""]]",[],[],[],"[""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable""]",ffpfff,[],[],"[""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable""]",[],"[[""(8, 15, -2)"", ""(8, -2, 15)""], [""(17, 70, -3)"", ""(17, -3, 70)""], [""(1, 0, 1)"", ""(1, 1, 0)""], [""(1, 0, -1)"", ""(1, -1, 0)""], [""(120, 2000, 80)"", ""(120, 80, 2000)""]]",[],eeeeee,[],[],"[""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable""]",[],"[[""(8, 15, -2)"", ""(8, -2, 15)""], [""(17, 70, -3)"", ""(17, -3, 70)""], [""(1, 0, 1)"", ""(1, 1, 0)""], [""(1, 0, -1)"", ""(1, -1, 0)""], [""(120, 2000, 80)"", ""(120, 80, 2000)""]]",[]
✅✅✅✅✅✅,❌❌✅❌❌❌,💀💀💀💀💀💀,a,b,first,third,second,sum,product,difference,pppppp,input/codex/arithmetic/925.txt,[],"[[""(8, -2, 15)"", ""(8, 15, -2)""], [""(17, -3, 70)"", ""(17, 70, -3)""], [""(1, 1, 0)"", ""(1, 0, 1)""], [""(1, -1, 0)"", ""(1, 0, -1)""], [""(120, 80, 2000)"", ""(120, 2000, 80)""]]",[],[],[],"[""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable""]",ffpfff,[],[],"[""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable""]",[],"[[""(8, -2, 15)"", ""(8, 15, -2)""], [""(17, -3, 70)"", ""(17, 70, -3)""], [""(1, 1, 0)"", ""(1, 0, 1)""], [""(1, -1, 0)"", ""(1, 0, -1)""], [""(120, 80, 2000)"", ""(120, 2000, 80)""]]",[],eeeeee,[],[],"[""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable""]",[],"[[""(8, -2, 15)"", ""(8, 15, -2)""], [""(17, -3, 70)"", ""(17, 70, -3)""], [""(1, 1, 0)"", ""(1, 0, 1)""], [""(1, -1, 0)"", ""(1, 0, -1)""], [""(120, 80, 2000)"", ""(120, 2000, 80)""]]",[]
✅✅✅✅✅✅,❌❌✅❌❌❌,💀💀💀💀💀💀,a,b,first,third,second,difference,sum,product,pppppp,input/codex/arithmetic/929.txt,[],"[[""(-2, 15, 8)"", ""(-2, 8, 15)""], [""(-3, 70, 17)"", ""(-3, 17, 70)""], [""(1, 0, 1)"", ""(1, 1, 0)""], [""(-1, 0, 1)"", ""(-1, 1, 0)""], [""(80, 2000, 120)"", ""(80, 120, 2000)""]]",[],[],[],"[""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable""]",ffpfff,[],[],"[""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable""]",[],"[[""(-2, 15, 8)"", ""(-2, 8, 15)""], [""(-3, 70, 17)"", ""(-3, 17, 70)""], [""(1, 0, 1)"", ""(1, 1, 0)""], [""(-1, 0, 1)"", ""(-1, 1, 0)""], [""(80, 2000, 120)"", ""(80, 120, 2000)""]]",[],eeeeee,[],[],"[""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable""]",[],"[[""(-2, 15, 8)"", ""(-2, 8, 15)""], [""(-3, 70, 17)"", ""(-3, 17, 70)""], [""(1, 0, 1)"", ""(1, 1, 0)""], [""(-1, 0, 1)"", ""(-1, 1, 0)""], [""(80, 2000, 120)"", ""(80, 120, 2000)""]]",[]
✅✅✅✅✅✅,❌❌✅❌❌❌,💀💀💀💀💀💀,a,b,first,third,second,difference,product,sum,pppppp,input/codex/arithmetic/933.txt,[],"[[""(-2, 8, 15)"", ""(3, 5, 15)""], [""(-3, 17, 70)"", ""(7, 10, 70)""], [""(1, 1, 0)"", ""(1, 0, 0)""], [""(-1, 1, 0)"", ""(0, 1, 0)""], [""(80, 120, 2000)"", ""(100, 20, 2000)""]]",[],[],[],"[""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable""]",ffpfff,[],[],"[""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable""]",[],"[[""(-2, 8, 15)"", ""(3, 5, 15)""], [""(-3, 17, 70)"", ""(7, 10, 70)""], [""(1, 1, 0)"", ""(1, 0, 0)""], [""(-1, 1, 0)"", ""(0, 1, 0)""], [""(80, 120, 2000)"", ""(100, 20, 2000)""]]",[],eeeeee,[],[],"[""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable""]",[],"[[""(-2, 8, 15)"", ""(3, 5, 15)""], [""(-3, 17, 70)"", ""(7, 10, 70)""], [""(1, 1, 0)"", ""(1, 0, 0)""], [""(-1, 1, 0)"", ""(0, 1, 0)""], [""(80, 120, 2000)"", ""(100, 20, 2000)""]]",[]
