count,word_count,result_emojis,result,model_input,failed_inputs,errors,incoder_result,incoder_result_emojis,errors,failed_inputs,codeparrot_result,codeparrot_result_emojis,errors,failed_inputs
0,True,✅✅✅✅✅✅✅✅✅✅✅✅✅✅,pppppppppppppp,input/codex/bitdiff/0.txt,[],[],eeeeeeeeeeeeee,💀💀💀💀💀💀💀💀💀💀💀💀💀💀,"[""name 'six' is not defined"", ""name 'six' is not defined"", ""name 'six' is not defined"", ""name 'six' is not defined"", ""name 'six' is not defined"", ""name 'six' is not defined"", ""name 'six' is not defined"", ""name 'six' is not defined"", ""name 'six' is not defined"", ""name 'six' is not defined"", ""name 'six' is not defined"", ""name 'six' is not defined"", ""name 'six' is not defined"", ""name 'six' is not defined""]",[],ppppppppffffff,✅✅✅✅✅✅✅✅❌❌❌❌❌❌,[],"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""]]"
0,False,✅✅✅✅✅✅✅✅✅✅✅✅✅✅,pppppppppppppp,input/codex/bitdiff/1.txt,[],[],pppppppppppppp,✅✅✅✅✅✅✅✅✅✅✅✅✅✅,[],[],ppppppppffffff,✅✅✅✅✅✅✅✅❌❌❌❌❌❌,[],"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""]]"
1,True,✅✅✅✅✅✅✅❌✅✅✅✅✅✅,pppppppfpppppp,input/codex/bitdiff/2.txt,"[[""False"", ""True""]]",[],pffffffpffffff,✅❌❌❌❌❌❌✅❌❌❌❌❌❌,[],"[[""False"", ""3""], [""False"", ""7""], [""False"", ""31""], [""False"", ""2047""], [""False"", ""32767""], [""False"", ""536870911""], [""True"", ""2""], [""False"", ""5""], [""False"", ""10""], [""False"", ""1706""], [""False"", ""10890""], [""False"", ""536608768""]]",fffffffpffffff,❌❌❌❌❌❌❌✅❌❌❌❌❌❌,[],"[[""True"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""True"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""]]"
1,False,✅✅✅✅✅✅✅❌✅✅✅✅✅✅,pppppppfpppppp,input/codex/bitdiff/3.txt,"[[""False"", ""True""]]",[],pffffffpffffff,✅❌❌❌❌❌❌✅❌❌❌❌❌❌,[],"[[""False"", ""3""], [""False"", ""7""], [""False"", ""31""], [""False"", ""2047""], [""False"", ""32767""], [""False"", ""536870911""], [""True"", ""2""], [""False"", ""5""], [""False"", ""10""], [""False"", ""1706""], [""False"", ""10890""], [""False"", ""536608768""]]",eeeeeeeeeeeeee,💀💀💀💀💀💀💀💀💀💀💀💀💀💀,"[""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable""]",[]
2,True,✅✅✅✅✅✅✅✅✅✅✅✅✅✅,pppppppppppppp,input/codex/bitdiff/4.txt,[],[],ppfffffpffpffp,✅✅❌❌❌❌❌✅❌❌✅❌❌✅,[],"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""True"", ""False""], [""False"", ""True""], [""False"", ""True""]]",fffffffpffffff,❌❌❌❌❌❌❌✅❌❌❌❌❌❌,[],"[[""False"", ""-1""], [""True"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""True"", ""-1""], [""True"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""]]"
2,False,✅✅✅✅✅✅✅✅✅✅✅✅✅✅,pppppppppppppp,input/codex/bitdiff/5.txt,[],[],pppppppppppppp,✅✅✅✅✅✅✅✅✅✅✅✅✅✅,[],[],eeeeeeeeeeeeee,💀💀💀💀💀💀💀💀💀💀💀💀💀💀,"[""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable""]",[]
3,True,✅✅✅✅✅✅✅✅✅✅✅✅✅✅,pppppppppppppp,input/codex/bitdiff/6.txt,[],[],pppffffppppppp,✅✅✅❌❌❌❌✅✅✅✅✅✅✅,[],"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""]]",eeeeeeeeeeeeee,💀💀💀💀💀💀💀💀💀💀💀💀💀💀,"[""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable""]",[]
3,False,✅✅✅✅✅✅✅✅✅✅✅✅✅✅,pppppppppppppp,input/codex/bitdiff/7.txt,[],[],pppffffppppppp,✅✅✅❌❌❌❌✅✅✅✅✅✅✅,[],"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""]]",eeeeeeeeeeeeee,💀💀💀💀💀💀💀💀💀💀💀💀💀💀,"[""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable""]",[]
4,True,✅✅✅✅✅✅✅✅✅✅✅✅✅✅,pppppppppppppp,input/codex/bitdiff/8.txt,[],[],eeeeeeeeeeeeee,💀💀💀💀💀💀💀💀💀💀💀💀💀💀,"[""'int' object is not iterable"", ""'int' object is not iterable"", ""'int' object is not iterable"", ""'int' object is not iterable"", ""'int' object is not iterable"", ""'int' object is not iterable"", ""'int' object is not iterable"", ""'int' object is not iterable"", ""'int' object is not iterable"", ""'int' object is not iterable"", ""'int' object is not iterable"", ""'int' object is not iterable"", ""'int' object is not iterable"", ""'int' object is not iterable""]",[],eeeeeeeeeeeeee,💀💀💀💀💀💀💀💀💀💀💀💀💀💀,"[""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable""]",[]
4,False,✅✅✅✅✅✅✅✅✅✅✅✅✅✅,pppppppppppppp,input/codex/bitdiff/9.txt,[],[],pppppppppppppp,✅✅✅✅✅✅✅✅✅✅✅✅✅✅,[],[],eeeeeeeeeeeeee,💀💀💀💀💀💀💀💀💀💀💀💀💀💀,"[""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable""]",[]
