codex_result_emojis,incoder_result_emojis,codeparrot_result_emojis,offset_char,mod,codex_result,model_input,failed_inputs,failed_inputs,failed_inputs,errors,errors,errors,incoder_result,errors,errors,errors,failed_inputs,failed_inputs,failed_inputs,codeparrot_result,errors,errors,errors,failed_inputs,failed_inputs,failed_inputs
✅✅✅,✅✅✅,❌❌❌,the space character,64,ppp,input/codex/checksum/0.txt,[],[],"[[""'6'"", ""51""], [""'F'"", ""35""], [""'N'"", ""51""]]",[],[],[],ppp,[],[],[],[],[],"[[""'6'"", ""51""], [""'F'"", ""35""], [""'N'"", ""51""]]",fff,[],[],[],[],[],"[[""'6'"", ""51""], [""'F'"", ""35""], [""'N'"", ""51""]]"
✅✅✅,✅✅✅,❌💀💀,the space character,128,ppp,input/codex/checksum/1.txt,[],[],"[[""'6'"", ""6""]]",[],[],"[""invalid literal for int() with base 10: 'a'"", ""invalid literal for int() with base 10: 'f'""]",ppp,[],[],"[""invalid literal for int() with base 10: 'a'"", ""invalid literal for int() with base 10: 'f'""]",[],[],"[[""'6'"", ""6""]]",fee,[],[],"[""invalid literal for int() with base 10: 'a'"", ""invalid literal for int() with base 10: 'f'""]",[],[],"[[""'6'"", ""6""]]"
✅✅✅,✅✅✅,💀💀💀,the space character,256,ppp,input/codex/checksum/2.txt,[],[],[],[],[],"[""string index out of range"", ""string index out of range"", ""string index out of range""]",ppp,[],[],"[""string index out of range"", ""string index out of range"", ""string index out of range""]",[],[],[],eee,[],[],"[""string index out of range"", ""string index out of range"", ""string index out of range""]",[],[],[]
✅✅✅,✅✅✅,❌❌❌,the newline character,64,ppp,input/codex/checksum/3.txt,[],[],"[[""' '"", ""6""], [""'0'"", ""22""], [""'8'"", ""62""]]",[],[],[],ppp,[],[],[],[],[],"[[""' '"", ""6""], [""'0'"", ""22""], [""'8'"", ""62""]]",fff,[],[],[],[],[],"[[""' '"", ""6""], [""'0'"", ""22""], [""'8'"", ""62""]]"
✅✅✅,❌❌❌,❌❌❌,the newline character,128,ppp,input/codex/checksum/4.txt,[],"[[""' '"", ""'\\x96'""], [""'0'"", ""'\u00a6'""], [""'x'"", ""'\u00ee'""]]","[[""' '"", ""22""], [""'0'"", ""38""], [""'x'"", ""110""]]",[],[],[],fff,[],[],[],[],"[[""' '"", ""'\\x96'""], [""'0'"", ""'\u00a6'""], [""'x'"", ""'\u00ee'""]]","[[""' '"", ""22""], [""'0'"", ""38""], [""'x'"", ""110""]]",fff,[],[],[],[],"[[""' '"", ""'\\x96'""], [""'0'"", ""'\u00a6'""], [""'x'"", ""'\u00ee'""]]","[[""' '"", ""22""], [""'0'"", ""38""], [""'x'"", ""110""]]"
✅✅✅,✅✅✅,💀💀💀,the newline character,256,ppp,input/codex/checksum/5.txt,[],[],[],[],[],"[""string index out of range"", ""string index out of range"", ""string index out of range""]",ppp,[],[],"[""string index out of range"", ""string index out of range"", ""string index out of range""]",[],[],[],eee,[],[],"[""string index out of range"", ""string index out of range"", ""string index out of range""]",[],[],[]
✅✅✅,❌❌❌,❌❌❌,uppercase X,64,ppp,input/codex/checksum/6.txt,[],"[[""'n'"", ""'V'""], [""'~'"", ""'f'""], [""'\\x86'"", ""'n'""]]","[[""'n'"", ""0""], [""'~'"", ""0""], [""'\\x86'"", ""0""]]",[],[],[],fff,[],[],[],[],"[[""'n'"", ""'V'""], [""'~'"", ""'f'""], [""'\\x86'"", ""'n'""]]","[[""'n'"", ""0""], [""'~'"", ""0""], [""'\\x86'"", ""0""]]",fff,[],[],[],[],"[[""'n'"", ""'V'""], [""'~'"", ""'f'""], [""'\\x86'"", ""'n'""]]","[[""'n'"", ""0""], [""'~'"", ""0""], [""'\\x86'"", ""0""]]"
✅✅✅,❌❌❌,❌❌❌,uppercase X,128,ppp,input/codex/checksum/7.txt,[],"[[""'n'"", ""'V'""], [""'~'"", ""'f'""], [""'\u00c6'"", ""'\u00ae'""]]","[[""'n'"", ""48""], [""'~'"", ""96""], [""'\u00c6'"", ""36""]]",[],[],[],fff,[],[],[],[],"[[""'n'"", ""'V'""], [""'~'"", ""'f'""], [""'\u00c6'"", ""'\u00ae'""]]","[[""'n'"", ""48""], [""'~'"", ""96""], [""'\u00c6'"", ""36""]]",fff,[],[],[],[],"[[""'n'"", ""'V'""], [""'~'"", ""'f'""], [""'\u00c6'"", ""'\u00ae'""]]","[[""'n'"", ""48""], [""'~'"", ""96""], [""'\u00c6'"", ""36""]]"
✅✅✅,❌❌❌,💀💀💀,uppercase X,256,ppp,input/codex/checksum/8.txt,[],"[[""'\u00ee'"", ""None""], [""'~'"", ""None""], [""'\u0146'"", ""None""]]",[],[],[],"[""string index out of range"", ""invalid literal for int() with base 10: 'a'"", ""invalid literal for int() with base 10: 'f'""]",fff,[],[],"[""string index out of range"", ""invalid literal for int() with base 10: 'a'"", ""invalid literal for int() with base 10: 'f'""]",[],"[[""'\u00ee'"", ""None""], [""'~'"", ""None""], [""'\u0146'"", ""None""]]",[],eee,[],[],"[""string index out of range"", ""invalid literal for int() with base 10: 'a'"", ""invalid literal for int() with base 10: 'f'""]",[],"[[""'\u00ee'"", ""None""], [""'~'"", ""None""], [""'\u0146'"", ""None""]]",[]
✅✅✅,✅✅✅,❌❌❌,lowercase u,64,ppp,input/codex/checksum/9.txt,[],[],"[[""'\\x8b'"", ""22""], [""'\\x9b'"", ""38""], [""'\u00a3'"", ""46""]]",[],[],[],ppp,[],[],[],[],[],"[[""'\\x8b'"", ""22""], [""'\\x9b'"", ""38""], [""'\u00a3'"", ""46""]]",fff,[],[],[],[],[],"[[""'\\x8b'"", ""22""], [""'\\x9b'"", ""38""], [""'\u00a3'"", ""46""]]"
