codex_result_emojis,incoder_result_emojis,codeparrot_result_emojis,type,example_input,codex_result,model_input,failed_inputs,failed_inputs,failed_inputs,errors,errors,errors,incoder_result,errors,errors,errors,failed_inputs,failed_inputs,failed_inputs,codeparrot_result,errors,errors,errors,failed_inputs,failed_inputs,failed_inputs
✅✅,✅✅,❌❌,string,"['a', 3.14, 5]",pp,input/codex/filter_types/0.txt,[],[],"[[""['adasd']"", ""['4', '23.2', '9', 'adasd']""], [""['c', 'a', 'b']"", ""['3', 'c', '3', '3', 'a', 'b']""]]",[],[],[],pp,[],[],[],[],[],"[[""['adasd']"", ""['4', '23.2', '9', 'adasd']""], [""['c', 'a', 'b']"", ""['3', 'c', '3', '3', 'a', 'b']""]]",ff,[],[],[],[],[],"[[""['adasd']"", ""['4', '23.2', '9', 'adasd']""], [""['c', 'a', 'b']"", ""['3', 'c', '3', '3', 'a', 'b']""]]"
✅✅,✅✅,❌❌,string,"[1, 2, 3, 3.6, 'abc', {}, [], (1,)]",pp,input/codex/filter_types/1.txt,[],[],"[[""['adasd']"", ""['4', '23.2', '9', 'adasd']""], [""['c', 'a', 'b']"", ""['3', 'c', '3', '3', 'a', 'b']""]]",[],[],[],pp,[],[],[],[],[],"[[""['adasd']"", ""['4', '23.2', '9', 'adasd']""], [""['c', 'a', 'b']"", ""['3', 'c', '3', '3', 'a', 'b']""]]",ff,[],[],[],[],[],"[[""['adasd']"", ""['4', '23.2', '9', 'adasd']""], [""['c', 'a', 'b']"", ""['3', 'c', '3', '3', 'a', 'b']""]]"
✅✅,✅✅,❌✅,integer,"['a', 3.14, 5]",pp,input/codex/filter_types/2.txt,[],[],"[[""[4, 9]"", ""[4]""]]",[],[],[],pp,[],[],[],[],[],"[[""[4, 9]"", ""[4]""]]",fp,[],[],[],[],[],"[[""[4, 9]"", ""[4]""]]"
✅✅,✅✅,❌✅,integer,"[1, 2, 3, 3.6, 'abc', {}, [], (1,)]",pp,input/codex/filter_types/3.txt,[],[],"[[""[4, 9]"", ""[4]""]]",[],[],[],pp,[],[],[],[],[],"[[""[4, 9]"", ""[4]""]]",fp,[],[],[],[],[],"[[""[4, 9]"", ""[4]""]]"
✅✅,✅✅,💀💀,float,"['a', 3.14, 5]",pp,input/codex/filter_types/4.txt,[],[],[],[],[],"[""float() argument must be a string or a number, not 'dict'"", ""could not convert string to float: 'c'""]",pp,[],[],"[""float() argument must be a string or a number, not 'dict'"", ""could not convert string to float: 'c'""]",[],[],[],ee,[],[],"[""float() argument must be a string or a number, not 'dict'"", ""could not convert string to float: 'c'""]",[],[],[]
✅✅,✅✅,💀💀,float,"[1, 2, 3, 3.6, 'abc', {}, [], (1,)]",pp,input/codex/filter_types/5.txt,[],[],[],[],[],"[""float() argument must be a string or a number, not 'dict'"", ""could not convert string to float: 'c'""]",pp,[],[],"[""float() argument must be a string or a number, not 'dict'"", ""could not convert string to float: 'c'""]",[],[],[],ee,[],[],"[""float() argument must be a string or a number, not 'dict'"", ""could not convert string to float: 'c'""]",[],[],[]
✅✅,✅✅,❌❌,dictionary,"['a', 3.14, 5]",pp,input/codex/filter_types/6.txt,[],[],"[[""[{}]"", ""[{'name': 4, 'value': 4, 'type': 'dictionarys'}, {'name': {}, 'value': {}, 'type': 'dictionarys'}, {'name': [], 'value': [], 'type': 'dictionarys'}, {'name': 23.2, 'value': 23.2, 'type': 'dictionarys'}, {'name': 9, 'value': 9, 'type': 'dictionarys'}, {'name': 'adasd', 'value': 'adasd', 'type': 'dictionarys'}]""], [""[]"", ""[{'name': 3, 'value': 3, 'type': 'dictionarys'}, {'name': 'c', 'value': 'c', 'type': 'dictionarys'}, {'name': 3, 'value': 3, 'type': 'dictionarys'}, {'name': 3, 'value': 3, 'type': 'dictionarys'}, {'name': 'a', 'value': 'a', 'type': 'dictionarys'}, {'name': 'b', 'value': 'b', 'type': 'dictionarys'}]""]]",[],[],[],pp,[],[],[],[],[],"[[""[{}]"", ""[{'name': 4, 'value': 4, 'type': 'dictionarys'}, {'name': {}, 'value': {}, 'type': 'dictionarys'}, {'name': [], 'value': [], 'type': 'dictionarys'}, {'name': 23.2, 'value': 23.2, 'type': 'dictionarys'}, {'name': 9, 'value': 9, 'type': 'dictionarys'}, {'name': 'adasd', 'value': 'adasd', 'type': 'dictionarys'}]""], [""[]"", ""[{'name': 3, 'value': 3, 'type': 'dictionarys'}, {'name': 'c', 'value': 'c', 'type': 'dictionarys'}, {'name': 3, 'value': 3, 'type': 'dictionarys'}, {'name': 3, 'value': 3, 'type': 'dictionarys'}, {'name': 'a', 'value': 'a', 'type': 'dictionarys'}, {'name': 'b', 'value': 'b', 'type': 'dictionarys'}]""]]",ff,[],[],[],[],[],"[[""[{}]"", ""[{'name': 4, 'value': 4, 'type': 'dictionarys'}, {'name': {}, 'value': {}, 'type': 'dictionarys'}, {'name': [], 'value': [], 'type': 'dictionarys'}, {'name': 23.2, 'value': 23.2, 'type': 'dictionarys'}, {'name': 9, 'value': 9, 'type': 'dictionarys'}, {'name': 'adasd', 'value': 'adasd', 'type': 'dictionarys'}]""], [""[]"", ""[{'name': 3, 'value': 3, 'type': 'dictionarys'}, {'name': 'c', 'value': 'c', 'type': 'dictionarys'}, {'name': 3, 'value': 3, 'type': 'dictionarys'}, {'name': 3, 'value': 3, 'type': 'dictionarys'}, {'name': 'a', 'value': 'a', 'type': 'dictionarys'}, {'name': 'b', 'value': 'b', 'type': 'dictionarys'}]""]]"
✅✅,✅✅,💀💀,dictionary,"[1, 2, 3, 3.6, 'abc', {}, [], (1,)]",pp,input/codex/filter_types/7.txt,[],[],[],[],[],"[""'int' object is not subscriptable"", ""'int' object is not subscriptable""]",pp,[],[],"[""'int' object is not subscriptable"", ""'int' object is not subscriptable""]",[],[],[],ee,[],[],"[""'int' object is not subscriptable"", ""'int' object is not subscriptable""]",[],[],[]
✅✅,✅✅,❌❌,list,"['a', 3.14, 5]",pp,input/codex/filter_types/8.txt,[],[],"[[""[[]]"", ""[4, 23.2, 9, 'adasd']""], [""[]"", ""[3, 'c', 3, 3, 'a', 'b']""]]",[],[],[],pp,[],[],[],[],[],"[[""[[]]"", ""[4, 23.2, 9, 'adasd']""], [""[]"", ""[3, 'c', 3, 3, 'a', 'b']""]]",ff,[],[],[],[],[],"[[""[[]]"", ""[4, 23.2, 9, 'adasd']""], [""[]"", ""[3, 'c', 3, 3, 'a', 'b']""]]"
✅✅,✅✅,❌❌,list,"[1, 2, 3, 3.6, 'abc', {}, [], (1,)]",pp,input/codex/filter_types/9.txt,[],[],"[[""[[]]"", ""[4, 23.2, 9, 'adasd']""], [""[]"", ""[3, 'c', 3, 3, 'a', 'b']""]]",[],[],[],pp,[],[],[],[],[],"[[""[[]]"", ""[4, 23.2, 9, 'adasd']""], [""[]"", ""[3, 'c', 3, 3, 'a', 'b']""]]",ff,[],[],[],[],[],"[[""[[]]"", ""[4, 23.2, 9, 'adasd']""], [""[]"", ""[3, 'c', 3, 3, 'a', 'b']""]]"
✅✅,✅✅,💀💀,tuple,"['a', 3.14, 5]",pp,input/codex/filter_types/10.txt,[],[],[],[],[],"[""'int' object is not iterable"", ""'int' object is not iterable""]",pp,[],[],"[""'int' object is not iterable"", ""'int' object is not iterable""]",[],[],[],ee,[],[],"[""'int' object is not iterable"", ""'int' object is not iterable""]",[],[],[]
✅✅,✅✅,💀💀,tuple,"[1, 2, 3, 3.6, 'abc', {}, [], (1,)]",pp,input/codex/filter_types/11.txt,[],[],[],[],[],"[""'int' object is not iterable"", ""'int' object is not iterable""]",pp,[],[],"[""'int' object is not iterable"", ""'int' object is not iterable""]",[],[],[],ee,[],[],"[""'int' object is not iterable"", ""'int' object is not iterable""]",[],[],[]
