codex_result_emojis,incoder_result_emojis,codeparrot_result_emojis,length,cond,codex_result,model_input,failed_inputs,failed_inputs,failed_inputs,errors,errors,errors,incoder_result,errors,errors,errors,failed_inputs,failed_inputs,failed_inputs,codeparrot_result,errors,errors,errors,failed_inputs,failed_inputs,failed_inputs
✅✅✅✅✅✅✅✅✅,❌✅✅❌✅❌❌❌❌,❌❌❌❌❌❌❌❌❌,1,at least,ppppppppp,input/codex/find_words/0.txt,[],"[[""['a', 'bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb']"", ""['bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb']""], [""['aaaaaaaaaaaaaaaaaaaa', 'b', 'c', 'd', 'e']"", ""['aaaaaaaaaaaaaaaaaaaa']""], [""['b', 'bbb', 'bbbbbb']"", ""['bbb', 'bbbbbb']""], [""['b', 'bbb', 'bbbbbbb']"", ""['bbb', 'bbbbbbb']""], [""['Please', 'move', 'back', 'to', 'stream']"", ""['Please', 'move', 'back', 'stream']""], [""['Jhingai', 'wulu', 'road', 'Zone', '3']"", ""['Jhingai', 'wulu', 'road', 'Zone']""]]","[[""['a', 'bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb']"", ""[]""], [""['aaa']"", ""[]""], [""['aaaaaa']"", ""[]""], [""['aaaaaaaaaaaaaaaaaaaa', 'b', 'c', 'd', 'e']"", ""[]""], [""['cccccccccccccccccccc']"", ""[]""], [""['b', 'bbb', 'bbbbbb']"", ""[]""], [""['b', 'bbb', 'bbbbbbb']"", ""[]""], [""['Please', 'move', 'back', 'to', 'stream']"", ""[]""], [""['Jhingai', 'wulu', 'road', 'Zone', '3']"", ""[23]""]]",[],[],[],fppfpffff,[],[],[],[],"[[""['a', 'bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb']"", ""['bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb']""], [""['aaaaaaaaaaaaaaaaaaaa', 'b', 'c', 'd', 'e']"", ""['aaaaaaaaaaaaaaaaaaaa']""], [""['b', 'bbb', 'bbbbbb']"", ""['bbb', 'bbbbbb']""], [""['b', 'bbb', 'bbbbbbb']"", ""['bbb', 'bbbbbbb']""], [""['Please', 'move', 'back', 'to', 'stream']"", ""['Please', 'move', 'back', 'stream']""], [""['Jhingai', 'wulu', 'road', 'Zone', '3']"", ""['Jhingai', 'wulu', 'road', 'Zone']""]]","[[""['a', 'bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb']"", ""[]""], [""['aaa']"", ""[]""], [""['aaaaaa']"", ""[]""], [""['aaaaaaaaaaaaaaaaaaaa', 'b', 'c', 'd', 'e']"", ""[]""], [""['cccccccccccccccccccc']"", ""[]""], [""['b', 'bbb', 'bbbbbb']"", ""[]""], [""['b', 'bbb', 'bbbbbbb']"", ""[]""], [""['Please', 'move', 'back', 'to', 'stream']"", ""[]""], [""['Jhingai', 'wulu', 'road', 'Zone', '3']"", ""[23]""]]",fffffffff,[],[],[],[],"[[""['a', 'bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb']"", ""['bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb']""], [""['aaaaaaaaaaaaaaaaaaaa', 'b', 'c', 'd', 'e']"", ""['aaaaaaaaaaaaaaaaaaaa']""], [""['b', 'bbb', 'bbbbbb']"", ""['bbb', 'bbbbbb']""], [""['b', 'bbb', 'bbbbbbb']"", ""['bbb', 'bbbbbbb']""], [""['Please', 'move', 'back', 'to', 'stream']"", ""['Please', 'move', 'back', 'stream']""], [""['Jhingai', 'wulu', 'road', 'Zone', '3']"", ""['Jhingai', 'wulu', 'road', 'Zone']""]]","[[""['a', 'bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb']"", ""[]""], [""['aaa']"", ""[]""], [""['aaaaaa']"", ""[]""], [""['aaaaaaaaaaaaaaaaaaaa', 'b', 'c', 'd', 'e']"", ""[]""], [""['cccccccccccccccccccc']"", ""[]""], [""['b', 'bbb', 'bbbbbb']"", ""[]""], [""['b', 'bbb', 'bbbbbbb']"", ""[]""], [""['Please', 'move', 'back', 'to', 'stream']"", ""[]""], [""['Jhingai', 'wulu', 'road', 'Zone', '3']"", ""[23]""]]"
✅✅✅✅✅✅✅✅✅,✅✅✅✅✅✅✅✅✅,❌✅✅❌✅❌❌✅❌,1,exactly,ppppppppp,input/codex/find_words/1.txt,[],[],"[[""['a']"", ""[]""], [""['b', 'c', 'd', 'e']"", ""[]""], [""['b']"", ""[]""], [""['b']"", ""[]""], [""['3']"", ""[<re.Match object; span=(23, 24), match='3'>]""]]",[],[],[],ppppppppp,[],[],[],[],[],"[[""['a']"", ""[]""], [""['b', 'c', 'd', 'e']"", ""[]""], [""['b']"", ""[]""], [""['b']"", ""[]""], [""['3']"", ""[<re.Match object; span=(23, 24), match='3'>]""]]",fppfpffpf,[],[],[],[],[],"[[""['a']"", ""[]""], [""['b', 'c', 'd', 'e']"", ""[]""], [""['b']"", ""[]""], [""['b']"", ""[]""], [""['3']"", ""[<re.Match object; span=(23, 24), match='3'>]""]]"
✅✅✅✅✅✅✅✅✅,✅✅✅✅✅✅✅✅✅,❌✅✅❌✅❌❌✅❌,1,at most,ppppppppp,input/codex/find_words/2.txt,[],[],"[[""['a']"", ""[]""], [""['b', 'c', 'd', 'e']"", ""[]""], [""['b']"", ""[]""], [""['b']"", ""[]""], [""['3']"", ""[23]""]]",[],[],[],ppppppppp,[],[],[],[],[],"[[""['a']"", ""[]""], [""['b', 'c', 'd', 'e']"", ""[]""], [""['b']"", ""[]""], [""['b']"", ""[]""], [""['3']"", ""[23]""]]",fppfpffpf,[],[],[],[],[],"[[""['a']"", ""[]""], [""['b', 'c', 'd', 'e']"", ""[]""], [""['b']"", ""[]""], [""['b']"", ""[]""], [""['3']"", ""[23]""]]"
✅✅✅✅✅✅✅✅✅,✅✅✅✅✅✅✅✅✅,❌❌❌❌❌❌❌❌❌,1,not,ppppppppp,input/codex/find_words/3.txt,[],[],"[[""['bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb']"", ""[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41]""], [""['aaa']"", ""[0, 1, 2]""], [""['aaaaaa']"", ""[0, 1, 2, 3, 4, 5]""], [""['aaaaaaaaaaaaaaaaaaaa']"", ""[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 22, 24, 26, 28]""], [""['cccccccccccccccccccc']"", ""[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]""], [""['bbb', 'bbbbbb']"", ""[0, 2, 3, 4, 6, 7, 8, 9, 10, 11]""], [""['bbb', 'bbbbbbb']"", ""[0, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12]""], [""['Please', 'move', 'back', 'to', 'stream']"", ""[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 12, 13, 14, 15, 17, 18, 20, 21, 22, 23, 24, 25]""], [""['Jhingai', 'wulu', 'road', 'Zone']"", ""[0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 13, 14, 15, 16, 18, 19, 20, 21, 23]""]]",[],[],[],ppppppppp,[],[],[],[],[],"[[""['bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb']"", ""[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41]""], [""['aaa']"", ""[0, 1, 2]""], [""['aaaaaa']"", ""[0, 1, 2, 3, 4, 5]""], [""['aaaaaaaaaaaaaaaaaaaa']"", ""[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 22, 24, 26, 28]""], [""['cccccccccccccccccccc']"", ""[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]""], [""['bbb', 'bbbbbb']"", ""[0, 2, 3, 4, 6, 7, 8, 9, 10, 11]""], [""['bbb', 'bbbbbbb']"", ""[0, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12]""], [""['Please', 'move', 'back', 'to', 'stream']"", ""[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 12, 13, 14, 15, 17, 18, 20, 21, 22, 23, 24, 25]""], [""['Jhingai', 'wulu', 'road', 'Zone']"", ""[0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 13, 14, 15, 16, 18, 19, 20, 21, 23]""]]",fffffffff,[],[],[],[],[],"[[""['bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb']"", ""[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41]""], [""['aaa']"", ""[0, 1, 2]""], [""['aaaaaa']"", ""[0, 1, 2, 3, 4, 5]""], [""['aaaaaaaaaaaaaaaaaaaa']"", ""[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 22, 24, 26, 28]""], [""['cccccccccccccccccccc']"", ""[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]""], [""['bbb', 'bbbbbb']"", ""[0, 2, 3, 4, 6, 7, 8, 9, 10, 11]""], [""['bbb', 'bbbbbbb']"", ""[0, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12]""], [""['Please', 'move', 'back', 'to', 'stream']"", ""[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 12, 13, 14, 15, 17, 18, 20, 21, 22, 23, 24, 25]""], [""['Jhingai', 'wulu', 'road', 'Zone']"", ""[0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 13, 14, 15, 16, 18, 19, 20, 21, 23]""]]"
✅✅✅✅✅✅✅✅✅,✅✅✅✅✅✅✅✅✅,❌❌❌❌❌❌❌❌❌,3,at least,ppppppppp,input/codex/find_words/4.txt,[],[],"[[""['bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb']"", ""[]""], [""['aaa']"", ""[]""], [""['aaaaaa']"", ""[]""], [""['aaaaaaaaaaaaaaaaaaaa']"", ""[]""], [""['cccccccccccccccccccc']"", ""[]""], [""['bbb', 'bbbbbb']"", ""[]""], [""['bbb', 'bbbbbbb']"", ""[]""], [""['Please', 'move', 'back', 'stream']"", ""[]""], [""['Jhingai', 'wulu', 'road', 'Zone']"", ""[23]""]]",[],[],[],ppppppppp,[],[],[],[],[],"[[""['bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb']"", ""[]""], [""['aaa']"", ""[]""], [""['aaaaaa']"", ""[]""], [""['aaaaaaaaaaaaaaaaaaaa']"", ""[]""], [""['cccccccccccccccccccc']"", ""[]""], [""['bbb', 'bbbbbb']"", ""[]""], [""['bbb', 'bbbbbbb']"", ""[]""], [""['Please', 'move', 'back', 'stream']"", ""[]""], [""['Jhingai', 'wulu', 'road', 'Zone']"", ""[23]""]]",fffffffff,[],[],[],[],[],"[[""['bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb']"", ""[]""], [""['aaa']"", ""[]""], [""['aaaaaa']"", ""[]""], [""['aaaaaaaaaaaaaaaaaaaa']"", ""[]""], [""['cccccccccccccccccccc']"", ""[]""], [""['bbb', 'bbbbbb']"", ""[]""], [""['bbb', 'bbbbbbb']"", ""[]""], [""['Please', 'move', 'back', 'stream']"", ""[]""], [""['Jhingai', 'wulu', 'road', 'Zone']"", ""[23]""]]"
✅✅✅✅✅✅✅✅✅,✅✅✅✅✅✅✅✅✅,❌❌✅❌✅❌❌❌❌,3,exactly,ppppppppp,input/codex/find_words/5.txt,[],[],"[[""[]"", ""[1]""], [""['aaa']"", ""[]""], [""[]"", ""[20, 21, 23, 25, 27]""], [""['bbb']"", ""[1, 5]""], [""['bbb']"", ""[1, 5]""], [""[]"", ""[6, 11, 16, 19]""], [""[]"", ""[7, 12, 17, 22]""]]",[],[],[],ppppppppp,[],[],[],[],[],"[[""[]"", ""[1]""], [""['aaa']"", ""[]""], [""[]"", ""[20, 21, 23, 25, 27]""], [""['bbb']"", ""[1, 5]""], [""['bbb']"", ""[1, 5]""], [""[]"", ""[6, 11, 16, 19]""], [""[]"", ""[7, 12, 17, 22]""]]",ffpfpffff,[],[],[],[],[],"[[""[]"", ""[1]""], [""['aaa']"", ""[]""], [""[]"", ""[20, 21, 23, 25, 27]""], [""['bbb']"", ""[1, 5]""], [""['bbb']"", ""[1, 5]""], [""[]"", ""[6, 11, 16, 19]""], [""[]"", ""[7, 12, 17, 22]""]]"
✅✅✅✅✅✅✅✅✅,❌❌❌❌❌❌❌❌❌,❌❌✅❌✅❌❌❌❌,3,at most,ppppppppp,input/codex/find_words/6.txt,[],"[[""['a']"", ""['bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb']""], [""['aaa']"", ""[]""], [""[]"", ""['aaaaaa']""], [""['b', 'c', 'd', 'e']"", ""['aaaaaaaaaaaaaaaaaaaa']""], [""[]"", ""['cccccccccccccccccccc']""], [""['b', 'bbb']"", ""['bbbbbb']""], [""['b', 'bbb']"", ""['bbbbbbb']""], [""['to']"", ""['Please', 'move', 'back', 'stream']""], [""['3']"", ""['Jhingai', 'wulu', 'road', 'Zone']""]]","[[""['a']"", ""[]""], [""['aaa']"", ""[]""], [""['b', 'c', 'd', 'e']"", ""[]""], [""['b', 'bbb']"", ""[]""], [""['b', 'bbb']"", ""[]""], [""['to']"", ""[]""], [""['3']"", ""[23]""]]",[],[],[],fffffffff,[],[],[],[],"[[""['a']"", ""['bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb']""], [""['aaa']"", ""[]""], [""[]"", ""['aaaaaa']""], [""['b', 'c', 'd', 'e']"", ""['aaaaaaaaaaaaaaaaaaaa']""], [""[]"", ""['cccccccccccccccccccc']""], [""['b', 'bbb']"", ""['bbbbbb']""], [""['b', 'bbb']"", ""['bbbbbbb']""], [""['to']"", ""['Please', 'move', 'back', 'stream']""], [""['3']"", ""['Jhingai', 'wulu', 'road', 'Zone']""]]","[[""['a']"", ""[]""], [""['aaa']"", ""[]""], [""['b', 'c', 'd', 'e']"", ""[]""], [""['b', 'bbb']"", ""[]""], [""['b', 'bbb']"", ""[]""], [""['to']"", ""[]""], [""['3']"", ""[23]""]]",ffpfpffff,[],[],[],[],"[[""['a']"", ""['bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb']""], [""['aaa']"", ""[]""], [""[]"", ""['aaaaaa']""], [""['b', 'c', 'd', 'e']"", ""['aaaaaaaaaaaaaaaaaaaa']""], [""[]"", ""['cccccccccccccccccccc']""], [""['b', 'bbb']"", ""['bbbbbb']""], [""['b', 'bbb']"", ""['bbbbbbb']""], [""['to']"", ""['Please', 'move', 'back', 'stream']""], [""['3']"", ""['Jhingai', 'wulu', 'road', 'Zone']""]]","[[""['a']"", ""[]""], [""['aaa']"", ""[]""], [""['b', 'c', 'd', 'e']"", ""[]""], [""['b', 'bbb']"", ""[]""], [""['b', 'bbb']"", ""[]""], [""['to']"", ""[]""], [""['3']"", ""[23]""]]"
❌✅❌❌❌❌❌❌❌,❌✅✅❌✅❌❌❌❌,💀💀💀💀💀💀💀💀💀,3,not,fpfffffff,input/codex/find_words/7.txt,"[[""['a', 'bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb']"", ""['a']""], [""['aaaaaa']"", ""[]""], [""['aaaaaaaaaaaaaaaaaaaa', 'b', 'c', 'd', 'e']"", ""['b', 'c', 'd', 'e']""], [""['cccccccccccccccccccc']"", ""[]""], [""['b', 'bbbbbb']"", ""['b']""], [""['b', 'bbbbbbb']"", ""['b']""], [""['Please', 'move', 'back', 'to', 'stream']"", ""['to']""], [""['Jhingai', 'wulu', 'road', 'Zone', '3']"", ""['3']""]]","[[""['a', 'bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb']"", ""['bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb']""], [""['aaaaaaaaaaaaaaaaaaaa', 'b', 'c', 'd', 'e']"", ""['aaaaaaaaaaaaaaaaaaaa']""], [""['b', 'bbbbbb']"", ""['bbbbbb']""], [""['b', 'bbbbbbb']"", ""['bbbbbbb']""], [""['Please', 'move', 'back', 'to', 'stream']"", ""['Please', 'move', 'back', 'stream']""], [""['Jhingai', 'wulu', 'road', 'Zone', '3']"", ""['Jhingai', 'wulu', 'road', 'Zone']""]]",[],[],[],"[""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined""]",fppfpffff,[],[],"[""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined""]","[[""['a', 'bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb']"", ""['a']""], [""['aaaaaa']"", ""[]""], [""['aaaaaaaaaaaaaaaaaaaa', 'b', 'c', 'd', 'e']"", ""['b', 'c', 'd', 'e']""], [""['cccccccccccccccccccc']"", ""[]""], [""['b', 'bbbbbb']"", ""['b']""], [""['b', 'bbbbbbb']"", ""['b']""], [""['Please', 'move', 'back', 'to', 'stream']"", ""['to']""], [""['Jhingai', 'wulu', 'road', 'Zone', '3']"", ""['3']""]]","[[""['a', 'bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb']"", ""['bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb']""], [""['aaaaaaaaaaaaaaaaaaaa', 'b', 'c', 'd', 'e']"", ""['aaaaaaaaaaaaaaaaaaaa']""], [""['b', 'bbbbbb']"", ""['bbbbbb']""], [""['b', 'bbbbbbb']"", ""['bbbbbbb']""], [""['Please', 'move', 'back', 'to', 'stream']"", ""['Please', 'move', 'back', 'stream']""], [""['Jhingai', 'wulu', 'road', 'Zone', '3']"", ""['Jhingai', 'wulu', 'road', 'Zone']""]]",[],eeeeeeeee,[],[],"[""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined""]","[[""['a', 'bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb']"", ""['a']""], [""['aaaaaa']"", ""[]""], [""['aaaaaaaaaaaaaaaaaaaa', 'b', 'c', 'd', 'e']"", ""['b', 'c', 'd', 'e']""], [""['cccccccccccccccccccc']"", ""[]""], [""['b', 'bbbbbb']"", ""['b']""], [""['b', 'bbbbbbb']"", ""['b']""], [""['Please', 'move', 'back', 'to', 'stream']"", ""['to']""], [""['Jhingai', 'wulu', 'road', 'Zone', '3']"", ""['3']""]]","[[""['a', 'bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb']"", ""['bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb']""], [""['aaaaaaaaaaaaaaaaaaaa', 'b', 'c', 'd', 'e']"", ""['aaaaaaaaaaaaaaaaaaaa']""], [""['b', 'bbbbbb']"", ""['bbbbbb']""], [""['b', 'bbbbbbb']"", ""['bbbbbbb']""], [""['Please', 'move', 'back', 'to', 'stream']"", ""['Please', 'move', 'back', 'stream']""], [""['Jhingai', 'wulu', 'road', 'Zone', '3']"", ""['Jhingai', 'wulu', 'road', 'Zone']""]]",[]
✅✅✅✅✅✅✅✅✅,✅✅✅✅✅✅✅✅✅,❌✅❌❌❌❌❌❌❌,6,at least,ppppppppp,input/codex/find_words/8.txt,[],[],"[[""['bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb']"", ""[]""], [""['aaaaaa']"", ""[]""], [""['aaaaaaaaaaaaaaaaaaaa']"", ""[]""], [""['cccccccccccccccccccc']"", ""[]""], [""['bbbbbb']"", ""[]""], [""['bbbbbbb']"", ""[]""], [""['Please', 'stream']"", ""[]""], [""['Jhingai']"", ""[23]""]]",[],[],[],ppppppppp,[],[],[],[],[],"[[""['bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb']"", ""[]""], [""['aaaaaa']"", ""[]""], [""['aaaaaaaaaaaaaaaaaaaa']"", ""[]""], [""['cccccccccccccccccccc']"", ""[]""], [""['bbbbbb']"", ""[]""], [""['bbbbbbb']"", ""[]""], [""['Please', 'stream']"", ""[]""], [""['Jhingai']"", ""[23]""]]",fpfffffff,[],[],[],[],[],"[[""['bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb']"", ""[]""], [""['aaaaaa']"", ""[]""], [""['aaaaaaaaaaaaaaaaaaaa']"", ""[]""], [""['cccccccccccccccccccc']"", ""[]""], [""['bbbbbb']"", ""[]""], [""['bbbbbbb']"", ""[]""], [""['Please', 'stream']"", ""[]""], [""['Jhingai']"", ""[23]""]]"
✅✅✅✅✅✅✅✅✅,✅✅✅✅✅✅✅✅✅,✅✅❌✅✅❌✅❌❌,6,exactly,ppppppppp,input/codex/find_words/9.txt,[],[],"[[""['aaaaaa']"", ""[]""], [""['bbbbbb']"", ""[]""], [""['Please', 'stream']"", ""[]""], [""[]"", ""[23]""]]",[],[],[],ppppppppp,[],[],[],[],[],"[[""['aaaaaa']"", ""[]""], [""['bbbbbb']"", ""[]""], [""['Please', 'stream']"", ""[]""], [""[]"", ""[23]""]]",ppfppfpff,[],[],[],[],[],"[[""['aaaaaa']"", ""[]""], [""['bbbbbb']"", ""[]""], [""['Please', 'stream']"", ""[]""], [""[]"", ""[23]""]]"
