codex_result_emojis,incoder_result_emojis,codeparrot_result_emojis,digit,factor2,factor3,example_input,codex_result,model_input,failed_inputs,failed_inputs,failed_inputs,errors,errors,errors,incoder_result,errors,errors,errors,failed_inputs,failed_inputs,failed_inputs,codeparrot_result,errors,errors,errors,failed_inputs,failed_inputs,failed_inputs
✅✅✅✅✅✅✅✅,✅❌❌❌❌❌❌❌,❌❌❌❌❌❌❌❌,7,11,13,50,pppppppp,input/codex/fizzbuzz_count/0.txt,[],"[[""2"", ""1""], [""3"", ""0""], [""3"", ""0""], [""6"", ""0""], [""192"", ""0""], [""639"", ""0""], [""8026"", ""0""]]","[[""0"", ""222""], [""2"", ""546""], [""3"", ""560""], [""3"", ""900""], [""6"", ""3618""], [""192"", ""1454181""], [""639"", ""9090000""], [""8026"", ""909081818""]]",[],[],[],pfffffff,[],[],[],[],"[[""2"", ""1""], [""3"", ""0""], [""3"", ""0""], [""6"", ""0""], [""192"", ""0""], [""639"", ""0""], [""8026"", ""0""]]","[[""0"", ""222""], [""2"", ""546""], [""3"", ""560""], [""3"", ""900""], [""6"", ""3618""], [""192"", ""1454181""], [""639"", ""9090000""], [""8026"", ""909081818""]]",ffffffff,[],[],[],[],"[[""2"", ""1""], [""3"", ""0""], [""3"", ""0""], [""6"", ""0""], [""192"", ""0""], [""639"", ""0""], [""8026"", ""0""]]","[[""0"", ""222""], [""2"", ""546""], [""3"", ""560""], [""3"", ""900""], [""6"", ""3618""], [""192"", ""1454181""], [""639"", ""9090000""], [""8026"", ""909081818""]]"
✅❌❌❌❌❌❌❌,✅❌❌❌❌❌❌❌,❌❌❌❌❌❌❌❌,7,11,13,78,pfffffff,input/codex/fizzbuzz_count/1.txt,"[[""2"", ""1""], [""3"", ""2""], [""3"", ""2""], [""6"", ""5""], [""192"", ""174""], [""639"", ""545""], [""8026"", ""6583""]]","[[""2"", ""1""], [""3"", ""0""], [""3"", ""0""], [""6"", ""0""], [""192"", ""0""], [""639"", ""0""], [""8026"", ""0""]]","[[""0"", ""222""], [""2"", ""546""], [""3"", ""560""], [""3"", ""900""], [""6"", ""3618""], [""192"", ""1454181""], [""639"", ""9090000""], [""8026"", ""909081818""]]",[],[],[],pfffffff,[],[],[],"[[""2"", ""1""], [""3"", ""2""], [""3"", ""2""], [""6"", ""5""], [""192"", ""174""], [""639"", ""545""], [""8026"", ""6583""]]","[[""2"", ""1""], [""3"", ""0""], [""3"", ""0""], [""6"", ""0""], [""192"", ""0""], [""639"", ""0""], [""8026"", ""0""]]","[[""0"", ""222""], [""2"", ""546""], [""3"", ""560""], [""3"", ""900""], [""6"", ""3618""], [""192"", ""1454181""], [""639"", ""9090000""], [""8026"", ""909081818""]]",ffffffff,[],[],[],"[[""2"", ""1""], [""3"", ""2""], [""3"", ""2""], [""6"", ""5""], [""192"", ""174""], [""639"", ""545""], [""8026"", ""6583""]]","[[""2"", ""1""], [""3"", ""0""], [""3"", ""0""], [""6"", ""0""], [""192"", ""0""], [""639"", ""0""], [""8026"", ""0""]]","[[""0"", ""222""], [""2"", ""546""], [""3"", ""560""], [""3"", ""900""], [""6"", ""3618""], [""192"", ""1454181""], [""639"", ""9090000""], [""8026"", ""909081818""]]"
✅✅✅✅✅✅✅✅,✅❌❌❌❌❌❌❌,❌❌❌❌❌❌❌❌,7,11,13,3298,pppppppp,input/codex/fizzbuzz_count/2.txt,[],"[[""2"", ""1""], [""3"", ""0""], [""3"", ""0""], [""6"", ""0""], [""192"", ""0""], [""639"", ""0""], [""8026"", ""0""]]","[[""0"", ""222""], [""2"", ""546""], [""3"", ""560""], [""3"", ""900""], [""6"", ""3618""], [""192"", ""1454181""], [""639"", ""9090000""], [""8026"", ""909081818""]]",[],[],[],pfffffff,[],[],[],[],"[[""2"", ""1""], [""3"", ""0""], [""3"", ""0""], [""6"", ""0""], [""192"", ""0""], [""639"", ""0""], [""8026"", ""0""]]","[[""0"", ""222""], [""2"", ""546""], [""3"", ""560""], [""3"", ""900""], [""6"", ""3618""], [""192"", ""1454181""], [""639"", ""9090000""], [""8026"", ""909081818""]]",ffffffff,[],[],[],[],"[[""2"", ""1""], [""3"", ""0""], [""3"", ""0""], [""6"", ""0""], [""192"", ""0""], [""639"", ""0""], [""8026"", ""0""]]","[[""0"", ""222""], [""2"", ""546""], [""3"", ""560""], [""3"", ""900""], [""6"", ""3618""], [""192"", ""1454181""], [""639"", ""9090000""], [""8026"", ""909081818""]]"
✅✅✅✅✅✅✅✅,✅❌❌❌❌❌❌❌,❌❌❌❌❌❌❌❌,7,11,3819,50,pppppppp,input/codex/fizzbuzz_count/6.txt,[],"[[""2"", ""0""], [""2"", ""0""], [""2"", ""0""], [""4"", ""0""], [""109"", ""0""], [""365"", ""0""], [""4558"", ""0""]]","[[""0"", ""222""], [""2"", ""546""], [""2"", ""560""], [""2"", ""900""], [""4"", ""3618""], [""109"", ""1454181""], [""365"", ""9090000""], [""4558"", ""909081818""]]",[],[],[],pfffffff,[],[],[],[],"[[""2"", ""0""], [""2"", ""0""], [""2"", ""0""], [""4"", ""0""], [""109"", ""0""], [""365"", ""0""], [""4558"", ""0""]]","[[""0"", ""222""], [""2"", ""546""], [""2"", ""560""], [""2"", ""900""], [""4"", ""3618""], [""109"", ""1454181""], [""365"", ""9090000""], [""4558"", ""909081818""]]",ffffffff,[],[],[],[],"[[""2"", ""0""], [""2"", ""0""], [""2"", ""0""], [""4"", ""0""], [""109"", ""0""], [""365"", ""0""], [""4558"", ""0""]]","[[""0"", ""222""], [""2"", ""546""], [""2"", ""560""], [""2"", ""900""], [""4"", ""3618""], [""109"", ""1454181""], [""365"", ""9090000""], [""4558"", ""909081818""]]"
✅✅✅✅✅✅✅✅,✅❌❌❌❌❌❌❌,❌❌❌❌❌❌❌❌,7,11,3819,78,pppppppp,input/codex/fizzbuzz_count/7.txt,[],"[[""2"", ""0""], [""2"", ""0""], [""2"", ""0""], [""4"", ""0""], [""109"", ""0""], [""365"", ""0""], [""4558"", ""0""]]","[[""0"", ""600""], [""2"", ""936""], [""2"", ""948""], [""2"", ""1200""], [""4"", ""2400""], [""109"", ""44181""], [""365"", ""112362""], [""4558"", ""1100706""]]",[],[],[],pfffffff,[],[],[],[],"[[""2"", ""0""], [""2"", ""0""], [""2"", ""0""], [""4"", ""0""], [""109"", ""0""], [""365"", ""0""], [""4558"", ""0""]]","[[""0"", ""600""], [""2"", ""936""], [""2"", ""948""], [""2"", ""1200""], [""4"", ""2400""], [""109"", ""44181""], [""365"", ""112362""], [""4558"", ""1100706""]]",ffffffff,[],[],[],[],"[[""2"", ""0""], [""2"", ""0""], [""2"", ""0""], [""4"", ""0""], [""109"", ""0""], [""365"", ""0""], [""4558"", ""0""]]","[[""0"", ""600""], [""2"", ""936""], [""2"", ""948""], [""2"", ""1200""], [""4"", ""2400""], [""109"", ""44181""], [""365"", ""112362""], [""4558"", ""1100706""]]"
✅✅✅✅✅✅✅✅,✅❌❌❌❌❌❌❌,❌❌❌❌❌❌❌❌,7,11,3819,3298,pppppppp,input/codex/fizzbuzz_count/8.txt,[],"[[""2"", ""0""], [""2"", ""0""], [""2"", ""0""], [""4"", ""0""], [""109"", ""0""], [""365"", ""0""], [""4558"", ""0""]]","[[""0"", ""600""], [""2"", ""936""], [""2"", ""948""], [""2"", ""1200""], [""4"", ""2400""], [""109"", ""44181""], [""365"", ""112362""], [""4558"", ""1100706""]]",[],[],[],pfffffff,[],[],[],[],"[[""2"", ""0""], [""2"", ""0""], [""2"", ""0""], [""4"", ""0""], [""109"", ""0""], [""365"", ""0""], [""4558"", ""0""]]","[[""0"", ""600""], [""2"", ""936""], [""2"", ""948""], [""2"", ""1200""], [""4"", ""2400""], [""109"", ""44181""], [""365"", ""112362""], [""4558"", ""1100706""]]",ffffffff,[],[],[],[],"[[""2"", ""0""], [""2"", ""0""], [""2"", ""0""], [""4"", ""0""], [""109"", ""0""], [""365"", ""0""], [""4558"", ""0""]]","[[""0"", ""600""], [""2"", ""936""], [""2"", ""948""], [""2"", ""1200""], [""4"", ""2400""], [""109"", ""44181""], [""365"", ""112362""], [""4558"", ""1100706""]]"
✅✅✅✅✅✅✅✅,✅❌❌❌❌❌❌❌,❌❌❌❌❌❌❌❌,7,13,11,50,pppppppp,input/codex/fizzbuzz_count/12.txt,[],"[[""2"", ""1""], [""3"", ""0""], [""3"", ""0""], [""6"", ""0""], [""192"", ""0""], [""639"", ""0""], [""8026"", ""0""]]","[[""0"", ""189""], [""2"", ""463""], [""3"", ""475""], [""3"", ""762""], [""6"", ""3062""], [""192"", ""1230462""], [""639"", ""7691539""], [""8026"", ""769223077""]]",[],[],[],pfffffff,[],[],[],[],"[[""2"", ""1""], [""3"", ""0""], [""3"", ""0""], [""6"", ""0""], [""192"", ""0""], [""639"", ""0""], [""8026"", ""0""]]","[[""0"", ""189""], [""2"", ""463""], [""3"", ""475""], [""3"", ""762""], [""6"", ""3062""], [""192"", ""1230462""], [""639"", ""7691539""], [""8026"", ""769223077""]]",ffffffff,[],[],[],[],"[[""2"", ""1""], [""3"", ""0""], [""3"", ""0""], [""6"", ""0""], [""192"", ""0""], [""639"", ""0""], [""8026"", ""0""]]","[[""0"", ""189""], [""2"", ""463""], [""3"", ""475""], [""3"", ""762""], [""6"", ""3062""], [""192"", ""1230462""], [""639"", ""7691539""], [""8026"", ""769223077""]]"
✅✅✅✅✅✅✅✅,✅❌❌❌❌❌❌❌,❌❌❌❌❌❌❌❌,7,13,11,78,pppppppp,input/codex/fizzbuzz_count/13.txt,[],"[[""2"", ""1""], [""3"", ""0""], [""3"", ""0""], [""6"", ""0""], [""192"", ""0""], [""639"", ""0""], [""8026"", ""0""]]","[[""0"", ""189""], [""2"", ""463""], [""3"", ""475""], [""3"", ""762""], [""6"", ""3062""], [""192"", ""1230462""], [""639"", ""7691539""], [""8026"", ""769223077""]]",[],[],[],pfffffff,[],[],[],[],"[[""2"", ""1""], [""3"", ""0""], [""3"", ""0""], [""6"", ""0""], [""192"", ""0""], [""639"", ""0""], [""8026"", ""0""]]","[[""0"", ""189""], [""2"", ""463""], [""3"", ""475""], [""3"", ""762""], [""6"", ""3062""], [""192"", ""1230462""], [""639"", ""7691539""], [""8026"", ""769223077""]]",ffffffff,[],[],[],[],"[[""2"", ""1""], [""3"", ""0""], [""3"", ""0""], [""6"", ""0""], [""192"", ""0""], [""639"", ""0""], [""8026"", ""0""]]","[[""0"", ""189""], [""2"", ""463""], [""3"", ""475""], [""3"", ""762""], [""6"", ""3062""], [""192"", ""1230462""], [""639"", ""7691539""], [""8026"", ""769223077""]]"
✅✅✅✅✅✅✅✅,✅❌❌❌❌❌❌❌,❌❌❌❌❌❌❌❌,7,13,11,3298,pppppppp,input/codex/fizzbuzz_count/14.txt,[],"[[""2"", ""1""], [""3"", ""0""], [""3"", ""0""], [""6"", ""0""], [""192"", ""0""], [""639"", ""0""], [""8026"", ""0""]]","[[""0"", ""199""], [""2"", ""473""], [""3"", ""485""], [""3"", ""772""], [""6"", ""3072""], [""192"", ""1230472""], [""639"", ""7691549""], [""8026"", ""769223087""]]",[],[],[],pfffffff,[],[],[],[],"[[""2"", ""1""], [""3"", ""0""], [""3"", ""0""], [""6"", ""0""], [""192"", ""0""], [""639"", ""0""], [""8026"", ""0""]]","[[""0"", ""199""], [""2"", ""473""], [""3"", ""485""], [""3"", ""772""], [""6"", ""3072""], [""192"", ""1230472""], [""639"", ""7691549""], [""8026"", ""769223087""]]",ffffffff,[],[],[],[],"[[""2"", ""1""], [""3"", ""0""], [""3"", ""0""], [""6"", ""0""], [""192"", ""0""], [""639"", ""0""], [""8026"", ""0""]]","[[""0"", ""199""], [""2"", ""473""], [""3"", ""485""], [""3"", ""772""], [""6"", ""3072""], [""192"", ""1230472""], [""639"", ""7691549""], [""8026"", ""769223087""]]"
✅✅✅✅✅✅✅✅,✅❌❌❌❌❌❌❌,❌❌❌❌❌❌❌❌,7,13,3819,50,pppppppp,input/codex/fizzbuzz_count/15.txt,[],"[[""0"", ""1""], [""1"", ""0""], [""1"", ""0""], [""2"", ""0""], [""93"", ""0""], [""308"", ""0""], [""3858"", ""0""]]","[[""0"", ""189""], [""0"", ""463""], [""1"", ""475""], [""1"", ""762""], [""2"", ""3062""], [""93"", ""1230462""], [""308"", ""7691539""], [""3858"", ""769223077""]]",[],[],[],pfffffff,[],[],[],[],"[[""0"", ""1""], [""1"", ""0""], [""1"", ""0""], [""2"", ""0""], [""93"", ""0""], [""308"", ""0""], [""3858"", ""0""]]","[[""0"", ""189""], [""0"", ""463""], [""1"", ""475""], [""1"", ""762""], [""2"", ""3062""], [""93"", ""1230462""], [""308"", ""7691539""], [""3858"", ""769223077""]]",ffffffff,[],[],[],[],"[[""0"", ""1""], [""1"", ""0""], [""1"", ""0""], [""2"", ""0""], [""93"", ""0""], [""308"", ""0""], [""3858"", ""0""]]","[[""0"", ""189""], [""0"", ""463""], [""1"", ""475""], [""1"", ""762""], [""2"", ""3062""], [""93"", ""1230462""], [""308"", ""7691539""], [""3858"", ""769223077""]]"
