codex_result_emojis,incoder_result_emojis,codeparrot_result_emojis,hash_type,transform,example_input,codex_result,model_input,failed_inputs,failed_inputs,failed_inputs,errors,errors,errors,incoder_result,errors,errors,errors,failed_inputs,failed_inputs,failed_inputs,codeparrot_result,errors,errors,errors,failed_inputs,failed_inputs,failed_inputs
✅✅✅✅,✅✅✅✅,✅✅✅❌,md5,none,,pppp,input/codex/hash/0.txt,[],[],"[[""None"", ""'d41d8cd98f00b204e9800998ecf8427e'""]]",[],[],[],pppp,[],[],[],[],[],"[[""None"", ""'d41d8cd98f00b204e9800998ecf8427e'""]]",pppf,[],[],[],[],[],"[[""None"", ""'d41d8cd98f00b204e9800998ecf8427e'""]]"
✅✅✅✅,✅✅✅✅,💀💀💀✅,md5,none,Hello world,pppp,input/codex/hash/1.txt,[],[],[],[],[],"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]",pppp,[],[],"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]",[],[],[],eeep,[],[],"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]",[],[],[]
✅✅✅✅,✅✅✅✅,❌❌❌✅,md5,none,Hallo welt,pppp,input/codex/hash/2.txt,[],[],"[[""'3e25960a79dbc69b674cd4ec67a72c62'"", ""None""], [""'0ef78513b0cb8cef12743f5aeb35f888'"", ""None""], [""'5f4dcc3b5aa765d61d8327deb882cf99'"", ""None""]]",[],[],[],pppp,[],[],[],[],[],"[[""'3e25960a79dbc69b674cd4ec67a72c62'"", ""None""], [""'0ef78513b0cb8cef12743f5aeb35f888'"", ""None""], [""'5f4dcc3b5aa765d61d8327deb882cf99'"", ""None""]]",fffp,[],[],[],[],[],"[[""'3e25960a79dbc69b674cd4ec67a72c62'"", ""None""], [""'0ef78513b0cb8cef12743f5aeb35f888'"", ""None""], [""'5f4dcc3b5aa765d61d8327deb882cf99'"", ""None""]]"
💀💀💀✅,✅✅✅✅,💀💀💀✅,md5,none,0,eeep,input/codex/hash/3.txt,[],[],[],"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]",[],"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]",pppp,"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]",[],"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]",[],[],[],eeep,"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]",[],"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]",[],[],[]
✅✅✅✅,✅✅✅✅,💀💀💀✅,md5,none,sha1,pppp,input/codex/hash/4.txt,[],[],[],[],[],"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]",pppp,[],[],"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]",[],[],[],eeep,[],[],"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]",[],[],[]
✅✅✅✅,✅✅✅✅,✅✅✅✅,md5,none,md5,pppp,input/codex/hash/5.txt,[],[],[],[],[],[],pppp,[],[],[],[],[],[],pppp,[],[],[],[],[],[]
✅✅✅✅,✅✅✅❌,✅✅✅❌,md5,uppercase,,pppp,input/codex/hash/6.txt,[],"[[""None"", ""'d41d8cd98f00b204e9800998ecf8427e'""]]","[[""None"", ""'d41d8cd98f00b204e9800998ecf8427e'""]]",[],[],[],pppf,[],[],[],[],"[[""None"", ""'d41d8cd98f00b204e9800998ecf8427e'""]]","[[""None"", ""'d41d8cd98f00b204e9800998ecf8427e'""]]",pppf,[],[],[],[],"[[""None"", ""'d41d8cd98f00b204e9800998ecf8427e'""]]","[[""None"", ""'d41d8cd98f00b204e9800998ecf8427e'""]]"
✅✅✅✅,✅✅✅✅,💀💀💀✅,md5,uppercase,Hello world,pppp,input/codex/hash/7.txt,[],[],[],[],[],"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]",pppp,[],[],"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]",[],[],[],eeep,[],[],"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]",[],[],[]
✅✅✅✅,✅✅✅✅,💀💀💀✅,md5,uppercase,Hallo welt,pppp,input/codex/hash/8.txt,[],[],[],[],[],"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]",pppp,[],[],"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]",[],[],[],eeep,[],[],"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]",[],[],[]
✅✅✅✅,💀💀💀✅,💀💀💀✅,md5,uppercase,0,pppp,input/codex/hash/9.txt,[],[],[],[],"[""name 'md5' is not defined"", ""name 'md5' is not defined"", ""name 'md5' is not defined""]","[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]",eeep,[],"[""name 'md5' is not defined"", ""name 'md5' is not defined"", ""name 'md5' is not defined""]","[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]",[],[],[],eeep,[],"[""name 'md5' is not defined"", ""name 'md5' is not defined"", ""name 'md5' is not defined""]","[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]",[],[],[]
