codex_result_emojis,incoder_result_emojis,codeparrot_result_emojis,op,step,example_input,codex_result,model_input,failed_inputs,failed_inputs,failed_inputs,errors,errors,errors,incoder_result,errors,errors,errors,failed_inputs,failed_inputs,failed_inputs,codeparrot_result,errors,errors,errors,failed_inputs,failed_inputs,failed_inputs
✅✅✅,✅❌❌,✅❌❌,incr,0,"[1, 2, 3]",ppp,input/codex/incr_list/0.txt,[],"[[""[3, 2, 1]"", ""[4, 3, 2]""], [""[5, 2, 5, 2, 3, 3, 9, 0, 123]"", ""[6, 3, 6, 3, 4, 4, 10, 1, 124]""]]","[[""[3, 2, 1]"", ""[4, 3, 2]""], [""[5, 2, 5, 2, 3, 3, 9, 0, 123]"", ""[6, 3, 6, 3, 4, 4, 10, 1, 124]""]]",[],[],[],pff,[],[],[],[],"[[""[3, 2, 1]"", ""[4, 3, 2]""], [""[5, 2, 5, 2, 3, 3, 9, 0, 123]"", ""[6, 3, 6, 3, 4, 4, 10, 1, 124]""]]","[[""[3, 2, 1]"", ""[4, 3, 2]""], [""[5, 2, 5, 2, 3, 3, 9, 0, 123]"", ""[6, 3, 6, 3, 4, 4, 10, 1, 124]""]]",pff,[],[],[],[],"[[""[3, 2, 1]"", ""[4, 3, 2]""], [""[5, 2, 5, 2, 3, 3, 9, 0, 123]"", ""[6, 3, 6, 3, 4, 4, 10, 1, 124]""]]","[[""[3, 2, 1]"", ""[4, 3, 2]""], [""[5, 2, 5, 2, 3, 3, 9, 0, 123]"", ""[6, 3, 6, 3, 4, 4, 10, 1, 124]""]]"
✅✅✅,✅❌❌,✅❌❌,incr,0,"[5, 3, 5, 2, 3, 3, 9, 0, 123]",ppp,input/codex/incr_list/1.txt,[],"[[""[3, 2, 1]"", ""[4, 3, 2]""], [""[5, 2, 5, 2, 3, 3, 9, 0, 123]"", ""[6, 3, 6, 3, 4, 4, 10, 1, 124]""]]","[[""[3, 2, 1]"", ""[4, 3, 2]""], [""[5, 2, 5, 2, 3, 3, 9, 0, 123]"", ""[6, 3, 6, 3, 4, 4, 10, 1, 124]""]]",[],[],[],pff,[],[],[],[],"[[""[3, 2, 1]"", ""[4, 3, 2]""], [""[5, 2, 5, 2, 3, 3, 9, 0, 123]"", ""[6, 3, 6, 3, 4, 4, 10, 1, 124]""]]","[[""[3, 2, 1]"", ""[4, 3, 2]""], [""[5, 2, 5, 2, 3, 3, 9, 0, 123]"", ""[6, 3, 6, 3, 4, 4, 10, 1, 124]""]]",pff,[],[],[],[],"[[""[3, 2, 1]"", ""[4, 3, 2]""], [""[5, 2, 5, 2, 3, 3, 9, 0, 123]"", ""[6, 3, 6, 3, 4, 4, 10, 1, 124]""]]","[[""[3, 2, 1]"", ""[4, 3, 2]""], [""[5, 2, 5, 2, 3, 3, 9, 0, 123]"", ""[6, 3, 6, 3, 4, 4, 10, 1, 124]""]]"
✅✅✅,💀💀💀,✅✅✅,incr,1,"[1, 2, 3]",ppp,input/codex/incr_list/2.txt,[],[],[],[],"[""invalid syntax (0.py, line 8)"", ""invalid syntax (0.py, line 8)"", ""invalid syntax (0.py, line 8)""]",[],eee,[],"[""invalid syntax (0.py, line 8)"", ""invalid syntax (0.py, line 8)"", ""invalid syntax (0.py, line 8)""]",[],[],[],[],ppp,[],"[""invalid syntax (0.py, line 8)"", ""invalid syntax (0.py, line 8)"", ""invalid syntax (0.py, line 8)""]",[],[],[],[]
✅✅✅,❌❌❌,✅❌❌,incr,1,"[5, 3, 5, 2, 3, 3, 9, 0, 123]",ppp,input/codex/incr_list/3.txt,[],"[[""[]"", ""[1]""], [""[4, 3, 2]"", ""[0, 1, 2, 4]""], [""[6, 3, 6, 3, 4, 4, 10, 1, 124]"", ""[0, 0, 2, 2, 3, 3, 5, 5, 9, 124]""]]","[[""[4, 3, 2]"", ""[4, 3]""], [""[6, 3, 6, 3, 4, 4, 10, 1, 124]"", ""[6, 3, 6, 3, 4, 4, 10, 124]""]]",[],[],[],fff,[],[],[],[],"[[""[]"", ""[1]""], [""[4, 3, 2]"", ""[0, 1, 2, 4]""], [""[6, 3, 6, 3, 4, 4, 10, 1, 124]"", ""[0, 0, 2, 2, 3, 3, 5, 5, 9, 124]""]]","[[""[4, 3, 2]"", ""[4, 3]""], [""[6, 3, 6, 3, 4, 4, 10, 1, 124]"", ""[6, 3, 6, 3, 4, 4, 10, 124]""]]",pff,[],[],[],[],"[[""[]"", ""[1]""], [""[4, 3, 2]"", ""[0, 1, 2, 4]""], [""[6, 3, 6, 3, 4, 4, 10, 1, 124]"", ""[0, 0, 2, 2, 3, 3, 5, 5, 9, 124]""]]","[[""[4, 3, 2]"", ""[4, 3]""], [""[6, 3, 6, 3, 4, 4, 10, 1, 124]"", ""[6, 3, 6, 3, 4, 4, 10, 124]""]]"
✅✅✅,✅✅✅,✅❌❌,incr,2,"[1, 2, 3]",ppp,input/codex/incr_list/4.txt,[],[],"[[""[5, 4, 3]"", ""[5]""], [""[7, 4, 7, 4, 5, 5, 11, 2, 125]"", ""[7, 7, 6, 9]""]]",[],[],[],ppp,[],[],[],[],[],"[[""[5, 4, 3]"", ""[5]""], [""[7, 4, 7, 4, 5, 5, 11, 2, 125]"", ""[7, 7, 6, 9]""]]",pff,[],[],[],[],[],"[[""[5, 4, 3]"", ""[5]""], [""[7, 4, 7, 4, 5, 5, 11, 2, 125]"", ""[7, 7, 6, 9]""]]"
✅✅✅,✅✅✅,✅❌❌,incr,2,"[5, 3, 5, 2, 3, 3, 9, 0, 123]",ppp,input/codex/incr_list/5.txt,[],[],"[[""[5, 4, 3]"", ""[5]""], [""[7, 4, 7, 4, 5, 5, 11, 2, 125]"", ""[7, 7, 6, 9]""]]",[],[],[],ppp,[],[],[],[],[],"[[""[5, 4, 3]"", ""[5]""], [""[7, 4, 7, 4, 5, 5, 11, 2, 125]"", ""[7, 7, 6, 9]""]]",pff,[],[],[],[],[],"[[""[5, 4, 3]"", ""[5]""], [""[7, 4, 7, 4, 5, 5, 11, 2, 125]"", ""[7, 7, 6, 9]""]]"
✅✅✅,✅✅✅,✅❌❌,incr,100,"[1, 2, 3]",ppp,input/codex/incr_list/6.txt,[],[],"[[""[103, 102, 101]"", ""[5]""], [""[105, 102, 105, 102, 103, 103, 109, 100, 223]"", ""[7]""]]",[],[],[],ppp,[],[],[],[],[],"[[""[103, 102, 101]"", ""[5]""], [""[105, 102, 105, 102, 103, 103, 109, 100, 223]"", ""[7]""]]",pff,[],[],[],[],[],"[[""[103, 102, 101]"", ""[5]""], [""[105, 102, 105, 102, 103, 103, 109, 100, 223]"", ""[7]""]]"
✅✅✅,✅✅✅,✅❌❌,incr,100,"[5, 3, 5, 2, 3, 3, 9, 0, 123]",ppp,input/codex/incr_list/7.txt,[],[],"[[""[103, 102, 101]"", ""[5, 3]""], [""[105, 102, 105, 102, 103, 103, 109, 100, 223]"", ""[7, 7, 7, 5, 6, 12, 9, 123]""]]",[],[],[],ppp,[],[],[],[],[],"[[""[103, 102, 101]"", ""[5, 3]""], [""[105, 102, 105, 102, 103, 103, 109, 100, 223]"", ""[7, 7, 7, 5, 6, 12, 9, 123]""]]",pff,[],[],[],[],[],"[[""[103, 102, 101]"", ""[5, 3]""], [""[105, 102, 105, 102, 103, 103, 109, 100, 223]"", ""[7, 7, 7, 5, 6, 12, 9, 123]""]]"
✅✅✅,✅✅✅,✅❌❌,incr,9999,"[1, 2, 3]",ppp,input/codex/incr_list/8.txt,[],[],"[[""[10002, 10001, 10000]"", ""[]""], [""[10004, 10001, 10004, 10001, 10002, 10002, 10008, 9999, 10122]"", ""[]""]]",[],[],[],ppp,[],[],[],[],[],"[[""[10002, 10001, 10000]"", ""[]""], [""[10004, 10001, 10004, 10001, 10002, 10002, 10008, 9999, 10122]"", ""[]""]]",pff,[],[],[],[],[],"[[""[10002, 10001, 10000]"", ""[]""], [""[10004, 10001, 10004, 10001, 10002, 10002, 10008, 9999, 10122]"", ""[]""]]"
✅✅✅,✅✅✅,✅❌❌,incr,9999,"[5, 3, 5, 2, 3, 3, 9, 0, 123]",ppp,input/codex/incr_list/9.txt,[],[],"[[""[10002, 10001, 10000]"", ""[]""], [""[10004, 10001, 10004, 10001, 10002, 10002, 10008, 9999, 10122]"", ""[]""]]",[],[],[],ppp,[],[],[],[],[],"[[""[10002, 10001, 10000]"", ""[]""], [""[10004, 10001, 10004, 10001, 10002, 10002, 10008, 9999, 10122]"", ""[]""]]",pff,[],[],[],[],[],"[[""[10002, 10001, 10000]"", ""[]""], [""[10004, 10001, 10004, 10001, 10002, 10002, 10008, 9999, 10122]"", ""[]""]]"
