codex_result_emojis,incoder_result_emojis,codeparrot_result_emojis,pos_ret,neg_ret,sep,case,codex_result,model_input,failed_inputs,failed_inputs,failed_inputs,errors,errors,errors,incoder_result,errors,errors,errors,failed_inputs,failed_inputs,failed_inputs,codeparrot_result,errors,errors,errors,failed_inputs,failed_inputs,failed_inputs
✅✅✅✅✅✅✅✅✅✅✅✅✅✅,✅❌✅✅✅✅✅✅✅✅✅✅✅✅,❌❌❌❌❌❌❌❌❌❌❌❌❌❌,True,False,an underscore,uppercase,pppppppppppppp,input/codex/joined_seq/14.txt,[],"[[""True"", ""False""]]","[[""False"", ""'aab cbbbc'""], [""True"", ""'AAB CBBC'""], [""False"", ""'aab  cbbbc'""], [""False"", ""'AAB  CBBC'""], [""False"", ""'aab      cbbbc'""], [""False"", ""'AAB      CBBC'""], [""False"", ""'aab?cbbbc'""], [""False"", ""'AAB?CBBC'""], [""False"", ""'aab+cbbbc'""], [""False"", ""'AAB+CBBC'""], [""False"", ""'aab-cbbbc'""], [""False"", ""'AAB-CBBC'""], [""False"", ""'aab?cbbbc'""], [""False"", ""'AAB?CBBC'""]]",[],[],[],pfpppppppppppp,[],[],[],[],"[[""True"", ""False""]]","[[""False"", ""'aab cbbbc'""], [""True"", ""'AAB CBBC'""], [""False"", ""'aab  cbbbc'""], [""False"", ""'AAB  CBBC'""], [""False"", ""'aab      cbbbc'""], [""False"", ""'AAB      CBBC'""], [""False"", ""'aab?cbbbc'""], [""False"", ""'AAB?CBBC'""], [""False"", ""'aab+cbbbc'""], [""False"", ""'AAB+CBBC'""], [""False"", ""'aab-cbbbc'""], [""False"", ""'AAB-CBBC'""], [""False"", ""'aab?cbbbc'""], [""False"", ""'AAB?CBBC'""]]",ffffffffffffff,[],[],[],[],"[[""True"", ""False""]]","[[""False"", ""'aab cbbbc'""], [""True"", ""'AAB CBBC'""], [""False"", ""'aab  cbbbc'""], [""False"", ""'AAB  CBBC'""], [""False"", ""'aab      cbbbc'""], [""False"", ""'AAB      CBBC'""], [""False"", ""'aab?cbbbc'""], [""False"", ""'AAB?CBBC'""], [""False"", ""'aab+cbbbc'""], [""False"", ""'AAB+CBBC'""], [""False"", ""'aab-cbbbc'""], [""False"", ""'AAB-CBBC'""], [""False"", ""'aab?cbbbc'""], [""False"", ""'AAB?CBBC'""]]"
✅✅✅✅✅✅✅✅✅✅✅✅✅✅,❌❌❌❌❌❌❌❌❌❌❌❌❌❌,💀💀💀💀💀💀💀💀💀💀💀💀💀💀,True,False,an underscore,lowercase,pppppppppppppp,input/codex/joined_seq/15.txt,[],"[[""True"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""]]",[],[],[],"[""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined""]",ffffffffffffff,[],[],"[""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined""]",[],"[[""True"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""]]",[],eeeeeeeeeeeeee,[],[],"[""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined""]",[],"[[""True"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""]]",[]
✅✅✅✅✅✅✅✅✅✅✅✅✅✅,❌❌❌❌❌❌❌❌❌❌❌❌❌❌,💀💀💀💀💀💀💀💀💀💀💀💀💀💀,True,False,two underscores,uppercase,pppppppppppppp,input/codex/joined_seq/16.txt,[],"[[""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""True"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""]]",[],[],[],"[""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined""]",ffffffffffffff,[],[],"[""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined""]",[],"[[""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""True"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""]]",[],eeeeeeeeeeeeee,[],[],"[""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined""]",[],"[[""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""True"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""]]",[]
✅✅✅✅✅✅✅✅✅✅✅✅✅✅,❌✅❌✅✅✅✅✅✅✅✅✅✅✅,❌❌❌❌❌❌❌❌❌❌❌❌❌❌,True,False,two underscores,lowercase,pppppppppppppp,input/codex/joined_seq/17.txt,[],"[[""False"", ""True""], [""True"", ""False""]]","[[""False"", ""'aabcbbbc'""], [""False"", ""'AABCBBC'""], [""True"", ""'aabcbbbc'""], [""False"", ""'AABCBBC'""], [""False"", ""'aabcbbbc'""], [""False"", ""'AABCBBC'""], [""False"", ""'aabcbbbc'""], [""False"", ""'AABCBBC'""], [""False"", ""'aabcbbbc'""], [""False"", ""'AABCBBC'""], [""False"", ""'aabcbbbc'""], [""False"", ""'AABCBBC'""], [""False"", ""'aabcbbbc'""], [""False"", ""'AABCBBC'""]]",[],[],[],fpfppppppppppp,[],[],[],[],"[[""False"", ""True""], [""True"", ""False""]]","[[""False"", ""'aabcbbbc'""], [""False"", ""'AABCBBC'""], [""True"", ""'aabcbbbc'""], [""False"", ""'AABCBBC'""], [""False"", ""'aabcbbbc'""], [""False"", ""'AABCBBC'""], [""False"", ""'aabcbbbc'""], [""False"", ""'AABCBBC'""], [""False"", ""'aabcbbbc'""], [""False"", ""'AABCBBC'""], [""False"", ""'aabcbbbc'""], [""False"", ""'AABCBBC'""], [""False"", ""'aabcbbbc'""], [""False"", ""'AABCBBC'""]]",ffffffffffffff,[],[],[],[],"[[""False"", ""True""], [""True"", ""False""]]","[[""False"", ""'aabcbbbc'""], [""False"", ""'AABCBBC'""], [""True"", ""'aabcbbbc'""], [""False"", ""'AABCBBC'""], [""False"", ""'aabcbbbc'""], [""False"", ""'AABCBBC'""], [""False"", ""'aabcbbbc'""], [""False"", ""'AABCBBC'""], [""False"", ""'aabcbbbc'""], [""False"", ""'AABCBBC'""], [""False"", ""'aabcbbbc'""], [""False"", ""'AABCBBC'""], [""False"", ""'aabcbbbc'""], [""False"", ""'AABCBBC'""]]"
✅❌✅❌✅✅✅✅✅✅✅✅✅✅,❌❌❌❌❌❌❌❌❌❌❌❌❌❌,💀💀💀💀💀💀💀💀💀💀💀💀💀💀,True,False,six underscores,uppercase,pfpfpppppppppp,input/codex/joined_seq/18.txt,"[[""False"", ""True""], [""False"", ""True""]]","[[""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""True"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""]]",[],[],[],"[""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output""]",ffffffffffffff,[],[],"[""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output""]","[[""False"", ""True""], [""False"", ""True""]]","[[""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""True"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""]]",[],eeeeeeeeeeeeee,[],[],"[""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output""]","[[""False"", ""True""], [""False"", ""True""]]","[[""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""True"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""]]",[]
❌✅❌✅✅✅✅✅✅✅✅✅✅✅,✅✅✅✅❌✅✅✅✅✅✅✅✅✅,💀💀💀💀💀💀💀💀💀💀💀💀💀💀,True,False,six underscores,lowercase,fpfppppppppppp,input/codex/joined_seq/19.txt,"[[""False"", ""True""], [""False"", ""True""]]","[[""True"", ""False""]]",[],[],[],"[""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined""]",ppppfppppppppp,[],[],"[""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined""]","[[""False"", ""True""], [""False"", ""True""]]","[[""True"", ""False""]]",[],eeeeeeeeeeeeee,[],[],"[""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined""]","[[""False"", ""True""], [""False"", ""True""]]","[[""True"", ""False""]]",[]
✅✅✅✅✅✅✅✅✅✅✅✅✅✅,💀💀💀💀💀💀💀💀💀💀💀💀💀💀,✅❌✅❌✅❌✅❌✅❌✅✅✅❌,True,False,a minus,uppercase,pppppppppppppp,input/codex/joined_seq/20.txt,[],[],"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""]]",[],"[""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output""]",[],eeeeeeeeeeeeee,[],"[""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output""]",[],[],[],"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""]]",pfpfpfpfpfpppf,[],"[""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output""]",[],[],[],"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""]]"
❌❌❌❌❌❌❌❌❌❌❌❌❌❌,✅✅✅✅✅✅✅✅✅✅✅❌✅✅,💀💀💀💀💀💀💀💀💀💀💀💀💀💀,True,False,a minus,lowercase,ffffffffffffff,input/codex/joined_seq/21.txt,"[[""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""True"", ""<re.Match object; span=(0, 9), match='aab-cbbbc'>""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""]]","[[""False"", ""True""]]",[],[],[],"[""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined""]",pppppppppppfpp,[],[],"[""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined""]","[[""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""True"", ""<re.Match object; span=(0, 9), match='aab-cbbbc'>""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""]]","[[""False"", ""True""]]",[],eeeeeeeeeeeeee,[],[],"[""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined""]","[[""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""True"", ""<re.Match object; span=(0, 9), match='aab-cbbbc'>""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""]]","[[""False"", ""True""]]",[]
✅✅✅✅✅✅✅✅✅✅✅✅✅✅,❌❌❌❌❌❌❌❌❌❌❌❌❌❌,💀💀💀💀💀💀💀💀💀💀💀💀💀💀,True,False,a plus,uppercase,pppppppppppppp,input/codex/joined_seq/22.txt,[],"[[""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""True"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""]]",[],[],[],"[""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined""]",ffffffffffffff,[],[],"[""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined""]",[],"[[""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""True"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""]]",[],eeeeeeeeeeeeee,[],[],"[""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined""]",[],"[[""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""True"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""]]",[]
❌❌❌❌❌❌❌❌❌❌❌❌❌❌,❌❌❌❌❌❌❌❌❌❌❌❌❌❌,❌❌❌❌❌❌❌❌❌❌❌❌❌❌,True,False,a plus,lowercase,ffffffffffffff,input/codex/joined_seq/23.txt,"[[""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""True"", ""<re.Match object; span=(0, 9), match='aab+cbbbc'>""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""]]","[[""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""True"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""]]","[[""False"", ""'aab_cbbbc'""], [""False"", ""'aab_cbbc'""], [""False"", ""'aab__cbbbc'""], [""False"", ""'aab__cbbc'""], [""False"", ""'aab______cbbbc'""], [""False"", ""'aab______cbbc'""], [""False"", ""'aab?cbbbc'""], [""False"", ""'aab?cbbc'""], [""True"", ""'aab+cbbbc'""], [""False"", ""'aab+cbbc'""], [""False"", ""'aab-cbbbc'""], [""False"", ""'aab-cbbc'""], [""False"", ""'aab?cbbbc'""], [""False"", ""'aab?cbbc'""]]",[],[],[],ffffffffffffff,[],[],[],"[[""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""True"", ""<re.Match object; span=(0, 9), match='aab+cbbbc'>""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""]]","[[""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""True"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""]]","[[""False"", ""'aab_cbbbc'""], [""False"", ""'aab_cbbc'""], [""False"", ""'aab__cbbbc'""], [""False"", ""'aab__cbbc'""], [""False"", ""'aab______cbbbc'""], [""False"", ""'aab______cbbc'""], [""False"", ""'aab?cbbbc'""], [""False"", ""'aab?cbbc'""], [""True"", ""'aab+cbbbc'""], [""False"", ""'aab+cbbc'""], [""False"", ""'aab-cbbbc'""], [""False"", ""'aab-cbbc'""], [""False"", ""'aab?cbbbc'""], [""False"", ""'aab?cbbc'""]]",ffffffffffffff,[],[],[],"[[""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""True"", ""<re.Match object; span=(0, 9), match='aab+cbbbc'>""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""]]","[[""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""True"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""]]","[[""False"", ""'aab_cbbbc'""], [""False"", ""'aab_cbbc'""], [""False"", ""'aab__cbbbc'""], [""False"", ""'aab__cbbc'""], [""False"", ""'aab______cbbbc'""], [""False"", ""'aab______cbbc'""], [""False"", ""'aab?cbbbc'""], [""False"", ""'aab?cbbc'""], [""True"", ""'aab+cbbbc'""], [""False"", ""'aab+cbbc'""], [""False"", ""'aab-cbbbc'""], [""False"", ""'aab-cbbc'""], [""False"", ""'aab?cbbbc'""], [""False"", ""'aab?cbbc'""]]"
