codex_result_emojis,incoder_result_emojis,codeparrot_result_emojis,sum_num,count,example_input,codex_result,model_input,failed_inputs,failed_inputs,failed_inputs,errors,errors,errors,incoder_result,errors,errors,errors,failed_inputs,failed_inputs,failed_inputs,codeparrot_result,errors,errors,errors,failed_inputs,failed_inputs,failed_inputs
✅✅✅✅✅✅✅,✅✅❌✅✅✅✅,✅✅✅✅✅✅✅,0,2,"[1, 3, 5, 0]",ppppppp,input/codex/triples_sum_to/0.txt,[],"[[""False"", ""True""]]",[],[],[],[],ppfpppp,[],[],[],[],"[[""False"", ""True""]]",[],ppppppp,[],[],[],[],"[[""False"", ""True""]]",[]
✅✅✅✅✅✅✅,✅✅❌✅✅✅✅,✅✅✅✅✅✅✅,0,2,"[1, 3, -2, 1, 5, 8]",ppppppp,input/codex/triples_sum_to/1.txt,[],"[[""False"", ""True""]]",[],[],[],[],ppfpppp,[],[],[],[],"[[""False"", ""True""]]",[],ppppppp,[],[],[],[],"[[""False"", ""True""]]",[]
✅✅✅✅✅✅✅,✅✅❌✅✅✅✅,✅✅✅✅✅✅✅,0,2,"[1, 2, -3, 7, 2, 7]",ppppppp,input/codex/triples_sum_to/2.txt,[],"[[""False"", ""True""]]",[],[],[],[],ppfpppp,[],[],[],[],"[[""False"", ""True""]]",[],ppppppp,[],[],[],[],"[[""False"", ""True""]]",[]
✅✅✅✅✅✅✅,✅✅❌✅✅✅✅,✅✅✅✅✅✅✅,0,2,[1],ppppppp,input/codex/triples_sum_to/3.txt,[],"[[""False"", ""True""]]",[],[],[],[],ppfpppp,[],[],[],[],"[[""False"", ""True""]]",[],ppppppp,[],[],[],[],"[[""False"", ""True""]]",[]
✅✅✅✅✅✅✅,✅❌❌❌❌✅✅,✅❌❌❌❌✅✅,0,3,"[1, 3, 5, 0]",ppppppp,input/codex/triples_sum_to/4.txt,[],"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]","[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]",[],[],[],pffffpp,[],[],[],[],"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]","[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]",pffffpp,[],[],[],[],"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]","[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]"
✅✅✅✅✅✅✅,✅❌❌❌❌✅✅,✅❌❌❌❌✅✅,0,3,"[1, 3, -2, 1, 5, 8]",ppppppp,input/codex/triples_sum_to/5.txt,[],"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]","[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]",[],[],[],pffffpp,[],[],[],[],"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]","[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]",pffffpp,[],[],[],[],"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]","[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]"
✅✅✅✅✅✅✅,✅❌❌❌❌✅✅,✅❌❌❌❌✅✅,0,3,"[1, 2, -3, 7, 2, 7]",ppppppp,input/codex/triples_sum_to/6.txt,[],"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]","[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]",[],[],[],pffffpp,[],[],[],[],"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]","[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]",pffffpp,[],[],[],[],"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]","[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]"
✅✅✅✅✅✅✅,✅❌❌❌❌✅✅,✅❌❌❌❌✅✅,0,3,[1],ppppppp,input/codex/triples_sum_to/7.txt,[],"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]","[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]",[],[],[],pffffpp,[],[],[],[],"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]","[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]",pffffpp,[],[],[],[],"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]","[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]"
✅✅✅✅✅✅✅,❌❌✅❌❌❌✅,✅✅✅❌❌✅✅,0,4,"[1, 3, 5, 0]",ppppppp,input/codex/triples_sum_to/8.txt,[],"[[""False"", ""True""], [""False"", ""True""], [""True"", ""False""], [""True"", ""False""], [""False"", ""True""]]","[[""True"", ""False""], [""True"", ""False""]]",[],[],[],ffpfffp,[],[],[],[],"[[""False"", ""True""], [""False"", ""True""], [""True"", ""False""], [""True"", ""False""], [""False"", ""True""]]","[[""True"", ""False""], [""True"", ""False""]]",pppffpp,[],[],[],[],"[[""False"", ""True""], [""False"", ""True""], [""True"", ""False""], [""True"", ""False""], [""False"", ""True""]]","[[""True"", ""False""], [""True"", ""False""]]"
✅✅✅✅✅✅✅,❌❌✅❌❌❌✅,✅✅✅❌❌✅✅,0,4,"[1, 3, -2, 1, 5, 8]",ppppppp,input/codex/triples_sum_to/9.txt,[],"[[""False"", ""True""], [""False"", ""True""], [""True"", ""False""], [""True"", ""False""], [""False"", ""True""]]","[[""True"", ""False""], [""True"", ""False""]]",[],[],[],ffpfffp,[],[],[],[],"[[""False"", ""True""], [""False"", ""True""], [""True"", ""False""], [""True"", ""False""], [""False"", ""True""]]","[[""True"", ""False""], [""True"", ""False""]]",pppffpp,[],[],[],[],"[[""False"", ""True""], [""False"", ""True""], [""True"", ""False""], [""True"", ""False""], [""False"", ""True""]]","[[""True"", ""False""], [""True"", ""False""]]"
✅✅✅✅✅✅✅,❌❌❌❌❌✅✅,✅✅✅❌❌✅✅,0,4,"[1, 2, -3, 7, 2, 7]",ppppppp,input/codex/triples_sum_to/10.txt,[],"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""True"", ""False""], [""True"", ""False""]]","[[""True"", ""False""], [""True"", ""False""]]",[],[],[],fffffpp,[],[],[],[],"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""True"", ""False""], [""True"", ""False""]]","[[""True"", ""False""], [""True"", ""False""]]",pppffpp,[],[],[],[],"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""True"", ""False""], [""True"", ""False""]]","[[""True"", ""False""], [""True"", ""False""]]"
✅✅✅✅✅✅✅,✅✅❌❌❌✅✅,✅✅✅❌❌✅✅,0,4,[1],ppppppp,input/codex/triples_sum_to/11.txt,[],"[[""False"", ""True""], [""True"", ""False""], [""True"", ""False""]]","[[""True"", ""False""], [""True"", ""False""]]",[],[],[],ppfffpp,[],[],[],[],"[[""False"", ""True""], [""True"", ""False""], [""True"", ""False""]]","[[""True"", ""False""], [""True"", ""False""]]",pppffpp,[],[],[],[],"[[""False"", ""True""], [""True"", ""False""], [""True"", ""False""]]","[[""True"", ""False""], [""True"", ""False""]]"
✅✅✅❌❌✅❌,✅✅✅❌❌✅❌,✅✅✅❌❌✅❌,0,5,"[1, 3, 5, 0]",pppffpf,input/codex/triples_sum_to/12.txt,"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]","[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]","[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]",[],[],[],pppffpf,[],[],[],"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]","[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]","[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]",pppffpf,[],[],[],"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]","[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]","[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]"
✅✅✅❌❌✅❌,💀💀💀💀💀💀💀,✅✅✅❌❌✅❌,0,5,"[1, 3, -2, 1, 5, 8]",pppffpf,input/codex/triples_sum_to/13.txt,"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]",[],"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]",[],"[""name 'quintuples_sum' is not defined"", ""name 'quintuples_sum' is not defined"", ""name 'quintuples_sum' is not defined"", ""name 'quintuples_sum' is not defined"", ""name 'quintuples_sum' is not defined"", ""name 'quintuples_sum' is not defined"", ""name 'quintuples_sum' is not defined""]",[],eeeeeee,[],"[""name 'quintuples_sum' is not defined"", ""name 'quintuples_sum' is not defined"", ""name 'quintuples_sum' is not defined"", ""name 'quintuples_sum' is not defined"", ""name 'quintuples_sum' is not defined"", ""name 'quintuples_sum' is not defined"", ""name 'quintuples_sum' is not defined""]",[],"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]",[],"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]",pppffpf,[],"[""name 'quintuples_sum' is not defined"", ""name 'quintuples_sum' is not defined"", ""name 'quintuples_sum' is not defined"", ""name 'quintuples_sum' is not defined"", ""name 'quintuples_sum' is not defined"", ""name 'quintuples_sum' is not defined"", ""name 'quintuples_sum' is not defined""]",[],"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]",[],"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]"
