op,example_input,order,result_emojis,result,model_input,failed_inputs,errors,incoder_result,incoder_result_emojis,errors,failed_inputs,codeparrot_result,codeparrot_result_emojis,errors,failed_inputs
prefixes,abc,longest_first,✅✅✅,ppp,input/codex/suffix_prefix/0.txt,[],[],pff,✅❌❌,[],"[[""['asdfgh', 'asdfg', 'asdf', 'asd', 'as', 'a']"", ""['sdfgh', 'dfgh', 'fgh', 'gh', 'h', '']""], [""['WWW', 'WW', 'W']"", ""['WW', 'W', '']""]]",pff,✅❌❌,[],"[[""['asdfgh', 'asdfg', 'asdf', 'asd', 'as', 'a']"", ""[]""], [""['WWW', 'WW', 'W']"", ""['W', 'W']""]]"
prefixes,abc,shortest_first,✅✅✅,ppp,input/codex/suffix_prefix/1.txt,[],[],pee,✅💀💀,"[""maximum recursion depth exceeded while calling a Python object"", ""maximum recursion depth exceeded while calling a Python object""]",[],pff,✅❌❌,[],"[[""['a', 'as', 'asd', 'asdf', 'asdfg', 'asdfgh']"", ""['a', 's', 'd', 'f', 'g']""], [""['W', 'WW', 'WWW']"", ""['W', 'W']""]]"
prefixes,xyz,longest_first,✅✅✅,ppp,input/codex/suffix_prefix/2.txt,[],[],pee,✅💀💀,"[""maximum recursion depth exceeded while calling a Python object"", ""maximum recursion depth exceeded while calling a Python object""]",[],pff,✅❌❌,[],"[[""['asdfgh', 'asdfg', 'asdf', 'asd', 'as', 'a']"", ""[]""], [""['WWW', 'WW', 'W']"", ""[]""]]"
prefixes,xyz,shortest_first,✅✅✅,ppp,input/codex/suffix_prefix/3.txt,[],[],pee,✅💀💀,"[""maximum recursion depth exceeded while calling a Python object"", ""maximum recursion depth exceeded while calling a Python object""]",[],pff,✅❌❌,[],"[[""['a', 'as', 'asd', 'asdf', 'asdfg', 'asdfgh']"", ""[]""], [""['W', 'WW', 'WWW']"", ""[]""]]"
prefixes,suffix,longest_first,✅✅✅,ppp,input/codex/suffix_prefix/4.txt,[],[],pee,✅💀💀,"[""maximum recursion depth exceeded while calling a Python object"", ""maximum recursion depth exceeded while calling a Python object""]",[],pff,✅❌❌,[],"[[""['asdfgh', 'asdfg', 'asdf', 'asd', 'as', 'a']"", ""['as', 'sd', 'df', 'fg', 'gh']""], [""['WWW', 'WW', 'W']"", ""['WW', 'WW']""]]"
prefixes,suffix,shortest_first,✅✅✅,ppp,input/codex/suffix_prefix/5.txt,[],[],pee,✅💀💀,"[""'str' object has no attribute 'ascii_lowercase'"", ""'str' object has no attribute 'ascii_lowercase'""]",[],eee,💀💀💀,"[""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output""]",[]
prefixes,prefix,longest_first,✅✅✅,ppp,input/codex/suffix_prefix/6.txt,[],[],eee,💀💀💀,"[""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output""]",[],pff,✅❌❌,[],"[[""['asdfgh', 'asdfg', 'asdf', 'asd', 'as', 'a']"", ""['a', 's', 'd', 'f', 'g']""], [""['WWW', 'WW', 'W']"", ""['W', 'W']""]]"
prefixes,prefix,shortest_first,✅✅✅,ppp,input/codex/suffix_prefix/7.txt,[],[],eee,💀💀💀,"[""name 'itertools' is not defined"", ""name 'itertools' is not defined"", ""name 'itertools' is not defined""]",[],pff,✅❌❌,[],"[[""['a', 'as', 'asd', 'asdf', 'asdfg', 'asdfgh']"", ""[]""], [""['W', 'WW', 'WWW']"", ""[]""]]"
prefixes,reverse the result!!!,longest_first,✅✅✅,ppp,input/codex/suffix_prefix/8.txt,[],[],pee,✅💀💀,"[""slice indices must be integers or None or have an __index__ method"", ""slice indices must be integers or None or have an __index__ method""]",[],pff,✅❌❌,[],"[[""['asdfgh', 'asdfg', 'asdf', 'asd', 'as', 'a']"", ""['a', 's', 'd', 'f', 'g']""], [""['WWW', 'WW', 'W']"", ""['W', 'W']""]]"
prefixes,reverse the result!!!,shortest_first,✅✅✅,ppp,input/codex/suffix_prefix/9.txt,[],[],fff,❌❌❌,[],"[[""[]"", ""['']""], [""['a', 'as', 'asd', 'asdf', 'asdfg', 'asdfgh']"", ""['asdfgh']""], [""['W', 'WW', 'WWW']"", ""['WWW']""]]",pff,✅❌❌,[],"[[""['a', 'as', 'asd', 'asdf', 'asdfg', 'asdfgh']"", ""['a', 's', 'd', 'f', 'g']""], [""['W', 'WW', 'WWW']"", ""['W', 'W']""]]"
