sum_num,count,example_input,result_emojis,result,model_input,failed_inputs,errors,incoder_result,incoder_result_emojis,errors,failed_inputs,codeparrot_result,codeparrot_result_emojis,errors,failed_inputs
0,2,"[1, 3, 5, 0]",✅✅✅✅✅✅✅,ppppppp,input/codex/triples_sum_to/0.txt,[],[],ppfpppp,✅✅❌✅✅✅✅,[],"[[""False"", ""True""]]",ppppppp,✅✅✅✅✅✅✅,[],[]
0,2,"[1, 3, -2, 1, 5, 8]",✅✅✅✅✅✅✅,ppppppp,input/codex/triples_sum_to/1.txt,[],[],ppfpppp,✅✅❌✅✅✅✅,[],"[[""False"", ""True""]]",ppppppp,✅✅✅✅✅✅✅,[],[]
0,2,"[1, 2, -3, 7, 2, 7]",✅✅✅✅✅✅✅,ppppppp,input/codex/triples_sum_to/2.txt,[],[],ppfpppp,✅✅❌✅✅✅✅,[],"[[""False"", ""True""]]",ppppppp,✅✅✅✅✅✅✅,[],[]
0,2,[1],✅✅✅✅✅✅✅,ppppppp,input/codex/triples_sum_to/3.txt,[],[],ppfpppp,✅✅❌✅✅✅✅,[],"[[""False"", ""True""]]",ppppppp,✅✅✅✅✅✅✅,[],[]
0,3,"[1, 3, 5, 0]",✅✅✅✅✅✅✅,ppppppp,input/codex/triples_sum_to/4.txt,[],[],pffffpp,✅❌❌❌❌✅✅,[],"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]",pffffpp,✅❌❌❌❌✅✅,[],"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]"
0,3,"[1, 3, -2, 1, 5, 8]",✅✅✅✅✅✅✅,ppppppp,input/codex/triples_sum_to/5.txt,[],[],pffffpp,✅❌❌❌❌✅✅,[],"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]",pffffpp,✅❌❌❌❌✅✅,[],"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]"
0,3,"[1, 2, -3, 7, 2, 7]",✅✅✅✅✅✅✅,ppppppp,input/codex/triples_sum_to/6.txt,[],[],pffffpp,✅❌❌❌❌✅✅,[],"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]",pffffpp,✅❌❌❌❌✅✅,[],"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]"
0,3,[1],✅✅✅✅✅✅✅,ppppppp,input/codex/triples_sum_to/7.txt,[],[],pffffpp,✅❌❌❌❌✅✅,[],"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]",pffffpp,✅❌❌❌❌✅✅,[],"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]"
0,4,"[1, 3, 5, 0]",✅✅✅✅✅✅✅,ppppppp,input/codex/triples_sum_to/8.txt,[],[],ffpfffp,❌❌✅❌❌❌✅,[],"[[""False"", ""True""], [""False"", ""True""], [""True"", ""False""], [""True"", ""False""], [""False"", ""True""]]",pppffpp,✅✅✅❌❌✅✅,[],"[[""True"", ""False""], [""True"", ""False""]]"
0,4,"[1, 3, -2, 1, 5, 8]",✅✅✅✅✅✅✅,ppppppp,input/codex/triples_sum_to/9.txt,[],[],ffpfffp,❌❌✅❌❌❌✅,[],"[[""False"", ""True""], [""False"", ""True""], [""True"", ""False""], [""True"", ""False""], [""False"", ""True""]]",pppffpp,✅✅✅❌❌✅✅,[],"[[""True"", ""False""], [""True"", ""False""]]"
0,4,"[1, 2, -3, 7, 2, 7]",✅✅✅✅✅✅✅,ppppppp,input/codex/triples_sum_to/10.txt,[],[],fffffpp,❌❌❌❌❌✅✅,[],"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""True"", ""False""], [""True"", ""False""]]",pppffpp,✅✅✅❌❌✅✅,[],"[[""True"", ""False""], [""True"", ""False""]]"
0,4,[1],✅✅✅✅✅✅✅,ppppppp,input/codex/triples_sum_to/11.txt,[],[],ppfffpp,✅✅❌❌❌✅✅,[],"[[""False"", ""True""], [""True"", ""False""], [""True"", ""False""]]",pppffpp,✅✅✅❌❌✅✅,[],"[[""True"", ""False""], [""True"", ""False""]]"
0,5,"[1, 3, 5, 0]",✅✅✅❌❌✅❌,pppffpf,input/codex/triples_sum_to/12.txt,"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]",[],pppffpf,✅✅✅❌❌✅❌,[],"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]",pppffpf,✅✅✅❌❌✅❌,[],"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]"
0,5,"[1, 3, -2, 1, 5, 8]",✅✅✅❌❌✅❌,pppffpf,input/codex/triples_sum_to/13.txt,"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]",[],eeeeeee,💀💀💀💀💀💀💀,"[""name 'quintuples_sum' is not defined"", ""name 'quintuples_sum' is not defined"", ""name 'quintuples_sum' is not defined"", ""name 'quintuples_sum' is not defined"", ""name 'quintuples_sum' is not defined"", ""name 'quintuples_sum' is not defined"", ""name 'quintuples_sum' is not defined""]",[],pppffpf,✅✅✅❌❌✅❌,[],"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]"
0,5,"[1, 2, -3, 7, 2, 7]",✅✅✅✅✅✅✅,ppppppp,input/codex/triples_sum_to/14.txt,[],[],fffffpf,❌❌❌❌❌✅❌,[],"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]",pppffpf,✅✅✅❌❌✅❌,[],"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]"
0,5,[1],✅✅✅✅✅✅✅,ppppppp,input/codex/triples_sum_to/15.txt,[],[],eeeeeee,💀💀💀💀💀💀💀,"[""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output""]",[],pppffpf,✅✅✅❌❌✅❌,[],"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]"
0,8,"[1, 3, 5, 0]",✅✅✅✅✅✅✅,ppppppp,input/codex/triples_sum_to/16.txt,[],[],eeeeeee,💀💀💀💀💀💀💀,"[""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output""]",[],pffppff,✅❌❌✅✅❌❌,[],"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""True"", ""False""]]"
0,8,"[1, 3, -2, 1, 5, 8]",✅✅✅✅✅✅✅,ppppppp,input/codex/triples_sum_to/17.txt,[],[],ppfpfpf,✅✅❌✅❌✅❌,[],"[[""False"", ""True""], [""True"", ""False""], [""True"", ""False""]]",pffppff,✅❌❌✅✅❌❌,[],"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""True"", ""False""]]"
0,8,"[1, 2, -3, 7, 2, 7]",✅✅✅✅✅✅✅,ppppppp,input/codex/triples_sum_to/18.txt,[],[],ppfpfpf,✅✅❌✅❌✅❌,[],"[[""False"", ""True""], [""True"", ""False""], [""True"", ""False""]]",pffppff,✅❌❌✅✅❌❌,[],"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""True"", ""False""]]"
0,8,[1],✅✅✅✅✅✅✅,ppppppp,input/codex/triples_sum_to/19.txt,[],[],eeeeeee,💀💀💀💀💀💀💀,"[""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output""]",[],pffppff,✅❌❌✅✅❌❌,[],"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""True"", ""False""]]"
0,10,"[1, 3, 5, 0]",✅✅✅✅✅✅✅,ppppppp,input/codex/triples_sum_to/20.txt,[],[],ppppffp,✅✅✅✅❌❌✅,[],"[[""True"", ""False""], [""False"", ""True""]]",pfppffp,✅❌✅✅❌❌✅,[],"[[""False"", ""True""], [""True"", ""False""], [""False"", ""True""]]"
0,10,"[1, 3, -2, 1, 5, 8]",✅✅✅✅❌✅✅,ppppfpp,input/codex/triples_sum_to/21.txt,"[[""True"", ""False""]]",[],ppfpfpp,✅✅❌✅❌✅✅,[],"[[""False"", ""True""], [""True"", ""False""]]",pfppffp,✅❌✅✅❌❌✅,[],"[[""False"", ""True""], [""True"", ""False""], [""False"", ""True""]]"
0,10,"[1, 2, -3, 7, 2, 7]",✅✅✅✅✅✅✅,ppppppp,input/codex/triples_sum_to/22.txt,[],[],ppfpfpp,✅✅❌✅❌✅✅,[],"[[""False"", ""True""], [""True"", ""False""]]",pfppffp,✅❌✅✅❌❌✅,[],"[[""False"", ""True""], [""True"", ""False""], [""False"", ""True""]]"
