ret_index,cmp_index,cmp,func_name,result_emojis,result,model_input,failed_inputs,errors,incoder_result,incoder_result_emojis,errors,failed_inputs,codeparrot_result,codeparrot_result_emojis,errors,failed_inputs
first,first,smallest,extract_value,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/0.txt,[],[],fffffffff,❌❌❌❌❌❌❌❌❌,[],"[[""53"", ""56""], [""51"", ""84""], [""31"", ""36""], [""4"", ""3""], [""3"", ""80""], [""52"", ""25""], [""0"", ""77""], [""9"", ""63""], [""33"", ""9""]]",pfppfffff,✅❌✅✅❌❌❌❌❌,[],"[[""22"", ""97""], [""25"", ""36""], [""39"", ""49""], [""29"", ""41""], [""6"", ""12""], [""1"", ""61""]]"
first,first,smallest,tuple_extract,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/1.txt,[],[],ppppppppp,✅✅✅✅✅✅✅✅✅,[],[],fffffffff,❌❌❌❌❌❌❌❌❌,[],"[[""90"", ""(90, 98, 85, 2, 7, 17, 98, 21, 46, 74, 41, 72)""], [""22"", ""(97, 16, 89, 99, 93, 14, 87, 50, 9, 10, 87, 43)""], [""5"", ""(5, 14, 49, 26, 47, 22, 63, 29, 82, 18, 90, 37)""], [""40"", ""(58, 94, 7, 0, 4, 94, 47, 99, 21, 53, 89, 69)""], [""25"", ""(83, 100, 50, 31, 47, 72, 98, 90, 59, 91, 35, 99)""], [""39"", ""(51, 61, 92, 95, 74, 31, 94, 26, 49, 99, 52, 44)""], [""29"", ""(73, 84, 6, 21, 23, 16, 94, 43, 33, 1, 55, 75)""], [""6"", ""(12, 42, 68, 94, 69, 0, 70, 82, 19, 26, 48, 84)""], [""1"", ""(10, 33, 59, 2, 86, 50, 85, 24, 48, 13, 64, 0)""]]"
first,first,smallest,f,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/2.txt,[],[],ppppppppp,✅✅✅✅✅✅✅✅✅,[],[],pfppfffff,✅❌✅✅❌❌❌❌❌,[],"[[""22"", ""97""], [""25"", ""36""], [""39"", ""49""], [""29"", ""41""], [""6"", ""12""], [""1"", ""61""]]"
first,first,smallest,some_func,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/3.txt,[],[],fffffffff,❌❌❌❌❌❌❌❌❌,[],"[[""53"", ""(53, 56, 52, 30, 89, 11, 71, 26, 84, 8, 60, 42)""], [""51"", ""(51, 84, 25, 54, 96, 23, 65, 6, 44, 32, 21, 52)""], [""31"", ""(31, 36, 59, 63, 32, 79, 1, 56, 65, 98, 88, 84)""], [""4"", ""(4, 3, 22, 82, 28, 90, 90, 70, 25, 73, 32, 83)""], [""3"", ""(3, 80, 27, 94, 4, 69, 82, 16, 82, 87, 37, 5)""], [""52"", ""(52, 25, 73, 76, 40, 51, 63, 91, 7, 69, 20, 54)""], [""0"", ""(0, 77, 98, 7, 36, 82, 31, 98, 28, 81, 51, 92)""], [""9"", ""(9, 63, 16, 64, 70, 2, 61, 78, 84, 69, 39, 71)""], [""33"", ""(33, 9, 47, 16, 27, 88, 29, 47, 77, 43, 83, 48)""]]",pfppfffff,✅❌✅✅❌❌❌❌❌,[],"[[""22"", ""97""], [""25"", ""36""], [""39"", ""49""], [""29"", ""41""], [""6"", ""12""], [""1"", ""61""]]"
first,first,smallest,fibonacci,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/4.txt,[],[],ppppppppp,✅✅✅✅✅✅✅✅✅,[],[],pfppfffff,✅❌✅✅❌❌❌❌❌,[],"[[""22"", ""97""], [""25"", ""36""], [""39"", ""49""], [""29"", ""41""], [""6"", ""12""], [""1"", ""61""]]"
first,first,smallest,min_max,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/5.txt,[],[],fffffffff,❌❌❌❌❌❌❌❌❌,[],"[[""53"", ""(53, 56, 52, 30, 89, 11, 71, 26, 84, 8, 60, 42)""], [""51"", ""(51, 84, 25, 54, 96, 23, 65, 6, 44, 32, 21, 52)""], [""31"", ""(31, 36, 59, 63, 32, 79, 1, 56, 65, 98, 88, 84)""], [""4"", ""(4, 3, 22, 82, 28, 90, 90, 70, 25, 73, 32, 83)""], [""3"", ""(3, 80, 27, 94, 4, 69, 82, 16, 82, 87, 37, 5)""], [""52"", ""(52, 25, 73, 76, 40, 51, 63, 91, 7, 69, 20, 54)""], [""0"", ""(0, 77, 98, 7, 36, 82, 31, 98, 28, 81, 51, 92)""], [""9"", ""(9, 63, 16, 64, 70, 2, 61, 78, 84, 69, 39, 71)""], [""33"", ""(33, 9, 47, 16, 27, 88, 29, 47, 77, 43, 83, 48)""]]",pfppfffff,✅❌✅✅❌❌❌❌❌,[],"[[""22"", ""97""], [""25"", ""36""], [""39"", ""49""], [""29"", ""41""], [""6"", ""12""], [""1"", ""61""]]"
first,first,largest,extract_value,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/6.txt,[],[],ppppppppp,✅✅✅✅✅✅✅✅✅,[],[],ppfffffff,✅✅❌❌❌❌❌❌❌,[],"[[""93"", ""5""], [""67"", ""58""], [""88"", ""83""], [""85"", ""51""], [""88"", ""73""], [""93"", ""12""], [""89"", ""10""]]"
first,first,largest,tuple_extract,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/7.txt,[],[],fffffffff,❌❌❌❌❌❌❌❌❌,[],"[[""53"", ""None""], [""59"", ""None""], [""100"", ""None""], [""98"", ""None""], [""75"", ""None""], [""96"", ""None""], [""89"", ""None""], [""97"", ""None""], [""99"", ""None""]]",ppfffffff,✅✅❌❌❌❌❌❌❌,[],"[[""93"", ""5""], [""67"", ""58""], [""88"", ""83""], [""85"", ""51""], [""88"", ""73""], [""93"", ""12""], [""89"", ""10""]]"
first,first,largest,f,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/8.txt,[],[],ppppppppp,✅✅✅✅✅✅✅✅✅,[],[],ppfffffff,✅✅❌❌❌❌❌❌❌,[],"[[""93"", ""5""], [""67"", ""58""], [""88"", ""83""], [""85"", ""51""], [""88"", ""73""], [""93"", ""12""], [""89"", ""10""]]"
first,first,largest,some_func,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/9.txt,[],[],ppppppppp,✅✅✅✅✅✅✅✅✅,[],[],ppfffffff,✅✅❌❌❌❌❌❌❌,[],"[[""93"", ""5""], [""67"", ""58""], [""88"", ""83""], [""85"", ""51""], [""88"", ""73""], [""93"", ""12""], [""89"", ""10""]]"
first,first,largest,fibonacci,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/10.txt,[],[],ppppppppp,✅✅✅✅✅✅✅✅✅,[],[],ppfffffff,✅✅❌❌❌❌❌❌❌,[],"[[""93"", ""5""], [""67"", ""58""], [""88"", ""83""], [""85"", ""51""], [""88"", ""73""], [""93"", ""12""], [""89"", ""10""]]"
