open,input,result,result_emojis,model_input
(,"[['()(', ')']]",,,input/code_parrot/match_parens/0.txt
(,"[[')', ')']]",,,input/code_parrot/match_parens/0.txt
(,"[['(()(())', '())())']]",,,input/code_parrot/match_parens/0.txt
(,"[[')())', '(()()(']]",,,input/code_parrot/match_parens/0.txt
(,"[['(())))', '(()())((']]",,,input/code_parrot/match_parens/0.txt
(,"[['()', '())']]",,,input/code_parrot/match_parens/0.txt
(,"[['(()(', '()))()']]",,,input/code_parrot/match_parens/0.txt
(,"[['((((', '((())']]",,,input/code_parrot/match_parens/0.txt
(,"[[')(()', '(()(']]",,,input/code_parrot/match_parens/0.txt
(,"[[')(', ')(']]",,,input/code_parrot/match_parens/0.txt
(,"[['(', ')']]",,,input/code_parrot/match_parens/0.txt
(,"[[')', '(']]",,,input/code_parrot/match_parens/0.txt
{,"[['{}{', '}']]",,,input/code_parrot/match_parens/1.txt
{,"[['}', '}']]",,,input/code_parrot/match_parens/1.txt
{,"[['{{}{{}}', '{}}{}}']]",,,input/code_parrot/match_parens/1.txt
{,"[['}{}}', '{{}{}{']]",,,input/code_parrot/match_parens/1.txt
{,"[['{{}}}}', '{{}{}}{{']]",,,input/code_parrot/match_parens/1.txt
{,"[['{}', '{}}']]",,,input/code_parrot/match_parens/1.txt
{,"[['{{}{', '{}}}{}']]",,,input/code_parrot/match_parens/1.txt
{,"[['{{{{', '{{{}}']]",,,input/code_parrot/match_parens/1.txt
{,"[['}{{}', '{{}{']]",,,input/code_parrot/match_parens/1.txt
{,"[['}{', '}{']]",,,input/code_parrot/match_parens/1.txt
{,"[['{', '}']]",,,input/code_parrot/match_parens/1.txt
{,"[['}', '{']]",,,input/code_parrot/match_parens/1.txt
[,"[['[][', ']']]",,,input/code_parrot/match_parens/2.txt
[,"[[']', ']']]",,,input/code_parrot/match_parens/2.txt
[,"[['[[][[]]', '[]][]]']]",,,input/code_parrot/match_parens/2.txt
[,"[['][]]', '[[][][']]",,,input/code_parrot/match_parens/2.txt
[,"[['[[]]]]', '[[][]][[']]",,,input/code_parrot/match_parens/2.txt
[,"[['[]', '[]]']]",,,input/code_parrot/match_parens/2.txt
[,"[['[[][', '[]]][]']]",,,input/code_parrot/match_parens/2.txt
[,"[['[[[[', '[[[]]']]",,,input/code_parrot/match_parens/2.txt
[,"[['][[]', '[[][']]",,,input/code_parrot/match_parens/2.txt
[,"[['][', '][']]",,,input/code_parrot/match_parens/2.txt
[,"[['[', ']']]",,,input/code_parrot/match_parens/2.txt
[,"[[']', '[']]",,,input/code_parrot/match_parens/2.txt
<,"[['<><', '>']]",,,input/code_parrot/match_parens/3.txt
<,"[['>', '>']]",,,input/code_parrot/match_parens/3.txt
<,"[['<<><<>>', '<>><>>']]",,,input/code_parrot/match_parens/3.txt
<,"[['><>>', '<<><><']]",,,input/code_parrot/match_parens/3.txt
<,"[['<<>>>>', '<<><>><<']]",,,input/code_parrot/match_parens/3.txt
<,"[['<>', '<>>']]",,,input/code_parrot/match_parens/3.txt
<,"[['<<><', '<>>><>']]",,,input/code_parrot/match_parens/3.txt
<,"[['<<<<', '<<<>>']]",,,input/code_parrot/match_parens/3.txt
<,"[['><<>', '<<><']]",,,input/code_parrot/match_parens/3.txt
<,"[['><', '><']]",,,input/code_parrot/match_parens/3.txt
<,"[['<', '>']]",,,input/code_parrot/match_parens/3.txt
<,"[['>', '<']]",,,input/code_parrot/match_parens/3.txt
