var1_name,var2_name,line_order1,line_order2,line_order3,op1,op2,op3,input,result,result_emojis,model_input,expected,actual
a,b,first,second,third,sum,difference,product,"[3, 5]",e,💀,input/codeparrot/arithmetic/869.txt,,
a,b,first,second,third,sum,difference,product,"[7, 10]",e,💀,input/codeparrot/arithmetic/869.txt,,
a,b,first,second,third,sum,difference,product,"[0, 0]",e,💀,input/codeparrot/arithmetic/869.txt,,
a,b,first,second,third,sum,difference,product,"[1, 0]",e,💀,input/codeparrot/arithmetic/869.txt,,
a,b,first,second,third,sum,difference,product,"[0, 1]",e,💀,input/codeparrot/arithmetic/869.txt,,
a,b,first,second,third,sum,difference,product,"[100, 20]",e,💀,input/codeparrot/arithmetic/869.txt,,
a,b,first,second,third,sum,product,difference,"[3, 5]",e,💀,input/codeparrot/arithmetic/871.txt,,
a,b,first,second,third,sum,product,difference,"[7, 10]",e,💀,input/codeparrot/arithmetic/871.txt,,
a,b,first,second,third,sum,product,difference,"[0, 0]",e,💀,input/codeparrot/arithmetic/871.txt,,
a,b,first,second,third,sum,product,difference,"[1, 0]",e,💀,input/codeparrot/arithmetic/871.txt,,
a,b,first,second,third,sum,product,difference,"[0, 1]",e,💀,input/codeparrot/arithmetic/871.txt,,
a,b,first,second,third,sum,product,difference,"[100, 20]",e,💀,input/codeparrot/arithmetic/871.txt,,
a,b,first,second,third,difference,sum,product,"[3, 5]",e,💀,input/codeparrot/arithmetic/875.txt,,
a,b,first,second,third,difference,sum,product,"[7, 10]",e,💀,input/codeparrot/arithmetic/875.txt,,
a,b,first,second,third,difference,sum,product,"[0, 0]",e,💀,input/codeparrot/arithmetic/875.txt,,
a,b,first,second,third,difference,sum,product,"[1, 0]",e,💀,input/codeparrot/arithmetic/875.txt,,
a,b,first,second,third,difference,sum,product,"[0, 1]",e,💀,input/codeparrot/arithmetic/875.txt,,
a,b,first,second,third,difference,sum,product,"[100, 20]",e,💀,input/codeparrot/arithmetic/875.txt,,
a,b,first,second,third,difference,product,sum,"[3, 5]",e,💀,input/codeparrot/arithmetic/879.txt,,
a,b,first,second,third,difference,product,sum,"[7, 10]",e,💀,input/codeparrot/arithmetic/879.txt,,
a,b,first,second,third,difference,product,sum,"[0, 0]",e,💀,input/codeparrot/arithmetic/879.txt,,
a,b,first,second,third,difference,product,sum,"[1, 0]",e,💀,input/codeparrot/arithmetic/879.txt,,
a,b,first,second,third,difference,product,sum,"[0, 1]",e,💀,input/codeparrot/arithmetic/879.txt,,
a,b,first,second,third,difference,product,sum,"[100, 20]",e,💀,input/codeparrot/arithmetic/879.txt,,
a,b,first,second,third,product,sum,difference,"[3, 5]",e,💀,input/codeparrot/arithmetic/883.txt,,
a,b,first,second,third,product,sum,difference,"[7, 10]",e,💀,input/codeparrot/arithmetic/883.txt,,
a,b,first,second,third,product,sum,difference,"[0, 0]",e,💀,input/codeparrot/arithmetic/883.txt,,
a,b,first,second,third,product,sum,difference,"[1, 0]",e,💀,input/codeparrot/arithmetic/883.txt,,
a,b,first,second,third,product,sum,difference,"[0, 1]",e,💀,input/codeparrot/arithmetic/883.txt,,
a,b,first,second,third,product,sum,difference,"[100, 20]",e,💀,input/codeparrot/arithmetic/883.txt,,
a,b,first,second,third,product,difference,sum,"[3, 5]",e,💀,input/codeparrot/arithmetic/885.txt,,
a,b,first,second,third,product,difference,sum,"[7, 10]",e,💀,input/codeparrot/arithmetic/885.txt,,
a,b,first,second,third,product,difference,sum,"[0, 0]",e,💀,input/codeparrot/arithmetic/885.txt,,
a,b,first,second,third,product,difference,sum,"[1, 0]",e,💀,input/codeparrot/arithmetic/885.txt,,
a,b,first,second,third,product,difference,sum,"[0, 1]",e,💀,input/codeparrot/arithmetic/885.txt,,
a,b,first,second,third,product,difference,sum,"[100, 20]",e,💀,input/codeparrot/arithmetic/885.txt,,
a,b,first,third,second,sum,difference,product,"[3, 5]",e,💀,input/codeparrot/arithmetic/923.txt,,
a,b,first,third,second,sum,difference,product,"[7, 10]",e,💀,input/codeparrot/arithmetic/923.txt,,
a,b,first,third,second,sum,difference,product,"[0, 0]",e,💀,input/codeparrot/arithmetic/923.txt,,
a,b,first,third,second,sum,difference,product,"[1, 0]",e,💀,input/codeparrot/arithmetic/923.txt,,
a,b,first,third,second,sum,difference,product,"[0, 1]",e,💀,input/codeparrot/arithmetic/923.txt,,
a,b,first,third,second,sum,difference,product,"[100, 20]",e,💀,input/codeparrot/arithmetic/923.txt,,
a,b,first,third,second,sum,product,difference,"[3, 5]",e,💀,input/codeparrot/arithmetic/925.txt,,
a,b,first,third,second,sum,product,difference,"[7, 10]",e,💀,input/codeparrot/arithmetic/925.txt,,
a,b,first,third,second,sum,product,difference,"[0, 0]",e,💀,input/codeparrot/arithmetic/925.txt,,
a,b,first,third,second,sum,product,difference,"[1, 0]",e,💀,input/codeparrot/arithmetic/925.txt,,
a,b,first,third,second,sum,product,difference,"[0, 1]",e,💀,input/codeparrot/arithmetic/925.txt,,
a,b,first,third,second,sum,product,difference,"[100, 20]",e,💀,input/codeparrot/arithmetic/925.txt,,
a,b,first,third,second,difference,sum,product,"[3, 5]",e,💀,input/codeparrot/arithmetic/929.txt,,
a,b,first,third,second,difference,sum,product,"[7, 10]",e,💀,input/codeparrot/arithmetic/929.txt,,
a,b,first,third,second,difference,sum,product,"[0, 0]",e,💀,input/codeparrot/arithmetic/929.txt,,
a,b,first,third,second,difference,sum,product,"[1, 0]",e,💀,input/codeparrot/arithmetic/929.txt,,
a,b,first,third,second,difference,sum,product,"[0, 1]",e,💀,input/codeparrot/arithmetic/929.txt,,
a,b,first,third,second,difference,sum,product,"[100, 20]",e,💀,input/codeparrot/arithmetic/929.txt,,
a,b,first,third,second,difference,product,sum,"[3, 5]",e,💀,input/codeparrot/arithmetic/933.txt,,
a,b,first,third,second,difference,product,sum,"[7, 10]",e,💀,input/codeparrot/arithmetic/933.txt,,
a,b,first,third,second,difference,product,sum,"[0, 0]",e,💀,input/codeparrot/arithmetic/933.txt,,
a,b,first,third,second,difference,product,sum,"[1, 0]",e,💀,input/codeparrot/arithmetic/933.txt,,
a,b,first,third,second,difference,product,sum,"[0, 1]",e,💀,input/codeparrot/arithmetic/933.txt,,
a,b,first,third,second,difference,product,sum,"[100, 20]",e,💀,input/codeparrot/arithmetic/933.txt,,
a,b,first,third,second,product,sum,difference,"[3, 5]",e,💀,input/codeparrot/arithmetic/937.txt,,
a,b,first,third,second,product,sum,difference,"[7, 10]",e,💀,input/codeparrot/arithmetic/937.txt,,
a,b,first,third,second,product,sum,difference,"[0, 0]",e,💀,input/codeparrot/arithmetic/937.txt,,
