count,word_count,result_emojis,result,model_input,failed_inputs,errors
0,True,✅✅✅✅✅✅✅✅❌❌❌❌❌❌,ppppppppffffff,input/codeparrot/bitdiff/0.txt,"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""]]",[]
0,False,✅✅✅✅✅✅✅✅❌❌❌❌❌❌,ppppppppffffff,input/codeparrot/bitdiff/1.txt,"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""]]",[]
1,True,❌❌❌❌❌❌❌✅❌❌❌❌❌❌,fffffffpffffff,input/codeparrot/bitdiff/2.txt,"[[""True"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""True"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""]]",[]
1,False,💀💀💀💀💀💀💀💀💀💀💀💀💀💀,eeeeeeeeeeeeee,input/codeparrot/bitdiff/3.txt,[],"[""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable""]"
2,True,❌❌❌❌❌❌❌✅❌❌❌❌❌❌,fffffffpffffff,input/codeparrot/bitdiff/4.txt,"[[""False"", ""-1""], [""True"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""True"", ""-1""], [""True"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""]]",[]
2,False,💀💀💀💀💀💀💀💀💀💀💀💀💀💀,eeeeeeeeeeeeee,input/codeparrot/bitdiff/5.txt,[],"[""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable""]"
3,True,💀💀💀💀💀💀💀💀💀💀💀💀💀💀,eeeeeeeeeeeeee,input/codeparrot/bitdiff/6.txt,[],"[""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable""]"
3,False,💀💀💀💀💀💀💀💀💀💀💀💀💀💀,eeeeeeeeeeeeee,input/codeparrot/bitdiff/7.txt,[],"[""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable""]"
4,True,💀💀💀💀💀💀💀💀💀💀💀💀💀💀,eeeeeeeeeeeeee,input/codeparrot/bitdiff/8.txt,[],"[""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable""]"
4,False,💀💀💀💀💀💀💀💀💀💀💀💀💀💀,eeeeeeeeeeeeee,input/codeparrot/bitdiff/9.txt,[],"[""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable""]"
