offset_char,mod,result_emojis,result,model_input,failed_inputs,errors
the space character,64,❌❌❌,fff,input/codeparrot/checksum/0.txt,"[[""'6'"", ""51""], [""'F'"", ""35""], [""'N'"", ""51""]]",[]
the space character,128,❌💀💀,fee,input/codeparrot/checksum/1.txt,"[[""'6'"", ""6""]]","[""invalid literal for int() with base 10: 'a'"", ""invalid literal for int() with base 10: 'f'""]"
the space character,256,💀💀💀,eee,input/codeparrot/checksum/2.txt,[],"[""string index out of range"", ""string index out of range"", ""string index out of range""]"
the newline character,64,❌❌❌,fff,input/codeparrot/checksum/3.txt,"[[""' '"", ""6""], [""'0'"", ""22""], [""'8'"", ""62""]]",[]
the newline character,128,❌❌❌,fff,input/codeparrot/checksum/4.txt,"[[""' '"", ""22""], [""'0'"", ""38""], [""'x'"", ""110""]]",[]
the newline character,256,💀💀💀,eee,input/codeparrot/checksum/5.txt,[],"[""string index out of range"", ""string index out of range"", ""string index out of range""]"
uppercase X,64,❌❌❌,fff,input/codeparrot/checksum/6.txt,"[[""'n'"", ""0""], [""'~'"", ""0""], [""'\\x86'"", ""0""]]",[]
uppercase X,128,❌❌❌,fff,input/codeparrot/checksum/7.txt,"[[""'n'"", ""48""], [""'~'"", ""96""], [""'\u00c6'"", ""36""]]",[]
uppercase X,256,💀💀💀,eee,input/codeparrot/checksum/8.txt,[],"[""string index out of range"", ""invalid literal for int() with base 10: 'a'"", ""invalid literal for int() with base 10: 'f'""]"
lowercase u,64,❌❌❌,fff,input/codeparrot/checksum/9.txt,"[[""'\\x8b'"", ""22""], [""'\\x9b'"", ""38""], [""'\u00a3'"", ""46""]]",[]
lowercase u,128,❌❌❌,fff,input/codeparrot/checksum/10.txt,"[[""'\\x8b'"", ""22""], [""'\\x9b'"", ""38""], [""'\u00e3'"", ""110""]]",[]
lowercase u,256,💀💀💀,eee,input/codeparrot/checksum/11.txt,[],"[""string index out of range"", ""string index out of range"", ""string index out of range""]"
an exclamation mark,64,❌❌❌,fff,input/codeparrot/checksum/12.txt,"[[""'7'"", ""22""], [""'G'"", ""38""], [""'O'"", ""46""]]",[]
an exclamation mark,128,❌❌❌,fff,input/codeparrot/checksum/13.txt,"[[""'7'"", ""6""], [""'G'"", ""22""], [""'\\x8f'"", ""126""]]",[]
an exclamation mark,256,💀💀💀,eee,input/codeparrot/checksum/14.txt,[],"[""string index out of range"", ""invalid literal for int() with base 10: 'a'"", ""invalid literal for int() with base 10: 'f'""]"
a question mark,64,❌💀💀,fee,input/codeparrot/checksum/15.txt,"[[""'U'"", ""6""]]","[""invalid literal for int() with base 10: 'a'"", ""invalid literal for int() with base 10: 'f'""]"
a question mark,128,❌💀💀,fee,input/codeparrot/checksum/16.txt,"[[""'U'"", ""6""]]","[""invalid literal for int() with base 10: 'a'"", ""invalid literal for int() with base 10: 'f'""]"
a question mark,256,❌❌❌,fff,input/codeparrot/checksum/17.txt,"[[""'\u00d5'"", ""6""], [""'e'"", ""150""], [""'\u012d'"", ""254""]]",[]
