digit,factor2,factor3,example_input,input,expected,actual,result,result_emojis,model_input
7,11,13,50,50,0,None,f,❌,input/codeparrot/fizzbuzz_count/0.txt
7,11,13,50,78,2,None,f,❌,input/codeparrot/fizzbuzz_count/0.txt
7,11,13,50,79,3,None,f,❌,input/codeparrot/fizzbuzz_count/0.txt
7,11,13,50,100,3,None,f,❌,input/codeparrot/fizzbuzz_count/0.txt
7,11,13,50,200,6,None,f,❌,input/codeparrot/fizzbuzz_count/0.txt
7,11,13,50,4000,192,None,f,❌,input/codeparrot/fizzbuzz_count/0.txt
7,11,13,50,10000,639,None,f,❌,input/codeparrot/fizzbuzz_count/0.txt
7,11,13,50,100000,8026,None,f,❌,input/codeparrot/fizzbuzz_count/0.txt
7,11,13,78,50,0,None,f,❌,input/codeparrot/fizzbuzz_count/1.txt
7,11,13,78,78,2,None,f,❌,input/codeparrot/fizzbuzz_count/1.txt
7,11,13,78,79,3,None,f,❌,input/codeparrot/fizzbuzz_count/1.txt
7,11,13,78,100,3,None,f,❌,input/codeparrot/fizzbuzz_count/1.txt
7,11,13,78,200,6,None,f,❌,input/codeparrot/fizzbuzz_count/1.txt
7,11,13,78,4000,192,None,f,❌,input/codeparrot/fizzbuzz_count/1.txt
7,11,13,78,10000,639,None,f,❌,input/codeparrot/fizzbuzz_count/1.txt
7,11,13,78,100000,8026,None,f,❌,input/codeparrot/fizzbuzz_count/1.txt
7,11,13,3298,50,0,None,f,❌,input/codeparrot/fizzbuzz_count/2.txt
7,11,13,3298,78,2,None,f,❌,input/codeparrot/fizzbuzz_count/2.txt
7,11,13,3298,79,3,None,f,❌,input/codeparrot/fizzbuzz_count/2.txt
7,11,13,3298,100,3,None,f,❌,input/codeparrot/fizzbuzz_count/2.txt
7,11,13,3298,200,6,None,f,❌,input/codeparrot/fizzbuzz_count/2.txt
7,11,13,3298,4000,192,None,f,❌,input/codeparrot/fizzbuzz_count/2.txt
7,11,13,3298,10000,639,None,f,❌,input/codeparrot/fizzbuzz_count/2.txt
7,11,13,3298,100000,8026,None,f,❌,input/codeparrot/fizzbuzz_count/2.txt
7,11,3819,50,50,0,None,f,❌,input/codeparrot/fizzbuzz_count/6.txt
7,11,3819,50,78,2,None,f,❌,input/codeparrot/fizzbuzz_count/6.txt
7,11,3819,50,79,2,None,f,❌,input/codeparrot/fizzbuzz_count/6.txt
7,11,3819,50,100,2,None,f,❌,input/codeparrot/fizzbuzz_count/6.txt
7,11,3819,50,200,4,None,f,❌,input/codeparrot/fizzbuzz_count/6.txt
7,11,3819,50,4000,109,None,f,❌,input/codeparrot/fizzbuzz_count/6.txt
7,11,3819,50,10000,365,None,f,❌,input/codeparrot/fizzbuzz_count/6.txt
7,11,3819,50,100000,4558,None,f,❌,input/codeparrot/fizzbuzz_count/6.txt
7,11,3819,78,50,0,None,f,❌,input/codeparrot/fizzbuzz_count/7.txt
7,11,3819,78,78,2,None,f,❌,input/codeparrot/fizzbuzz_count/7.txt
7,11,3819,78,79,2,None,f,❌,input/codeparrot/fizzbuzz_count/7.txt
7,11,3819,78,100,2,None,f,❌,input/codeparrot/fizzbuzz_count/7.txt
7,11,3819,78,200,4,None,f,❌,input/codeparrot/fizzbuzz_count/7.txt
7,11,3819,78,4000,109,None,f,❌,input/codeparrot/fizzbuzz_count/7.txt
7,11,3819,78,10000,365,None,f,❌,input/codeparrot/fizzbuzz_count/7.txt
7,11,3819,78,100000,4558,None,f,❌,input/codeparrot/fizzbuzz_count/7.txt
7,11,3819,3298,50,0,None,f,❌,input/codeparrot/fizzbuzz_count/8.txt
7,11,3819,3298,78,2,None,f,❌,input/codeparrot/fizzbuzz_count/8.txt
7,11,3819,3298,79,2,None,f,❌,input/codeparrot/fizzbuzz_count/8.txt
7,11,3819,3298,100,2,None,f,❌,input/codeparrot/fizzbuzz_count/8.txt
7,11,3819,3298,200,4,None,f,❌,input/codeparrot/fizzbuzz_count/8.txt
7,11,3819,3298,4000,109,None,f,❌,input/codeparrot/fizzbuzz_count/8.txt
7,11,3819,3298,10000,365,None,f,❌,input/codeparrot/fizzbuzz_count/8.txt
7,11,3819,3298,100000,4558,None,f,❌,input/codeparrot/fizzbuzz_count/8.txt
7,13,11,50,50,0,None,f,❌,input/codeparrot/fizzbuzz_count/12.txt
