hash_type,transform,example_input,result_emojis,result,model_input,failed_inputs,errors
md5,none,,✅✅✅❌,pppf,input/codeparrot/hash/0.txt,"[[""None"", ""'d41d8cd98f00b204e9800998ecf8427e'""]]",[]
md5,none,Hello world,💀💀💀✅,eeep,input/codeparrot/hash/1.txt,[],"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]"
md5,none,Hallo welt,❌❌❌✅,fffp,input/codeparrot/hash/2.txt,"[[""'3e25960a79dbc69b674cd4ec67a72c62'"", ""None""], [""'0ef78513b0cb8cef12743f5aeb35f888'"", ""None""], [""'5f4dcc3b5aa765d61d8327deb882cf99'"", ""None""]]",[]
md5,none,0,💀💀💀✅,eeep,input/codeparrot/hash/3.txt,[],"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]"
md5,none,sha1,💀💀💀✅,eeep,input/codeparrot/hash/4.txt,[],"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]"
md5,none,md5,✅✅✅✅,pppp,input/codeparrot/hash/5.txt,[],[]
md5,uppercase,,✅✅✅❌,pppf,input/codeparrot/hash/6.txt,"[[""None"", ""'d41d8cd98f00b204e9800998ecf8427e'""]]",[]
md5,uppercase,Hello world,💀💀💀✅,eeep,input/codeparrot/hash/7.txt,[],"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]"
md5,uppercase,Hallo welt,💀💀💀✅,eeep,input/codeparrot/hash/8.txt,[],"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]"
md5,uppercase,0,💀💀💀✅,eeep,input/codeparrot/hash/9.txt,[],"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]"
md5,uppercase,sha1,💀💀💀✅,eeep,input/codeparrot/hash/10.txt,[],"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]"
md5,uppercase,md5,💀💀💀✅,eeep,input/codeparrot/hash/11.txt,[],"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]"
md5,dash,,✅✅✅❌,pppf,input/codeparrot/hash/12.txt,"[[""None"", ""'d41d8cd98f00b204e9800998ecf8427e'""]]",[]
md5,dash,Hello world,❌❌❌✅,fffp,input/codeparrot/hash/13.txt,"[[""'3e25960a79dbc69b674cd4ec67a72c62'"", ""None""], [""'0ef78513b0cb8cef12743f5aeb35f888'"", ""None""], [""'5f4dcc3b5aa765d61d8327deb882cf99'"", ""None""]]",[]
md5,dash,Hallo welt,💀💀💀✅,eeep,input/codeparrot/hash/14.txt,[],"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]"
md5,dash,0,💀💀💀✅,eeep,input/codeparrot/hash/15.txt,[],"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]"
md5,dash,sha1,💀💀💀✅,eeep,input/codeparrot/hash/16.txt,[],"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]"
md5,dash,md5,✅✅✅✅,pppp,input/codeparrot/hash/17.txt,[],[]
sha1,none,,✅✅✅✅,pppp,input/codeparrot/hash/18.txt,[],[]
sha1,none,Hello world,✅✅✅✅,pppp,input/codeparrot/hash/19.txt,[],[]
sha1,none,Hallo welt,✅✅✅✅,pppp,input/codeparrot/hash/20.txt,[],[]
sha1,none,0,✅✅✅✅,pppp,input/codeparrot/hash/21.txt,[],[]
sha1,none,sha1,✅✅✅✅,pppp,input/codeparrot/hash/22.txt,[],[]
sha1,none,md5,✅✅✅✅,pppp,input/codeparrot/hash/23.txt,[],[]
sha1,uppercase,,✅✅✅❌,pppf,input/codeparrot/hash/24.txt,"[[""None"", ""'da39a3ee5e6b4b0d3255bfef95601890afd80709'""]]",[]
sha1,uppercase,Hello world,💀💀💀✅,eeep,input/codeparrot/hash/25.txt,[],"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]"
