op,step,example_input,input,result,result_emojis,model_input,expected,actual
incr,0,"[1, 2, 3]",[[]],p,✅,input/codeparrot/incr_list/0.txt,,
incr,0,"[1, 2, 3]","[[3, 2, 1]]",f,❌,input/codeparrot/incr_list/0.txt,"[3, 2, 1]","[4, 3, 2]"
incr,0,"[1, 2, 3]","[[5, 2, 5, 2, 3, 3, 9, 0, 123]]",f,❌,input/codeparrot/incr_list/0.txt,"[5, 2, 5, 2, 3, 3, 9, 0, 123]","[6, 3, 6, 3, 4, 4, 10, 1, 124]"
incr,0,"[5, 3, 5, 2, 3, 3, 9, 0, 123]",[[]],p,✅,input/codeparrot/incr_list/1.txt,,
incr,0,"[5, 3, 5, 2, 3, 3, 9, 0, 123]","[[3, 2, 1]]",f,❌,input/codeparrot/incr_list/1.txt,"[3, 2, 1]","[4, 3, 2]"
incr,0,"[5, 3, 5, 2, 3, 3, 9, 0, 123]","[[5, 2, 5, 2, 3, 3, 9, 0, 123]]",f,❌,input/codeparrot/incr_list/1.txt,"[5, 2, 5, 2, 3, 3, 9, 0, 123]","[6, 3, 6, 3, 4, 4, 10, 1, 124]"
incr,1,"[1, 2, 3]",[[]],p,✅,input/codeparrot/incr_list/2.txt,,
incr,1,"[1, 2, 3]","[[3, 2, 1]]",p,✅,input/codeparrot/incr_list/2.txt,,
incr,1,"[1, 2, 3]","[[5, 2, 5, 2, 3, 3, 9, 0, 123]]",p,✅,input/codeparrot/incr_list/2.txt,,
incr,1,"[5, 3, 5, 2, 3, 3, 9, 0, 123]",[[]],p,✅,input/codeparrot/incr_list/3.txt,,
incr,1,"[5, 3, 5, 2, 3, 3, 9, 0, 123]","[[3, 2, 1]]",f,❌,input/codeparrot/incr_list/3.txt,"[4, 3, 2]","[4, 3]"
incr,1,"[5, 3, 5, 2, 3, 3, 9, 0, 123]","[[5, 2, 5, 2, 3, 3, 9, 0, 123]]",f,❌,input/codeparrot/incr_list/3.txt,"[6, 3, 6, 3, 4, 4, 10, 1, 124]","[6, 3, 6, 3, 4, 4, 10, 124]"
incr,2,"[1, 2, 3]",[[]],p,✅,input/codeparrot/incr_list/4.txt,,
incr,2,"[1, 2, 3]","[[3, 2, 1]]",f,❌,input/codeparrot/incr_list/4.txt,"[5, 4, 3]",[5]
incr,2,"[1, 2, 3]","[[5, 2, 5, 2, 3, 3, 9, 0, 123]]",f,❌,input/codeparrot/incr_list/4.txt,"[7, 4, 7, 4, 5, 5, 11, 2, 125]","[7, 7, 6, 9]"
incr,2,"[5, 3, 5, 2, 3, 3, 9, 0, 123]",[[]],p,✅,input/codeparrot/incr_list/5.txt,,
incr,2,"[5, 3, 5, 2, 3, 3, 9, 0, 123]","[[3, 2, 1]]",f,❌,input/codeparrot/incr_list/5.txt,"[5, 4, 3]",[5]
incr,2,"[5, 3, 5, 2, 3, 3, 9, 0, 123]","[[5, 2, 5, 2, 3, 3, 9, 0, 123]]",f,❌,input/codeparrot/incr_list/5.txt,"[7, 4, 7, 4, 5, 5, 11, 2, 125]","[7, 7, 6, 9]"
incr,100,"[1, 2, 3]",[[]],p,✅,input/codeparrot/incr_list/6.txt,,
incr,100,"[1, 2, 3]","[[3, 2, 1]]",f,❌,input/codeparrot/incr_list/6.txt,"[103, 102, 101]",[5]
incr,100,"[1, 2, 3]","[[5, 2, 5, 2, 3, 3, 9, 0, 123]]",f,❌,input/codeparrot/incr_list/6.txt,"[105, 102, 105, 102, 103, 103, 109, 100, 223]",[7]
incr,100,"[5, 3, 5, 2, 3, 3, 9, 0, 123]",[[]],p,✅,input/codeparrot/incr_list/7.txt,,
incr,100,"[5, 3, 5, 2, 3, 3, 9, 0, 123]","[[3, 2, 1]]",f,❌,input/codeparrot/incr_list/7.txt,"[103, 102, 101]","[5, 3]"
incr,100,"[5, 3, 5, 2, 3, 3, 9, 0, 123]","[[5, 2, 5, 2, 3, 3, 9, 0, 123]]",f,❌,input/codeparrot/incr_list/7.txt,"[105, 102, 105, 102, 103, 103, 109, 100, 223]","[7, 7, 7, 5, 6, 12, 9, 123]"
incr,9999,"[1, 2, 3]",[[]],p,✅,input/codeparrot/incr_list/8.txt,,
incr,9999,"[1, 2, 3]","[[3, 2, 1]]",f,❌,input/codeparrot/incr_list/8.txt,"[10002, 10001, 10000]",[]
incr,9999,"[1, 2, 3]","[[5, 2, 5, 2, 3, 3, 9, 0, 123]]",f,❌,input/codeparrot/incr_list/8.txt,"[10004, 10001, 10004, 10001, 10002, 10002, 10008, 9999, 10122]",[]
incr,9999,"[5, 3, 5, 2, 3, 3, 9, 0, 123]",[[]],p,✅,input/codeparrot/incr_list/9.txt,,
incr,9999,"[5, 3, 5, 2, 3, 3, 9, 0, 123]","[[3, 2, 1]]",f,❌,input/codeparrot/incr_list/9.txt,"[10002, 10001, 10000]",[]
incr,9999,"[5, 3, 5, 2, 3, 3, 9, 0, 123]","[[5, 2, 5, 2, 3, 3, 9, 0, 123]]",f,❌,input/codeparrot/incr_list/9.txt,"[10004, 10001, 10004, 10001, 10002, 10002, 10008, 9999, 10122]",[]
incr,3829893478785784890248,"[1, 2, 3]",[[]],p,✅,input/codeparrot/incr_list/10.txt,,
incr,3829893478785784890248,"[1, 2, 3]","[[3, 2, 1]]",f,❌,input/codeparrot/incr_list/10.txt,"[3829893478785784890251, 3829893478785784890250, 3829893478785784890249]",[5]
incr,3829893478785784890248,"[1, 2, 3]","[[5, 2, 5, 2, 3, 3, 9, 0, 123]]",f,❌,input/codeparrot/incr_list/10.txt,"[3829893478785784890253, 3829893478785784890250, 3829893478785784890253, 3829893478785784890250, 3829893478785784890251, 3829893478785784890251, 3829893478785784890257, 3829893478785784890248, 3829893478785784890371]","[7, 7, 6, 9]"
incr,3829893478785784890248,"[5, 3, 5, 2, 3, 3, 9, 0, 123]",[[]],p,✅,input/codeparrot/incr_list/11.txt,,
incr,3829893478785784890248,"[5, 3, 5, 2, 3, 3, 9, 0, 123]","[[3, 2, 1]]",f,❌,input/codeparrot/incr_list/11.txt,"[3829893478785784890251, 3829893478785784890250, 3829893478785784890249]",[5]
incr,3829893478785784890248,"[5, 3, 5, 2, 3, 3, 9, 0, 123]","[[5, 2, 5, 2, 3, 3, 9, 0, 123]]",f,❌,input/codeparrot/incr_list/11.txt,"[3829893478785784890253, 3829893478785784890250, 3829893478785784890253, 3829893478785784890250, 3829893478785784890251, 3829893478785784890251, 3829893478785784890257, 3829893478785784890248, 3829893478785784890371]","[7, 7, 6, 9]"
decr,0,"[1, 2, 3]",[[]],p,✅,input/codeparrot/incr_list/12.txt,,
decr,0,"[1, 2, 3]","[[3, 2, 1]]",p,✅,input/codeparrot/incr_list/12.txt,,
decr,0,"[1, 2, 3]","[[5, 2, 5, 2, 3, 3, 9, 0, 123]]",f,❌,input/codeparrot/incr_list/12.txt,"[5, 2, 5, 2, 3, 3, 9, 0, 123]","[5, 2, 5, 2, 3, 3, 9, 123]"
decr,0,"[5, 3, 5, 2, 3, 3, 9, 0, 123]",[[]],p,✅,input/codeparrot/incr_list/13.txt,,
decr,0,"[5, 3, 5, 2, 3, 3, 9, 0, 123]","[[3, 2, 1]]",p,✅,input/codeparrot/incr_list/13.txt,,
decr,0,"[5, 3, 5, 2, 3, 3, 9, 0, 123]","[[5, 2, 5, 2, 3, 3, 9, 0, 123]]",f,❌,input/codeparrot/incr_list/13.txt,"[5, 2, 5, 2, 3, 3, 9, 0, 123]","[5, 2, 5, 2, 3, 3, 9, 123]"
decr,1,"[1, 2, 3]",[[]],p,✅,input/codeparrot/incr_list/14.txt,,
decr,1,"[1, 2, 3]","[[3, 2, 1]]",f,❌,input/codeparrot/incr_list/14.txt,"[2, 1, 0]","[3, 2, 1]"
decr,1,"[1, 2, 3]","[[5, 2, 5, 2, 3, 3, 9, 0, 123]]",f,❌,input/codeparrot/incr_list/14.txt,"[4, 1, 4, 1, 2, 2, 8, -1, 122]","[5, 2, 5, 2, 3, 3, 9, 123]"
decr,1,"[5, 3, 5, 2, 3, 3, 9, 0, 123]",[[]],p,✅,input/codeparrot/incr_list/15.txt,,
decr,1,"[5, 3, 5, 2, 3, 3, 9, 0, 123]","[[3, 2, 1]]",f,❌,input/codeparrot/incr_list/15.txt,"[2, 1, 0]","[3, 2]"
decr,1,"[5, 3, 5, 2, 3, 3, 9, 0, 123]","[[5, 2, 5, 2, 3, 3, 9, 0, 123]]",f,❌,input/codeparrot/incr_list/15.txt,"[4, 1, 4, 1, 2, 2, 8, -1, 122]","[5, 2, 5, 2, 3, 3, 9, 0, 123]"
decr,2,"[1, 2, 3]",[[]],p,✅,input/codeparrot/incr_list/16.txt,,
decr,2,"[1, 2, 3]","[[3, 2, 1]]",f,❌,input/codeparrot/incr_list/16.txt,"[1, 0, -1]","[3, 2, 1]"
