pos_ret,neg_ret,sep,case,result_emojis,result,model_input,failed_inputs,errors
True,False,an underscore,uppercase,❌❌❌❌❌❌❌❌❌❌❌❌❌❌,ffffffffffffff,input/codeparrot/joined_seq/14.txt,"[[""False"", ""'aab cbbbc'""], [""True"", ""'AAB CBBC'""], [""False"", ""'aab  cbbbc'""], [""False"", ""'AAB  CBBC'""], [""False"", ""'aab      cbbbc'""], [""False"", ""'AAB      CBBC'""], [""False"", ""'aab?cbbbc'""], [""False"", ""'AAB?CBBC'""], [""False"", ""'aab+cbbbc'""], [""False"", ""'AAB+CBBC'""], [""False"", ""'aab-cbbbc'""], [""False"", ""'AAB-CBBC'""], [""False"", ""'aab?cbbbc'""], [""False"", ""'AAB?CBBC'""]]",[]
True,False,an underscore,lowercase,💀💀💀💀💀💀💀💀💀💀💀💀💀💀,eeeeeeeeeeeeee,input/codeparrot/joined_seq/15.txt,[],"[""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined""]"
True,False,two underscores,uppercase,💀💀💀💀💀💀💀💀💀💀💀💀💀💀,eeeeeeeeeeeeee,input/codeparrot/joined_seq/16.txt,[],"[""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined""]"
True,False,two underscores,lowercase,❌❌❌❌❌❌❌❌❌❌❌❌❌❌,ffffffffffffff,input/codeparrot/joined_seq/17.txt,"[[""False"", ""'aabcbbbc'""], [""False"", ""'AABCBBC'""], [""True"", ""'aabcbbbc'""], [""False"", ""'AABCBBC'""], [""False"", ""'aabcbbbc'""], [""False"", ""'AABCBBC'""], [""False"", ""'aabcbbbc'""], [""False"", ""'AABCBBC'""], [""False"", ""'aabcbbbc'""], [""False"", ""'AABCBBC'""], [""False"", ""'aabcbbbc'""], [""False"", ""'AABCBBC'""], [""False"", ""'aabcbbbc'""], [""False"", ""'AABCBBC'""]]",[]
True,False,six underscores,uppercase,💀💀💀💀💀💀💀💀💀💀💀💀💀💀,eeeeeeeeeeeeee,input/codeparrot/joined_seq/18.txt,[],"[""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output""]"
True,False,six underscores,lowercase,💀💀💀💀💀💀💀💀💀💀💀💀💀💀,eeeeeeeeeeeeee,input/codeparrot/joined_seq/19.txt,[],"[""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined""]"
True,False,a minus,uppercase,✅❌✅❌✅❌✅❌✅❌✅✅✅❌,pfpfpfpfpfpppf,input/codeparrot/joined_seq/20.txt,"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""]]",[]
True,False,a minus,lowercase,💀💀💀💀💀💀💀💀💀💀💀💀💀💀,eeeeeeeeeeeeee,input/codeparrot/joined_seq/21.txt,[],"[""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined""]"
True,False,a plus,uppercase,💀💀💀💀💀💀💀💀💀💀💀💀💀💀,eeeeeeeeeeeeee,input/codeparrot/joined_seq/22.txt,[],"[""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined""]"
True,False,a plus,lowercase,❌❌❌❌❌❌❌❌❌❌❌❌❌❌,ffffffffffffff,input/codeparrot/joined_seq/23.txt,"[[""False"", ""'aab_cbbbc'""], [""False"", ""'aab_cbbc'""], [""False"", ""'aab__cbbbc'""], [""False"", ""'aab__cbbc'""], [""False"", ""'aab______cbbbc'""], [""False"", ""'aab______cbbc'""], [""False"", ""'aab?cbbbc'""], [""False"", ""'aab?cbbc'""], [""True"", ""'aab+cbbbc'""], [""False"", ""'aab+cbbc'""], [""False"", ""'aab-cbbbc'""], [""False"", ""'aab-cbbc'""], [""False"", ""'aab?cbbbc'""], [""False"", ""'aab?cbbc'""]]",[]
