sum_num,count,example_input,result_emojis,result,model_input,failed_inputs,errors
0,2,"[1, 3, 5, 0]",✅✅❌❌✅✅✅✅✅,ppffppppp,input/codeparrot/n_sum_to/0.txt,"[[""True"", ""False""], [""True"", ""False""]]",[]
0,2,"[1, 3, -2, 1, 5, 8]",✅✅✅❌✅✅✅✅✅,pppfppppp,input/codeparrot/n_sum_to/1.txt,"[[""True"", ""False""]]",[]
0,2,"[1, 2, -3, 7, 2, 7]",✅✅✅❌✅✅✅✅✅,pppfppppp,input/codeparrot/n_sum_to/2.txt,"[[""True"", ""False""]]",[]
0,2,[1],✅✅❌❌✅✅✅✅✅,ppffppppp,input/codeparrot/n_sum_to/3.txt,"[[""True"", ""False""], [""True"", ""False""]]",[]
0,3,"[1, 3, 5, 0]",✅❌✅✅❌❌❌✅✅,pfppfffpp,input/codeparrot/n_sum_to/4.txt,"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]",[]
0,3,"[1, 3, -2, 1, 5, 8]",✅❌✅✅❌❌❌✅✅,pfppfffpp,input/codeparrot/n_sum_to/5.txt,"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]",[]
0,3,"[1, 2, -3, 7, 2, 7]",✅❌✅✅❌❌❌✅✅,pfppfffpp,input/codeparrot/n_sum_to/6.txt,"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]",[]
0,3,[1],✅❌✅✅❌❌❌✅✅,pfppfffpp,input/codeparrot/n_sum_to/7.txt,"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]",[]
0,4,"[1, 3, 5, 0]",✅✅❌✅✅❌❌✅✅,ppfppffpp,input/codeparrot/n_sum_to/8.txt,"[[""False"", ""True""], [""True"", ""False""], [""True"", ""False""]]",[]
0,4,"[1, 3, -2, 1, 5, 8]",✅✅✅✅✅❌❌✅✅,pppppffpp,input/codeparrot/n_sum_to/9.txt,"[[""True"", ""False""], [""True"", ""False""]]",[]
0,4,"[1, 2, -3, 7, 2, 7]",✅✅❌✅✅❌❌✅✅,ppfppffpp,input/codeparrot/n_sum_to/10.txt,"[[""False"", ""True""], [""True"", ""False""], [""True"", ""False""]]",[]
0,4,[1],✅✅❌✅✅❌❌✅✅,ppfppffpp,input/codeparrot/n_sum_to/11.txt,"[[""False"", ""True""], [""True"", ""False""], [""True"", ""False""]]",[]
0,5,"[1, 3, 5, 0]",✅✅❌✅✅❌❌✅❌,ppfppffpf,input/codeparrot/n_sum_to/12.txt,"[[""False"", ""True""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]",[]
0,5,"[1, 3, -2, 1, 5, 8]",✅✅❌✅✅❌❌✅❌,ppfppffpf,input/codeparrot/n_sum_to/13.txt,"[[""False"", ""True""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]",[]
0,5,"[1, 2, -3, 7, 2, 7]",✅✅✅✅✅❌❌✅❌,pppppffpf,input/codeparrot/n_sum_to/14.txt,"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]",[]
0,5,[1],✅✅✅✅✅❌❌✅❌,pppppffpf,input/codeparrot/n_sum_to/15.txt,"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]",[]
0,8,"[1, 3, 5, 0]",✅❌❌✅❌✅✅❌❌,pffpfppff,input/codeparrot/n_sum_to/16.txt,"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""True"", ""False""]]",[]
0,8,"[1, 3, -2, 1, 5, 8]",✅❌❌✅❌✅✅❌❌,pffpfppff,input/codeparrot/n_sum_to/17.txt,"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""True"", ""False""]]",[]
0,8,"[1, 2, -3, 7, 2, 7]",✅❌❌✅❌✅✅❌❌,pffpfppff,input/codeparrot/n_sum_to/18.txt,"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""True"", ""False""]]",[]
0,8,[1],✅❌❌✅❌✅✅❌❌,pffpfppff,input/codeparrot/n_sum_to/19.txt,"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""True"", ""False""]]",[]
0,10,"[1, 3, 5, 0]",✅❌❌✅✅✅❌❌✅,pffpppffp,input/codeparrot/n_sum_to/20.txt,"[[""False"", ""True""], [""False"", ""True""], [""True"", ""False""], [""False"", ""True""]]",[]
0,10,"[1, 3, -2, 1, 5, 8]",✅❌❌✅✅✅❌❌✅,pffpppffp,input/codeparrot/n_sum_to/21.txt,"[[""False"", ""True""], [""False"", ""True""], [""True"", ""False""], [""False"", ""True""]]",[]
0,10,"[1, 2, -3, 7, 2, 7]",✅❌❌✅✅✅❌❌✅,pffpppffp,input/codeparrot/n_sum_to/22.txt,"[[""False"", ""True""], [""False"", ""True""], [""True"", ""False""], [""False"", ""True""]]",[]
0,10,[1],✅❌❌✅✅✅❌❌✅,pffpppffp,input/codeparrot/n_sum_to/23.txt,"[[""False"", ""True""], [""False"", ""True""], [""True"", ""False""], [""False"", ""True""]]",[]
1,2,"[1, 3, 5, 0]",❌✅✅✅❌✅❌✅✅,fpppfpfpp,input/codeparrot/n_sum_to/24.txt,"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]",[]
1,2,"[1, 3, -2, 1, 5, 8]",❌✅✅✅❌✅❌✅✅,fpppfpfpp,input/codeparrot/n_sum_to/25.txt,"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]",[]
1,2,"[1, 2, -3, 7, 2, 7]",💀💀💀💀💀💀💀💀💀,eeeeeeeee,input/codeparrot/n_sum_to/26.txt,[],"[""object of type 'int' has no len()"", ""object of type 'int' has no len()"", ""object of type 'int' has no len()"", ""object of type 'int' has no len()"", ""object of type 'int' has no len()"", ""object of type 'int' has no len()"", ""object of type 'int' has no len()"", ""object of type 'int' has no len()"", ""object of type 'int' has no len()""]"
1,2,[1],❌✅✅✅❌✅❌✅✅,fpppfpfpp,input/codeparrot/n_sum_to/27.txt,"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]",[]
1,3,"[1, 3, 5, 0]",✅❌✅💀❌✅✅✅✅,pfpefpppp,input/codeparrot/n_sum_to/28.txt,"[[""True"", ""False""], [""True"", ""False""]]","[""'int' object is not iterable""]"
1,3,"[1, 3, -2, 1, 5, 8]",✅❌✅💀❌✅✅✅✅,pfpefpppp,input/codeparrot/n_sum_to/29.txt,"[[""True"", ""False""], [""True"", ""False""]]","[""'int' object is not iterable""]"
1,3,"[1, 2, -3, 7, 2, 7]",✅❌✅💀❌✅✅✅✅,pfpefpppp,input/codeparrot/n_sum_to/30.txt,"[[""True"", ""False""], [""True"", ""False""]]","[""'int' object is not iterable""]"
