op,example_input,input,result,result_emojis,model_input,expected,actual
min,"[1, 2, 3, 2, 3, 4, 2]",[[]],e,💀,input/codeparrot/rolling/0.txt,,
min,"[1, 2, 3, 2, 3, 4, 2]","[[1, 2, 3, 4]]",f,❌,input/codeparrot/rolling/0.txt,"[1, 1, 1, 1]",[1]
min,"[1, 2, 3, 2, 3, 4, 2]","[[4, 3, 2, 1]]",f,❌,input/codeparrot/rolling/0.txt,"[4, 3, 2, 1]",[1]
min,"[1, 2, 3, 2, 3, 4, 2]","[[3, 2, 3, 100, 3]]",f,❌,input/codeparrot/rolling/0.txt,"[3, 2, 2, 2, 2]",[2]
min,"[1, 2, 2, 2]",[[]],e,💀,input/codeparrot/rolling/1.txt,,
min,"[1, 2, 2, 2]","[[1, 2, 3, 4]]",f,❌,input/codeparrot/rolling/1.txt,"[1, 1, 1, 1]",[1]
min,"[1, 2, 2, 2]","[[4, 3, 2, 1]]",f,❌,input/codeparrot/rolling/1.txt,"[4, 3, 2, 1]",[1]
min,"[1, 2, 2, 2]","[[3, 2, 3, 100, 3]]",f,❌,input/codeparrot/rolling/1.txt,"[3, 2, 2, 2, 2]",[2]
min,"[434839248, 43, 43948294823948932489324839483924, 138193819389123891238193193893893821938921, -54378957489578927489327489]",[[]],e,💀,input/codeparrot/rolling/2.txt,,
min,"[434839248, 43, 43948294823948932489324839483924, 138193819389123891238193193893893821938921, -54378957489578927489327489]","[[1, 2, 3, 4]]",e,💀,input/codeparrot/rolling/2.txt,,
min,"[434839248, 43, 43948294823948932489324839483924, 138193819389123891238193193893893821938921, -54378957489578927489327489]","[[4, 3, 2, 1]]",e,💀,input/codeparrot/rolling/2.txt,,
min,"[434839248, 43, 43948294823948932489324839483924, 138193819389123891238193193893893821938921, -54378957489578927489327489]","[[3, 2, 3, 100, 3]]",e,💀,input/codeparrot/rolling/2.txt,,
max,"[1, 2, 3, 2, 3, 4, 2]",[[]],p,✅,input/codeparrot/rolling/3.txt,,
max,"[1, 2, 3, 2, 3, 4, 2]","[[1, 2, 3, 4]]",f,❌,input/codeparrot/rolling/3.txt,"[1, 2, 3, 4]",[4]
max,"[1, 2, 3, 2, 3, 4, 2]","[[4, 3, 2, 1]]",f,❌,input/codeparrot/rolling/3.txt,"[4, 4, 4, 4]",[4]
max,"[1, 2, 3, 2, 3, 4, 2]","[[3, 2, 3, 100, 3]]",f,❌,input/codeparrot/rolling/3.txt,"[3, 3, 3, 100, 100]",[100]
max,"[1, 2, 2, 2]",[[]],p,✅,input/codeparrot/rolling/4.txt,,
max,"[1, 2, 2, 2]","[[1, 2, 3, 4]]",f,❌,input/codeparrot/rolling/4.txt,"[1, 2, 3, 4]",[4]
max,"[1, 2, 2, 2]","[[4, 3, 2, 1]]",f,❌,input/codeparrot/rolling/4.txt,"[4, 4, 4, 4]",[4]
max,"[1, 2, 2, 2]","[[3, 2, 3, 100, 3]]",f,❌,input/codeparrot/rolling/4.txt,"[3, 3, 3, 100, 100]",[100]
max,"[434839248, 43, 43948294823948932489324839483924, 138193819389123891238193193893893821938921, -54378957489578927489327489]",[[]],e,💀,input/codeparrot/rolling/5.txt,,
max,"[434839248, 43, 43948294823948932489324839483924, 138193819389123891238193193893893821938921, -54378957489578927489327489]","[[1, 2, 3, 4]]",e,💀,input/codeparrot/rolling/5.txt,,
max,"[434839248, 43, 43948294823948932489324839483924, 138193819389123891238193193893893821938921, -54378957489578927489327489]","[[4, 3, 2, 1]]",e,💀,input/codeparrot/rolling/5.txt,,
max,"[434839248, 43, 43948294823948932489324839483924, 138193819389123891238193193893893821938921, -54378957489578927489327489]","[[3, 2, 3, 100, 3]]",e,💀,input/codeparrot/rolling/5.txt,,
sum,"[1, 2, 3, 2, 3, 4, 2]",[[]],p,✅,input/codeparrot/rolling/6.txt,,
sum,"[1, 2, 3, 2, 3, 4, 2]","[[1, 2, 3, 4]]",f,❌,input/codeparrot/rolling/6.txt,"[1, 3, 6, 10]","[0, 1, 3, 6]"
sum,"[1, 2, 3, 2, 3, 4, 2]","[[4, 3, 2, 1]]",f,❌,input/codeparrot/rolling/6.txt,"[4, 7, 9, 10]","[0, 4, 7, 9]"
sum,"[1, 2, 3, 2, 3, 4, 2]","[[3, 2, 3, 100, 3]]",f,❌,input/codeparrot/rolling/6.txt,"[3, 5, 8, 108, 111]","[0, 3, 5, 8, 108]"
sum,"[1, 2, 2, 2]",[[]],p,✅,input/codeparrot/rolling/7.txt,,
sum,"[1, 2, 2, 2]","[[1, 2, 3, 4]]",f,❌,input/codeparrot/rolling/7.txt,"[1, 3, 6, 10]","[0, 1, 3, 6]"
sum,"[1, 2, 2, 2]","[[4, 3, 2, 1]]",f,❌,input/codeparrot/rolling/7.txt,"[4, 7, 9, 10]","[0, 4, 7, 9]"
sum,"[1, 2, 2, 2]","[[3, 2, 3, 100, 3]]",f,❌,input/codeparrot/rolling/7.txt,"[3, 5, 8, 108, 111]","[0, 3, 5, 8, 108]"
sum,"[434839248, 43, 43948294823948932489324839483924, 138193819389123891238193193893893821938921, -54378957489578927489327489]",[[]],e,💀,input/codeparrot/rolling/8.txt,,
sum,"[434839248, 43, 43948294823948932489324839483924, 138193819389123891238193193893893821938921, -54378957489578927489327489]","[[1, 2, 3, 4]]",e,💀,input/codeparrot/rolling/8.txt,,
sum,"[434839248, 43, 43948294823948932489324839483924, 138193819389123891238193193893893821938921, -54378957489578927489327489]","[[4, 3, 2, 1]]",e,💀,input/codeparrot/rolling/8.txt,,
sum,"[434839248, 43, 43948294823948932489324839483924, 138193819389123891238193193893893821938921, -54378957489578927489327489]","[[3, 2, 3, 100, 3]]",e,💀,input/codeparrot/rolling/8.txt,,
