small_ret,large_ret,default_ret,small_limit,large_limit,input,expected,actual,result,result_emojis,model_input
small,large,,-100,-1,-100,None,'large',f,❌,input/codeparrot/small_or_large/0.txt
small,large,,-100,-1,-1,'large',None,f,❌,input/codeparrot/small_or_large/0.txt
small,large,,-100,-1,0,'large',None,f,❌,input/codeparrot/small_or_large/0.txt
small,large,,-100,-1,10,'large',None,f,❌,input/codeparrot/small_or_large/0.txt
small,large,,-100,-1,100,'large',None,f,❌,input/codeparrot/small_or_large/0.txt
small,large,,-100,-1,1000,'large',None,f,❌,input/codeparrot/small_or_large/0.txt
small,large,,-100,-1,2000,'large',None,f,❌,input/codeparrot/small_or_large/0.txt
small,large,,-100,-1,1000000,'large',None,f,❌,input/codeparrot/small_or_large/0.txt
small,large,,-100,2,-100,None,'large',f,❌,input/codeparrot/small_or_large/1.txt
small,large,,-100,2,-1,None,'large',f,❌,input/codeparrot/small_or_large/1.txt
small,large,,-100,2,0,None,'large',f,❌,input/codeparrot/small_or_large/1.txt
small,large,,-100,2,10,'large',None,f,❌,input/codeparrot/small_or_large/1.txt
small,large,,-100,2,100,'large',None,f,❌,input/codeparrot/small_or_large/1.txt
small,large,,-100,2,1000,'large',None,f,❌,input/codeparrot/small_or_large/1.txt
small,large,,-100,2,2000,'large',None,f,❌,input/codeparrot/small_or_large/1.txt
small,large,,-100,2,1000000,'large',None,f,❌,input/codeparrot/small_or_large/1.txt
small,large,,-100,15,-100,None,'large',f,❌,input/codeparrot/small_or_large/2.txt
small,large,,-100,15,-1,None,'large',f,❌,input/codeparrot/small_or_large/2.txt
small,large,,-100,15,0,None,'large',f,❌,input/codeparrot/small_or_large/2.txt
small,large,,-100,15,10,None,'large',f,❌,input/codeparrot/small_or_large/2.txt
small,large,,-100,15,100,'large','small',f,❌,input/codeparrot/small_or_large/2.txt
small,large,,-100,15,1000,'large','small',f,❌,input/codeparrot/small_or_large/2.txt
small,large,,-100,15,2000,'large','small',f,❌,input/codeparrot/small_or_large/2.txt
small,large,,-100,15,1000000,'large','small',f,❌,input/codeparrot/small_or_large/2.txt
small,large,,-100,2000,-100,None,'large',f,❌,input/codeparrot/small_or_large/3.txt
small,large,,-100,2000,-1,None,'large',f,❌,input/codeparrot/small_or_large/3.txt
small,large,,-100,2000,0,None,'large',f,❌,input/codeparrot/small_or_large/3.txt
small,large,,-100,2000,10,None,'large',f,❌,input/codeparrot/small_or_large/3.txt
small,large,,-100,2000,100,None,'large',f,❌,input/codeparrot/small_or_large/3.txt
small,large,,-100,2000,1000,None,'large',f,❌,input/codeparrot/small_or_large/3.txt
small,large,,-100,2000,2000,'large','small',f,❌,input/codeparrot/small_or_large/3.txt
small,large,,-100,2000,1000000,'large','small',f,❌,input/codeparrot/small_or_large/3.txt
small,large,,2,15,-100,,,p,✅,input/codeparrot/small_or_large/6.txt
small,large,,2,15,-1,,,p,✅,input/codeparrot/small_or_large/6.txt
small,large,,2,15,0,,,p,✅,input/codeparrot/small_or_large/6.txt
small,large,,2,15,10,None,'large',f,❌,input/codeparrot/small_or_large/6.txt
small,large,,2,15,100,'large',None,f,❌,input/codeparrot/small_or_large/6.txt
small,large,,2,15,1000,'large',None,f,❌,input/codeparrot/small_or_large/6.txt
small,large,,2,15,2000,'large',None,f,❌,input/codeparrot/small_or_large/6.txt
small,large,,2,15,1000000,'large',None,f,❌,input/codeparrot/small_or_large/6.txt
