sum_num,count,example_input,result_emojis,result,model_input,failed_inputs,errors
0,2,"[1, 3, 5, 0]",✅✅✅✅✅✅✅,ppppppp,input/codeparrot/triples_sum_to/0.txt,[],[]
0,2,"[1, 3, -2, 1, 5, 8]",✅✅✅✅✅✅✅,ppppppp,input/codeparrot/triples_sum_to/1.txt,[],[]
0,2,"[1, 2, -3, 7, 2, 7]",✅✅✅✅✅✅✅,ppppppp,input/codeparrot/triples_sum_to/2.txt,[],[]
0,2,[1],✅✅✅✅✅✅✅,ppppppp,input/codeparrot/triples_sum_to/3.txt,[],[]
0,3,"[1, 3, 5, 0]",✅❌❌❌❌✅✅,pffffpp,input/codeparrot/triples_sum_to/4.txt,"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]",[]
0,3,"[1, 3, -2, 1, 5, 8]",✅❌❌❌❌✅✅,pffffpp,input/codeparrot/triples_sum_to/5.txt,"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]",[]
0,3,"[1, 2, -3, 7, 2, 7]",✅❌❌❌❌✅✅,pffffpp,input/codeparrot/triples_sum_to/6.txt,"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]",[]
0,3,[1],✅❌❌❌❌✅✅,pffffpp,input/codeparrot/triples_sum_to/7.txt,"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]",[]
0,4,"[1, 3, 5, 0]",✅✅✅❌❌✅✅,pppffpp,input/codeparrot/triples_sum_to/8.txt,"[[""True"", ""False""], [""True"", ""False""]]",[]
0,4,"[1, 3, -2, 1, 5, 8]",✅✅✅❌❌✅✅,pppffpp,input/codeparrot/triples_sum_to/9.txt,"[[""True"", ""False""], [""True"", ""False""]]",[]
0,4,"[1, 2, -3, 7, 2, 7]",✅✅✅❌❌✅✅,pppffpp,input/codeparrot/triples_sum_to/10.txt,"[[""True"", ""False""], [""True"", ""False""]]",[]
0,4,[1],✅✅✅❌❌✅✅,pppffpp,input/codeparrot/triples_sum_to/11.txt,"[[""True"", ""False""], [""True"", ""False""]]",[]
0,5,"[1, 3, 5, 0]",✅✅✅❌❌✅❌,pppffpf,input/codeparrot/triples_sum_to/12.txt,"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]",[]
0,5,"[1, 3, -2, 1, 5, 8]",✅✅✅❌❌✅❌,pppffpf,input/codeparrot/triples_sum_to/13.txt,"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]",[]
0,5,"[1, 2, -3, 7, 2, 7]",✅✅✅❌❌✅❌,pppffpf,input/codeparrot/triples_sum_to/14.txt,"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]",[]
0,5,[1],✅✅✅❌❌✅❌,pppffpf,input/codeparrot/triples_sum_to/15.txt,"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]",[]
