var1_name,var2_name,line_order1,line_order2,line_order3,op1,op2,op3,result_emojis,result,model_input,failed_inputs,errors
a,b,first,second,third,sum,difference,product,💀💀💀💀💀💀,eeeeee,input/codeparrot/arithmetic/869.txt,[],"[""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable""]"
a,b,first,second,third,sum,product,difference,💀💀💀💀💀💀,eeeeee,input/codeparrot/arithmetic/871.txt,[],"[""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable""]"
a,b,first,second,third,difference,sum,product,💀💀💀💀💀💀,eeeeee,input/codeparrot/arithmetic/875.txt,[],"[""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable""]"
a,b,first,second,third,difference,product,sum,💀💀💀💀💀💀,eeeeee,input/codeparrot/arithmetic/879.txt,[],"[""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable""]"
a,b,first,second,third,product,sum,difference,💀💀💀💀💀💀,eeeeee,input/codeparrot/arithmetic/883.txt,[],"[""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable""]"
a,b,first,second,third,product,difference,sum,💀💀💀💀💀💀,eeeeee,input/codeparrot/arithmetic/885.txt,[],"[""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable""]"
a,b,first,third,second,sum,difference,product,💀💀💀💀💀💀,eeeeee,input/codeparrot/arithmetic/923.txt,[],"[""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable""]"
a,b,first,third,second,sum,product,difference,💀💀💀💀💀💀,eeeeee,input/codeparrot/arithmetic/925.txt,[],"[""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable""]"
a,b,first,third,second,difference,sum,product,💀💀💀💀💀💀,eeeeee,input/codeparrot/arithmetic/929.txt,[],"[""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable""]"
a,b,first,third,second,difference,product,sum,💀💀💀💀💀💀,eeeeee,input/codeparrot/arithmetic/933.txt,[],"[""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable""]"
