var,val,success_rate
all_allergens,"['eggs', 'peanuts', 'shellfish', 'strawberries', 'tomatoes', 'chocolate', 'pollen', 'cats']",0
name,Tom,0
example_allergen1,peanuts,0
example_allergen2,pollen,0
example_allergen2,shellfish,0
example_allergen1,chocolate,0
name,Alice,0
name,Destiny,0
name,Fritz von Kitzhausdorf,0
all_allergens,"('eggs', 'tomatoes', 'peanuts', 'pollen', 'strawberries', 'cats', 'chocolate', 'shellfish')",0
all_allergens,"('peanuts', 'eggs', 'chocolate', 'shellfish', 'cats', 'pollen', 'tomatoes', 'strawberries')",0
all_allergens,"('peanuts', 'tomatoes', 'strawberries', 'eggs', 'pollen', 'chocolate', 'shellfish', 'cats')",0
