var,val,success_rate
var1_name,a,0
var2_name,b,0
line_order1,first,0
line_order2,second,0
line_order3,third,0
op1,sum,0
op2,difference,0
op3,product,0
input,"[3, 5]",0
input,"[7, 10]",0
input,"[0, 0]",0
input,"[1, 0]",0
input,"[0, 1]",0
input,"[100, 20]",0
op2,product,0
op3,difference,0
op1,difference,0
op2,sum,0
op3,sum,0
op1,product,0
line_order2,third,0
line_order3,second,0
line_order1,second,0
line_order2,first,0
line_order3,first,0
line_order1,third,0
var2_name,fekjfwoeifjwu5gfd,0
var1_name,b,0
var2_name,a,0
var1_name,fkrjf4ifji4ofj,0
