var,val,success_rate
input,"[1, 3]",0.0
input,"[2, 7]",0.0
input,"[21, 31]",0.0
input,"[341, 2047]",0.0
input,"[21877, 32767]",0.0
input,"[262143, 536870911]",0.0
count,3,0.0
count,4,0.0
count,1,0.03571428571428571
count,2,0.03571428571428571
count,11,0.03571428571428571
count,5,0.07142857142857142
count,6,0.07142857142857142
count,15,0.07142857142857142
count,29,0.07142857142857142
word_count,False,0.08571428571428572
input,"[0, 1]",0.1
input,"[0, 3]",0.1
input,"[0, 7]",0.1
input,"[0, 31]",0.1
input,"[0, 2047]",0.1
input,"[0, 32767]",0.1
input,"[0, 536870911]",0.1
word_count,True,0.10714285714285714
count,0,0.5714285714285714
input,"[1, 1]",0.65
