var,val,success_rate
input,aaaAB1!1kf!kd3?f3fk?lk3,0.0
input,???!!!!ABCdefg1234aaaee,0.0
input,A?,0.0
input,1A2B3C!,0.0
triple_class,upper-case letter,0.0
triple_class,lower-case letter,0.0
triple_class,vowel (lower-case or upper-case),0.0
double_class,upper-case letter,0.0
double_class,lower-case letter,0.0
double_class,vowel (lower-case or upper-case),0.0
triple_class,question mark,0.04081632653061224
double_class,exclamation point,0.04081632653061224
input,!!!!!,0.05
double_class,question mark,0.061224489795918366
input,?,0.075
triple_class,exclamation point,0.08163265306122448
triple_class,letter,0.09523809523809523
triple_class,number,0.10204081632653061
double_class,number,0.10204081632653061
triple_class,consonant (lower-case or upper-case),0.10714285714285714
double_class,consonant (lower-case or upper-case),0.10714285714285714
double_class,letter,0.14285714285714285
input,AAAaaaaaAAAA,0.275
