var,val,success_rate
length,1,0.0
cond,exactly,0.0
cond,at most,0.0
length,3,0.0
cond,not,0.027777777777777776
length,6,0.027777777777777776
input,a bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb,0.0625
input,aaaaaa,0.0625
input,aaaaaaaaaaaaaaaaaaaa  b c d e,0.0625
input,b bbb bbbbbb,0.0625
input,b bbb bbbbbbb,0.0625
input,Please move back to stream,0.0625
input,Jhingai wulu road Zone 3,0.0625
input,aaa,0.125
input,cccccccccccccccccccc,0.125
cond,at least,0.2777777777777778
length,20,0.2777777777777778
