var,val,success_rate
factor2,4948938,0.0
factor1,ninety-nine,0.0
factor1,144546,0.006299212598425197
factor1,eleven,0.015748031496062992
factor2,23,0.025590551181102362
factor2,a hundred and seventeen,0.027559055118110236
factor2,17,0.03262092238470191
factor1,five,0.03712035995500562
factor1,4,0.04499437570303712
factor2,twenty-three,0.04625984251968504
factor2,5,0.048368953880764905
factor1,3,0.05354330708661417
factor2,11,0.06167979002624672
factor1,seventeen,0.06955380577427822
factor2,3,0.11220472440944881
factor1,three,0.13385826771653545
