var,val,success_rate
open,(,0
input,"[['()(', ')']]",0
input,"[[')', ')']]",0
input,"[['(()(())', '())())']]",0
input,"[[')())', '(()()(']]",0
input,"[['(())))', '(()())((']]",0
input,"[['()', '())']]",0
input,"[['(()(', '()))()']]",0
input,"[['((((', '((())']]",0
input,"[[')(()', '(()(']]",0
input,"[[')(', ')(']]",0
input,"[['(', ')']]",0
input,"[[')', '(']]",0
open,{,0
input,"[['{}{', '}']]",0
input,"[['}', '}']]",0
input,"[['{{}{{}}', '{}}{}}']]",0
input,"[['}{}}', '{{}{}{']]",0
input,"[['{{}}}}', '{{}{}}{{']]",0
input,"[['{}', '{}}']]",0
input,"[['{{}{', '{}}}{}']]",0
input,"[['{{{{', '{{{}}']]",0
input,"[['}{{}', '{{}{']]",0
input,"[['}{', '}{']]",0
input,"[['{', '}']]",0
input,"[['}', '{']]",0
open,[,0
input,"[['[][', ']']]",0
input,"[[']', ']']]",0
input,"[['[[][[]]', '[]][]]']]",0
input,"[['][]]', '[[][][']]",0
input,"[['[[]]]]', '[[][]][[']]",0
input,"[['[]', '[]]']]",0
input,"[['[[][', '[]]][]']]",0
input,"[['[[[[', '[[[]]']]",0
input,"[['][[]', '[[][']]",0
input,"[['][', '][']]",0
input,"[['[', ']']]",0
input,"[[']', '[']]",0
open,<,0
input,"[['<><', '>']]",0
input,"[['>', '>']]",0
input,"[['<<><<>>', '<>><>>']]",0
input,"[['><>>', '<<><><']]",0
input,"[['<<>>>>', '<<><>><<']]",0
input,"[['<>', '<>>']]",0
input,"[['<<><', '<>>><>']]",0
input,"[['<<<<', '<<<>>']]",0
input,"[['><<>', '<<><']]",0
input,"[['><', '><']]",0
input,"[['<', '>']]",0
input,"[['>', '<']]",0
