var,val,success_rate
count,2,0.39285714285714285
sum_num,5,0.40476190476190477
sum_num,3,0.43452380952380953
sum_num,2,0.4523809523809524
count,5,0.47619047619047616
example_input,"[1, 2, -3, 7, 2, 7]",0.4801587301587302
count,8,0.49404761904761907
count,10,0.5
example_input,"[1, 3, 5, 0]",0.5198412698412699
example_input,"[1, 3, -2, 1, 5, 8]",0.5198412698412699
example_input,[1],0.5198412698412699
sum_num,100,0.5476190476190477
count,4,0.5773809523809523
sum_num,1,0.6011904761904762
sum_num,0,0.6190476190476191
count,3,0.6190476190476191
