var,val,success_rate
hash_type,blake2b,0.25
hash_type,blake2s,0.25
input,Hello world,0.7777777777777778
input,A B C,0.7777777777777778
input,password,0.7777777777777778
transform,none,0.8333333333333334
example_input,None,0.8333333333333334
example_input,Hello world,0.8333333333333334
example_input,Hallo welt,0.8333333333333334
example_input,0,0.8333333333333334
example_input,sha1,0.8333333333333334
example_input,md5,0.8333333333333334
transform,uppercase,0.8333333333333334
transform,dash,0.8333333333333334
hash_type,md5,1.0
input,,1.0
hash_type,sha1,1.0
hash_type,sha224,1.0
hash_type,sha256,1.0
hash_type,sha384,1.0
hash_type,sha512,1.0
hash_type,sha3_512,1.0
