double_class,triple_class,result_emojis,result,model_input,failed_inputs,errors
letter,number,✅✅✅✅✅✅✅,ppppppp,input/codex/double_letters/1.txt,[],[]
letter,exclamation point,✅✅✅✅✅✅✅,ppppppp,input/codex/double_letters/4.txt,[],[]
letter,question mark,❌❌✅✅❌✅❌,ffppfpf,input/codex/double_letters/5.txt,"[[""'aaaaaaAABB1!1kkff!kkdd3???ff3ffkk???llkk3'"", ""'aaaaaaAABB11!!11kkff!!kkdd33???ff33ffkk???llkk33'""], [""'?????????!!!!AABBCCddeeffgg1234aaaaaaeeee'"", ""'?????????!!!!!!!!AABBCCddeeffgg11223344aaaaaaeeee'""], [""'!!!!!'"", ""'!!!!!!!!!!'""], [""'1AA2BB3CC!'"", ""'11AA22BB33CC!!'""]]",[]
number,letter,✅✅✅✅✅✅✅,ppppppp,input/codex/double_letters/8.txt,[],[]
number,upper-case letter,✅✅✅✅✅✅✅,ppppppp,input/codex/double_letters/10.txt,[],[]
number,lower-case letter,✅✅✅✅✅✅✅,ppppppp,input/codex/double_letters/11.txt,[],[]
number,exclamation point,✅✅✅✅✅✅✅,ppppppp,input/codex/double_letters/12.txt,[],[]
number,question mark,✅✅✅✅✅✅✅,ppppppp,input/codex/double_letters/13.txt,[],[]
number,vowel (lower-case or upper-case),✅✅✅✅✅✅✅,ppppppp,input/codex/double_letters/14.txt,[],[]
number,consonant (lower-case or upper-case),✅✅✅✅✅✅✅,ppppppp,input/codex/double_letters/15.txt,[],[]
upper-case letter,number,✅✅✅✅✅✅✅,ppppppp,input/codex/double_letters/17.txt,[],[]
upper-case letter,lower-case letter,✅✅✅✅✅✅✅,ppppppp,input/codex/double_letters/19.txt,[],[]
upper-case letter,exclamation point,✅✅✅✅✅✅✅,ppppppp,input/codex/double_letters/20.txt,[],[]
upper-case letter,question mark,✅✅✅✅✅✅✅,ppppppp,input/codex/double_letters/21.txt,[],[]
lower-case letter,number,✅✅✅✅✅✅✅,ppppppp,input/codex/double_letters/25.txt,[],[]
lower-case letter,upper-case letter,✅✅✅✅✅✅✅,ppppppp,input/codex/double_letters/26.txt,[],[]
lower-case letter,exclamation point,✅✅✅✅✅✅✅,ppppppp,input/codex/double_letters/28.txt,[],[]
lower-case letter,question mark,✅✅✅✅✅✅✅,ppppppp,input/codex/double_letters/29.txt,[],[]
exclamation point,letter,✅✅✅✅✅✅✅,ppppppp,input/codex/double_letters/32.txt,[],[]
exclamation point,number,✅✅✅✅✅✅✅,ppppppp,input/codex/double_letters/33.txt,[],[]
exclamation point,upper-case letter,✅✅✅✅✅✅✅,ppppppp,input/codex/double_letters/34.txt,[],[]
exclamation point,lower-case letter,✅✅✅✅✅✅✅,ppppppp,input/codex/double_letters/35.txt,[],[]
exclamation point,question mark,✅✅✅✅✅✅✅,ppppppp,input/codex/double_letters/37.txt,[],[]
exclamation point,vowel (lower-case or upper-case),✅✅✅✅✅✅✅,ppppppp,input/codex/double_letters/38.txt,[],[]
exclamation point,consonant (lower-case or upper-case),❌❌❌❌✅✅❌,ffffppf,input/codex/double_letters/39.txt,"[[""'aaaABBB1!!1kkkfff!!kkkddd3?fff3fffkkk?lllkkk3'"", ""'aaaABBB111!!111kkkfff!!kkkddd333???fff333fffkkk???lllkkk333'""], [""'???!!!!!!!!ABBBCCCdddefffggg1234aaaee'"", ""'?????????!!!!!!!!ABBBCCCdddefffggg111222333444aaaee'""], [""'A?'"", ""'A???'""], [""'?'"", ""'???'""], [""'1A2BBB3CCC!!'"", ""'111A222BBB333CCC!!'""]]",[]
question mark,letter,✅✅✅✅✅✅✅,ppppppp,input/codex/double_letters/40.txt,[],[]
question mark,number,✅✅✅✅✅✅✅,ppppppp,input/codex/double_letters/41.txt,[],[]
question mark,upper-case letter,✅✅✅✅✅✅✅,ppppppp,input/codex/double_letters/42.txt,[],[]
question mark,lower-case letter,✅✅✅✅✅✅✅,ppppppp,input/codex/double_letters/43.txt,[],[]
question mark,exclamation point,✅✅✅✅✅✅✅,ppppppp,input/codex/double_letters/44.txt,[],[]
question mark,vowel (lower-case or upper-case),✅✅✅✅✅✅✅,ppppppp,input/codex/double_letters/46.txt,[],[]
question mark,consonant (lower-case or upper-case),✅✅✅✅✅✅✅,ppppppp,input/codex/double_letters/47.txt,[],[]
vowel (lower-case or upper-case),number,✅✅✅✅✅✅✅,ppppppp,input/codex/double_letters/49.txt,[],[]
vowel (lower-case or upper-case),exclamation point,✅✅✅✅✅✅✅,ppppppp,input/codex/double_letters/52.txt,[],[]
vowel (lower-case or upper-case),question mark,✅✅✅✅✅✅✅,ppppppp,input/codex/double_letters/53.txt,[],[]
vowel (lower-case or upper-case),consonant (lower-case or upper-case),✅✅✅✅✅✅✅,ppppppp,input/codex/double_letters/55.txt,[],[]
consonant (lower-case or upper-case),number,✅✅✅✅✅✅✅,ppppppp,input/codex/double_letters/57.txt,[],[]
consonant (lower-case or upper-case),exclamation point,❌❌❌❌✅✅❌,ffffppf,input/codex/double_letters/60.txt,"[[""'aaaABB1!!!1kkff!!!kkdd3?ff3ffkk?llkk3'"", ""'aaaABB11!!!11kkff!!!kkdd33??ff33ffkk??llkk33'""], [""'???!!!!!!!!!!!!ABBCCddeffgg1234aaaee'"", ""'??????!!!!!!!!!!!!ABBCCddeffgg11223344aaaee'""], [""'A?'"", ""'A??'""], [""'?'"", ""'??'""], [""'1A2BB3CC!!!'"", ""'11A22BB33CC!!!'""]]",[]
consonant (lower-case or upper-case),question mark,❌❌✅✅✅✅❌,ffppppf,input/codex/double_letters/61.txt,"[[""'aaaABB1!1kkff!kkdd3???ff3ffkk???llkk3'"", ""'aaaAB1!1kkff!kkdd3???ff3ffkk???llkk3'""], [""'?????????!!!!ABBCCddeffgg1234aaaee'"", ""'?????????!!!!ABCddeffgg1234aaaee'""], [""'1A2BB3CC!'"", ""'1A2B3C!'""]]",[]
consonant (lower-case or upper-case),vowel (lower-case or upper-case),✅✅✅✅✅✅✅,ppppppp,input/codex/double_letters/62.txt,[],[]
