type,example_input,result_emojis,result,model_input,failed_inputs,errors
string,"['a', 3.14, 5]",✅✅,pp,input/codex/filter_types/0.txt,[],[]
string,"[1, 2, 3, 3.6, 'abc', {}, [], (1,)]",✅✅,pp,input/codex/filter_types/1.txt,[],[]
integer,"['a', 3.14, 5]",✅✅,pp,input/codex/filter_types/2.txt,[],[]
integer,"[1, 2, 3, 3.6, 'abc', {}, [], (1,)]",✅✅,pp,input/codex/filter_types/3.txt,[],[]
float,"['a', 3.14, 5]",✅✅,pp,input/codex/filter_types/4.txt,[],[]
float,"[1, 2, 3, 3.6, 'abc', {}, [], (1,)]",✅✅,pp,input/codex/filter_types/5.txt,[],[]
dictionary,"['a', 3.14, 5]",✅✅,pp,input/codex/filter_types/6.txt,[],[]
dictionary,"[1, 2, 3, 3.6, 'abc', {}, [], (1,)]",✅✅,pp,input/codex/filter_types/7.txt,[],[]
list,"['a', 3.14, 5]",✅✅,pp,input/codex/filter_types/8.txt,[],[]
list,"[1, 2, 3, 3.6, 'abc', {}, [], (1,)]",✅✅,pp,input/codex/filter_types/9.txt,[],[]
tuple,"['a', 3.14, 5]",✅✅,pp,input/codex/filter_types/10.txt,[],[]
tuple,"[1, 2, 3, 3.6, 'abc', {}, [], (1,)]",✅✅,pp,input/codex/filter_types/11.txt,[],[]
