length,cond,result_emojis,result,model_input,failed_inputs,errors
1,at least,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/find_words/0.txt,[],[]
1,exactly,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/find_words/1.txt,[],[]
1,at most,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/find_words/2.txt,[],[]
1,not,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/find_words/3.txt,[],[]
3,at least,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/find_words/4.txt,[],[]
3,exactly,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/find_words/5.txt,[],[]
3,at most,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/find_words/6.txt,[],[]
3,not,❌✅❌❌❌❌❌❌❌,fpfffffff,input/codex/find_words/7.txt,"[[""['a', 'bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb']"", ""['a']""], [""['aaaaaa']"", ""[]""], [""['aaaaaaaaaaaaaaaaaaaa', 'b', 'c', 'd', 'e']"", ""['b', 'c', 'd', 'e']""], [""['cccccccccccccccccccc']"", ""[]""], [""['b', 'bbbbbb']"", ""['b']""], [""['b', 'bbbbbbb']"", ""['b']""], [""['Please', 'move', 'back', 'to', 'stream']"", ""['to']""], [""['Jhingai', 'wulu', 'road', 'Zone', '3']"", ""['3']""]]",[]
6,at least,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/find_words/8.txt,[],[]
6,exactly,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/find_words/9.txt,[],[]
6,at most,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/find_words/10.txt,[],[]
6,not,❌✅✅❌❌✅❌✅❌,fppffpfpf,input/codex/find_words/11.txt,"[[""['a', 'bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb']"", ""['a']""], [""['aaaaaaaaaaaaaaaaaaaa', 'b', 'c', 'd', 'e']"", ""['b', 'c', 'd', 'e']""], [""['cccccccccccccccccccc']"", ""[]""], [""['b', 'bbb', 'bbbbbbb']"", ""['b', 'bbb']""], [""['Jhingai', 'wulu', 'road', 'Zone', '3']"", ""['wulu', 'road', 'Zone', '3']""]]",[]
20,at least,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/find_words/12.txt,[],[]
20,exactly,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/find_words/13.txt,[],[]
20,at most,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/find_words/14.txt,[],[]
20,not,❌✅✅✅✅✅✅✅✅,fpppppppp,input/codex/find_words/15.txt,"[[""['a', 'bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb']"", ""['a']""]]",[]
