digit,factor2,factor3,example_input,result_emojis,result,model_input,failed_inputs,errors
7,11,13,50,✅✅✅✅✅✅✅✅,pppppppp,input/codex/fizzbuzz_count/0.txt,[],[]
7,11,13,78,✅❌❌❌❌❌❌❌,pfffffff,input/codex/fizzbuzz_count/1.txt,"[[""2"", ""1""], [""3"", ""2""], [""3"", ""2""], [""6"", ""5""], [""192"", ""174""], [""639"", ""545""], [""8026"", ""6583""]]",[]
7,11,13,3298,✅✅✅✅✅✅✅✅,pppppppp,input/codex/fizzbuzz_count/2.txt,[],[]
7,11,3819,50,✅✅✅✅✅✅✅✅,pppppppp,input/codex/fizzbuzz_count/6.txt,[],[]
7,11,3819,78,✅✅✅✅✅✅✅✅,pppppppp,input/codex/fizzbuzz_count/7.txt,[],[]
7,11,3819,3298,✅✅✅✅✅✅✅✅,pppppppp,input/codex/fizzbuzz_count/8.txt,[],[]
7,13,11,50,✅✅✅✅✅✅✅✅,pppppppp,input/codex/fizzbuzz_count/12.txt,[],[]
7,13,11,78,✅✅✅✅✅✅✅✅,pppppppp,input/codex/fizzbuzz_count/13.txt,[],[]
7,13,11,3298,✅✅✅✅✅✅✅✅,pppppppp,input/codex/fizzbuzz_count/14.txt,[],[]
7,13,3819,50,✅✅✅✅✅✅✅✅,pppppppp,input/codex/fizzbuzz_count/15.txt,[],[]
7,13,3819,78,✅✅✅✅✅✅✅✅,pppppppp,input/codex/fizzbuzz_count/16.txt,[],[]
7,13,3819,3298,✅✅✅✅✅✅✅✅,pppppppp,input/codex/fizzbuzz_count/17.txt,[],[]
7,7,13,50,❌❌❌❌❌❌❌❌,ffffffff,input/codex/fizzbuzz_count/18.txt,"[[""1"", ""10""], [""4"", ""16""], [""5"", ""17""], [""5"", ""20""], [""8"", ""41""], [""254"", ""835""], [""837"", ""2088""], [""10441"", ""20879""]]",[]
7,7,13,78,✅✅✅✅✅✅✅✅,pppppppp,input/codex/fizzbuzz_count/19.txt,[],[]
7,7,13,3298,✅✅✅✅✅✅✅✅,pppppppp,input/codex/fizzbuzz_count/20.txt,[],[]
7,7,11,50,❌❌❌❌❌❌❌❌,ffffffff,input/codex/fizzbuzz_count/21.txt,"[[""1"", ""11""], [""4"", ""17""], [""4"", ""17""], [""4"", ""22""], [""8"", ""44""], [""265"", ""883""], [""883"", ""2208""], [""11031"", ""22077""]]",[]
7,7,11,78,✅✅✅✅✅✅✅✅,pppppppp,input/codex/fizzbuzz_count/22.txt,[],[]
7,7,11,3298,✅✅✅✅✅✅✅✅,pppppppp,input/codex/fizzbuzz_count/23.txt,[],[]
7,7,3819,50,❌❌❌❌❌❌❌❌,ffffffff,input/codex/fizzbuzz_count/24.txt,"[[""1"", ""7""], [""4"", ""11""], [""4"", ""11""], [""4"", ""14""], [""6"", ""28""], [""173"", ""572""], [""574"", ""1430""], [""7156"", ""14308""]]",[]
7,7,3819,78,❌❌❌❌❌❌❌❌,ffffffff,input/codex/fizzbuzz_count/25.txt,"[[""1"", ""7""], [""4"", ""11""], [""4"", ""11""], [""4"", ""14""], [""6"", ""28""], [""173"", ""572""], [""574"", ""1430""], [""7156"", ""14308""]]",[]
7,7,3819,3298,✅✅✅✅✅✅✅✅,pppppppp,input/codex/fizzbuzz_count/26.txt,[],[]
7,1837,13,50,✅✅✅✅✅✅✅✅,pppppppp,input/codex/fizzbuzz_count/27.txt,[],[]
7,1837,13,78,✅✅✅✅✅✅✅✅,pppppppp,input/codex/fizzbuzz_count/28.txt,[],[]
7,1837,13,3298,✅✅✅✅✅✅✅✅,pppppppp,input/codex/fizzbuzz_count/29.txt,[],[]
7,1837,3819,50,✅✅✅✅✅✅✅✅,pppppppp,input/codex/fizzbuzz_count/33.txt,[],[]
7,1837,3819,78,✅✅✅✅✅✅✅✅,pppppppp,input/codex/fizzbuzz_count/34.txt,[],[]
7,1837,3819,3298,✅✅✅✅✅✅✅✅,pppppppp,input/codex/fizzbuzz_count/35.txt,[],[]
4,11,13,50,❌❌❌❌❌❌❌❌,ffffffff,input/codex/fizzbuzz_count/36.txt,"[[""2"", ""1""], [""2"", ""1""], [""2"", ""1""], [""2"", ""1""], [""5"", ""4""], [""190"", ""169""], [""639"", ""544""], [""8040"", ""6592""]]",[]
4,11,13,78,❌❌❌❌❌❌❌❌,ffffffff,input/codex/fizzbuzz_count/37.txt,"[[""2"", ""1""], [""2"", ""1""], [""2"", ""1""], [""2"", ""1""], [""5"", ""4""], [""190"", ""169""], [""639"", ""544""], [""8040"", ""6592""]]",[]
4,11,13,3298,✅✅✅✅✅✅✅✅,pppppppp,input/codex/fizzbuzz_count/38.txt,[],[]
4,11,3819,50,✅✅✅✅✅✅✅✅,pppppppp,input/codex/fizzbuzz_count/42.txt,[],[]
4,11,3819,78,✅✅✅✅✅✅✅✅,pppppppp,input/codex/fizzbuzz_count/43.txt,[],[]
4,11,3819,3298,✅✅✅✅✅✅✅✅,pppppppp,input/codex/fizzbuzz_count/44.txt,[],[]
4,13,11,50,✅✅✅✅✅✅✅✅,pppppppp,input/codex/fizzbuzz_count/48.txt,[],[]
4,13,11,78,✅✅✅✅✅✅✅✅,pppppppp,input/codex/fizzbuzz_count/49.txt,[],[]
4,13,11,3298,✅✅✅✅✅✅✅✅,pppppppp,input/codex/fizzbuzz_count/50.txt,[],[]
4,13,3819,50,✅✅✅✅✅✅✅✅,pppppppp,input/codex/fizzbuzz_count/51.txt,[],[]
4,13,3819,78,✅✅✅✅✅✅✅✅,pppppppp,input/codex/fizzbuzz_count/52.txt,[],[]
4,13,3819,3298,✅✅✅✅✅✅✅✅,pppppppp,input/codex/fizzbuzz_count/53.txt,[],[]
4,7,13,50,✅✅✅✅✅✅✅✅,pppppppp,input/codex/fizzbuzz_count/54.txt,[],[]
4,7,13,78,✅✅✅✅✅✅✅✅,pppppppp,input/codex/fizzbuzz_count/55.txt,[],[]
4,7,13,3298,✅✅✅✅✅✅✅✅,pppppppp,input/codex/fizzbuzz_count/56.txt,[],[]
4,7,11,50,✅✅✅✅✅✅✅✅,pppppppp,input/codex/fizzbuzz_count/57.txt,[],[]
4,7,11,78,✅✅✅✅✅✅✅✅,pppppppp,input/codex/fizzbuzz_count/58.txt,[],[]
4,7,11,3298,✅✅✅✅✅✅✅✅,pppppppp,input/codex/fizzbuzz_count/59.txt,[],[]
4,7,3819,50,✅✅✅✅✅✅✅✅,pppppppp,input/codex/fizzbuzz_count/60.txt,[],[]
4,7,3819,78,✅✅✅✅✅✅✅✅,pppppppp,input/codex/fizzbuzz_count/61.txt,[],[]
4,7,3819,3298,✅✅✅✅✅✅✅✅,pppppppp,input/codex/fizzbuzz_count/62.txt,[],[]
4,1837,13,50,✅✅✅✅✅✅✅✅,pppppppp,input/codex/fizzbuzz_count/63.txt,[],[]
4,1837,13,78,✅✅✅✅✅✅✅✅,pppppppp,input/codex/fizzbuzz_count/64.txt,[],[]
4,1837,13,3298,✅✅✅✅✅✅✅✅,pppppppp,input/codex/fizzbuzz_count/65.txt,[],[]
4,1837,3819,50,✅✅✅✅✅✅✅✅,pppppppp,input/codex/fizzbuzz_count/69.txt,[],[]
4,1837,3819,78,✅✅✅✅✅✅✅✅,pppppppp,input/codex/fizzbuzz_count/70.txt,[],[]
4,1837,3819,3298,✅✅✅✅✅✅✅✅,pppppppp,input/codex/fizzbuzz_count/71.txt,[],[]
3,11,13,50,❌❌❌❌❌❌❌❌,ffffffff,input/codex/fizzbuzz_count/72.txt,"[[""4"", ""3""], [""4"", ""3""], [""4"", ""3""], [""4"", ""3""], [""7"", ""6""], [""358"", ""293""], [""651"", ""556""], [""8028"", ""6586""]]",[]
3,11,13,78,❌❌❌❌❌❌❌❌,ffffffff,input/codex/fizzbuzz_count/73.txt,"[[""4"", ""3""], [""4"", ""3""], [""4"", ""3""], [""4"", ""3""], [""7"", ""6""], [""358"", ""293""], [""651"", ""556""], [""8028"", ""6586""]]",[]
3,11,13,3298,✅✅✅✅✅✅✅✅,pppppppp,input/codex/fizzbuzz_count/74.txt,[],[]
