hash_type,transform,example_input,result_emojis,result,model_input,failed_inputs,errors
md5,none,,✅✅✅✅,pppp,input/codex/hash/0.txt,[],[]
md5,none,Hello world,✅✅✅✅,pppp,input/codex/hash/1.txt,[],[]
md5,none,Hallo welt,✅✅✅✅,pppp,input/codex/hash/2.txt,[],[]
md5,none,0,💀💀💀✅,eeep,input/codex/hash/3.txt,[],"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]"
md5,none,sha1,✅✅✅✅,pppp,input/codex/hash/4.txt,[],[]
md5,none,md5,✅✅✅✅,pppp,input/codex/hash/5.txt,[],[]
md5,uppercase,,✅✅✅✅,pppp,input/codex/hash/6.txt,[],[]
md5,uppercase,Hello world,✅✅✅✅,pppp,input/codex/hash/7.txt,[],[]
md5,uppercase,Hallo welt,✅✅✅✅,pppp,input/codex/hash/8.txt,[],[]
md5,uppercase,0,✅✅✅✅,pppp,input/codex/hash/9.txt,[],[]
md5,uppercase,sha1,✅✅✅✅,pppp,input/codex/hash/10.txt,[],[]
md5,uppercase,md5,✅✅✅✅,pppp,input/codex/hash/11.txt,[],[]
md5,dash,,✅✅✅✅,pppp,input/codex/hash/12.txt,[],[]
md5,dash,Hello world,✅✅✅✅,pppp,input/codex/hash/13.txt,[],[]
md5,dash,Hallo welt,✅✅✅✅,pppp,input/codex/hash/14.txt,[],[]
md5,dash,0,💀💀💀✅,eeep,input/codex/hash/15.txt,[],"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]"
md5,dash,sha1,✅✅✅✅,pppp,input/codex/hash/16.txt,[],[]
md5,dash,md5,✅✅✅✅,pppp,input/codex/hash/17.txt,[],[]
sha1,none,,✅✅✅✅,pppp,input/codex/hash/18.txt,[],[]
sha1,none,Hello world,💀💀💀✅,eeep,input/codex/hash/19.txt,[],"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]"
sha1,none,Hallo welt,✅✅✅✅,pppp,input/codex/hash/20.txt,[],[]
sha1,none,0,💀💀💀✅,eeep,input/codex/hash/21.txt,[],"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]"
sha1,none,sha1,💀💀💀✅,eeep,input/codex/hash/22.txt,[],"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]"
sha1,none,md5,💀💀💀✅,eeep,input/codex/hash/23.txt,[],"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]"
sha1,uppercase,,✅✅✅✅,pppp,input/codex/hash/24.txt,[],[]
