pos_ret,neg_ret,sep,case,result_emojis,result,model_input,failed_inputs,errors
True,False,an underscore,uppercase,✅✅✅✅✅✅✅✅✅✅✅✅✅✅,pppppppppppppp,input/codex/joined_seq/14.txt,[],[]
True,False,an underscore,lowercase,✅✅✅✅✅✅✅✅✅✅✅✅✅✅,pppppppppppppp,input/codex/joined_seq/15.txt,[],[]
True,False,two underscores,uppercase,✅✅✅✅✅✅✅✅✅✅✅✅✅✅,pppppppppppppp,input/codex/joined_seq/16.txt,[],[]
True,False,two underscores,lowercase,✅✅✅✅✅✅✅✅✅✅✅✅✅✅,pppppppppppppp,input/codex/joined_seq/17.txt,[],[]
True,False,six underscores,uppercase,✅❌✅❌✅✅✅✅✅✅✅✅✅✅,pfpfpppppppppp,input/codex/joined_seq/18.txt,"[[""False"", ""True""], [""False"", ""True""]]",[]
True,False,six underscores,lowercase,❌✅❌✅✅✅✅✅✅✅✅✅✅✅,fpfppppppppppp,input/codex/joined_seq/19.txt,"[[""False"", ""True""], [""False"", ""True""]]",[]
True,False,a minus,uppercase,✅✅✅✅✅✅✅✅✅✅✅✅✅✅,pppppppppppppp,input/codex/joined_seq/20.txt,[],[]
True,False,a minus,lowercase,❌❌❌❌❌❌❌❌❌❌❌❌❌❌,ffffffffffffff,input/codex/joined_seq/21.txt,"[[""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""True"", ""<re.Match object; span=(0, 9), match='aab-cbbbc'>""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""]]",[]
True,False,a plus,uppercase,✅✅✅✅✅✅✅✅✅✅✅✅✅✅,pppppppppppppp,input/codex/joined_seq/22.txt,[],[]
True,False,a plus,lowercase,❌❌❌❌❌❌❌❌❌❌❌❌❌❌,ffffffffffffff,input/codex/joined_seq/23.txt,"[[""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""True"", ""<re.Match object; span=(0, 9), match='aab+cbbbc'>""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""]]",[]
True,False,a dash,uppercase,❌❌❌❌❌❌❌❌❌❌❌❌❌❌,ffffffffffffff,input/codex/joined_seq/24.txt,"[[""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""True"", ""<re.Match object; span=(0, 8), match='AAB-CBBC'>""], [""False"", ""None""], [""False"", ""None""]]",[]
True,False,a dash,lowercase,❌❌❌❌❌❌❌❌❌❌❌❌❌❌,ffffffffffffff,input/codex/joined_seq/25.txt,"[[""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""True"", ""<re.Match object; span=(0, 9), match='aab-cbbbc'>""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""]]",[]
True,False,a question mark,uppercase,✅✅✅✅✅✅✅✅✅✅✅✅✅✅,pppppppppppppp,input/codex/joined_seq/26.txt,[],[]
True,False,a question mark,lowercase,✅✅✅✅✅✅✅✅✅✅✅✅✅✅,pppppppppppppp,input/codex/joined_seq/27.txt,[],[]
False,True,an underscore,uppercase,✅✅✅✅✅✅✅✅✅✅✅✅✅✅,pppppppppppppp,input/codex/joined_seq/28.txt,[],[]
False,True,an underscore,lowercase,✅✅✅✅✅✅✅✅✅✅✅✅✅✅,pppppppppppppp,input/codex/joined_seq/29.txt,[],[]
False,True,two underscores,uppercase,✅✅✅✅✅✅✅✅✅✅✅✅✅✅,pppppppppppppp,input/codex/joined_seq/30.txt,[],[]
False,True,two underscores,lowercase,✅✅✅✅✅✅✅✅✅✅✅✅✅✅,pppppppppppppp,input/codex/joined_seq/31.txt,[],[]
False,True,six underscores,uppercase,✅❌✅❌✅✅✅✅✅✅✅✅✅✅,pfpfpppppppppp,input/codex/joined_seq/32.txt,"[[""True"", ""False""], [""True"", ""False""]]",[]
False,True,six underscores,lowercase,✅✅✅✅❌✅✅✅✅✅✅✅✅✅,ppppfppppppppp,input/codex/joined_seq/33.txt,"[[""False"", ""True""]]",[]
False,True,a minus,uppercase,✅✅✅✅✅✅✅✅✅✅✅✅✅✅,pppppppppppppp,input/codex/joined_seq/34.txt,[],[]
False,True,a minus,lowercase,✅✅✅✅✅✅✅✅✅✅✅✅✅✅,pppppppppppppp,input/codex/joined_seq/35.txt,[],[]
False,True,a plus,uppercase,✅✅✅✅✅✅✅✅✅✅✅✅✅✅,pppppppppppppp,input/codex/joined_seq/36.txt,[],[]
False,True,a plus,lowercase,✅✅✅✅✅✅✅✅✅✅✅✅✅✅,pppppppppppppp,input/codex/joined_seq/37.txt,[],[]
False,True,a dash,uppercase,✅✅✅✅✅✅✅✅✅✅✅✅✅✅,pppppppppppppp,input/codex/joined_seq/38.txt,[],[]
False,True,a dash,lowercase,✅✅✅✅✅✅✅✅✅✅✅✅✅✅,pppppppppppppp,input/codex/joined_seq/39.txt,[],[]
False,True,a question mark,uppercase,✅✅✅✅✅✅✅✅✅✅✅✅✅✅,pppppppppppppp,input/codex/joined_seq/40.txt,[],[]
False,True,a question mark,lowercase,✅✅✅✅✅✅✅✅✅✅✅✅✅✅,pppppppppppppp,input/codex/joined_seq/41.txt,[],[]
