open,input,expected,actual,result,result_emojis,model_output,model_input
(,"[['()(', ')']]",'Yes',None,f,❌,outputs/match_parens/0/0.py,input/match_parens/0.txt
(,"[[')', ')']]",'No',None,f,❌,outputs/match_parens/0/0.py,input/match_parens/0.txt
(,"[['(()(())', '())())']]",'No',None,f,❌,outputs/match_parens/0/0.py,input/match_parens/0.txt
(,"[[')())', '(()()(']]",'Yes',None,f,❌,outputs/match_parens/0/0.py,input/match_parens/0.txt
(,"[['(())))', '(()())((']]",'Yes',None,f,❌,outputs/match_parens/0/0.py,input/match_parens/0.txt
(,"[['()', '())']]",'No',None,f,❌,outputs/match_parens/0/0.py,input/match_parens/0.txt
(,"[['(()(', '()))()']]",'Yes',None,f,❌,outputs/match_parens/0/0.py,input/match_parens/0.txt
(,"[['((((', '((())']]",'No',None,f,❌,outputs/match_parens/0/0.py,input/match_parens/0.txt
(,"[[')(()', '(()(']]",'No',None,f,❌,outputs/match_parens/0/0.py,input/match_parens/0.txt
(,"[[')(', ')(']]",'No',None,f,❌,outputs/match_parens/0/0.py,input/match_parens/0.txt
(,"[['(', ')']]",'Yes',None,f,❌,outputs/match_parens/0/0.py,input/match_parens/0.txt
(,"[[')', '(']]",'Yes',None,f,❌,outputs/match_parens/0/0.py,input/match_parens/0.txt
{,"[['{}{', '}']]",'Yes',None,f,❌,outputs/match_parens/1/0.py,input/match_parens/1.txt
{,"[['}', '}']]",'No',None,f,❌,outputs/match_parens/1/0.py,input/match_parens/1.txt
{,"[['{{}{{}}', '{}}{}}']]",'No',None,f,❌,outputs/match_parens/1/0.py,input/match_parens/1.txt
{,"[['}{}}', '{{}{}{']]",'Yes',None,f,❌,outputs/match_parens/1/0.py,input/match_parens/1.txt
{,"[['{{}}}}', '{{}{}}{{']]",'Yes',None,f,❌,outputs/match_parens/1/0.py,input/match_parens/1.txt
{,"[['{}', '{}}']]",'No',None,f,❌,outputs/match_parens/1/0.py,input/match_parens/1.txt
{,"[['{{}{', '{}}}{}']]",'Yes',None,f,❌,outputs/match_parens/1/0.py,input/match_parens/1.txt
{,"[['{{{{', '{{{}}']]",'No',None,f,❌,outputs/match_parens/1/0.py,input/match_parens/1.txt
{,"[['}{{}', '{{}{']]",'No',None,f,❌,outputs/match_parens/1/0.py,input/match_parens/1.txt
{,"[['}{', '}{']]",'No',None,f,❌,outputs/match_parens/1/0.py,input/match_parens/1.txt
{,"[['{', '}']]",'Yes',None,f,❌,outputs/match_parens/1/0.py,input/match_parens/1.txt
{,"[['}', '{']]",'Yes',None,f,❌,outputs/match_parens/1/0.py,input/match_parens/1.txt
[,"[['[][', ']']]",'Yes',None,f,❌,outputs/match_parens/2/0.py,input/match_parens/2.txt
[,"[[']', ']']]",'No',None,f,❌,outputs/match_parens/2/0.py,input/match_parens/2.txt
[,"[['[[][[]]', '[]][]]']]",'No',None,f,❌,outputs/match_parens/2/0.py,input/match_parens/2.txt
[,"[['][]]', '[[][][']]",'Yes',None,f,❌,outputs/match_parens/2/0.py,input/match_parens/2.txt
[,"[['[[]]]]', '[[][]][[']]",'Yes',None,f,❌,outputs/match_parens/2/0.py,input/match_parens/2.txt
[,"[['[]', '[]]']]",'No',None,f,❌,outputs/match_parens/2/0.py,input/match_parens/2.txt
[,"[['[[][', '[]]][]']]",'Yes',None,f,❌,outputs/match_parens/2/0.py,input/match_parens/2.txt
[,"[['[[[[', '[[[]]']]",'No',None,f,❌,outputs/match_parens/2/0.py,input/match_parens/2.txt
[,"[['][[]', '[[][']]",'No',None,f,❌,outputs/match_parens/2/0.py,input/match_parens/2.txt
[,"[['][', '][']]",'No',None,f,❌,outputs/match_parens/2/0.py,input/match_parens/2.txt
[,"[['[', ']']]",'Yes',None,f,❌,outputs/match_parens/2/0.py,input/match_parens/2.txt
[,"[[']', '[']]",'Yes',None,f,❌,outputs/match_parens/2/0.py,input/match_parens/2.txt
<,"[['<><', '>']]",'Yes',None,f,❌,outputs/match_parens/3/0.py,input/match_parens/3.txt
<,"[['>', '>']]",'No',None,f,❌,outputs/match_parens/3/0.py,input/match_parens/3.txt
<,"[['<<><<>>', '<>><>>']]",'No',None,f,❌,outputs/match_parens/3/0.py,input/match_parens/3.txt
<,"[['><>>', '<<><><']]",'Yes',None,f,❌,outputs/match_parens/3/0.py,input/match_parens/3.txt
<,"[['<<>>>>', '<<><>><<']]",'Yes',None,f,❌,outputs/match_parens/3/0.py,input/match_parens/3.txt
<,"[['<>', '<>>']]",'No',None,f,❌,outputs/match_parens/3/0.py,input/match_parens/3.txt
<,"[['<<><', '<>>><>']]",'Yes',None,f,❌,outputs/match_parens/3/0.py,input/match_parens/3.txt
<,"[['<<<<', '<<<>>']]",'No',None,f,❌,outputs/match_parens/3/0.py,input/match_parens/3.txt
<,"[['><<>', '<<><']]",'No',None,f,❌,outputs/match_parens/3/0.py,input/match_parens/3.txt
<,"[['><', '><']]",'No',None,f,❌,outputs/match_parens/3/0.py,input/match_parens/3.txt
<,"[['<', '>']]",'Yes',None,f,❌,outputs/match_parens/3/0.py,input/match_parens/3.txt
<,"[['>', '<']]",'Yes',None,f,❌,outputs/match_parens/3/0.py,input/match_parens/3.txt
