factor1,factor2,factor3,factor1_result,factor2_result,factor3_result,result_emojis,result,model_input,failed_inputs,errors
3,5,7,Pling,Plang,Plong,✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅,ppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp,input/codex/raindrops/0.txt,[],[]
3,5,7,Pling,Plang,Buzz,✅✅✅✅✅✅❌✅✅✅✅✅✅❌✅✅✅✅✅✅❌✅✅✅✅✅✅❌✅✅✅✅✅✅❌✅✅✅✅✅✅❌✅✅✅✅✅✅❌✅✅✅✅✅✅❌✅✅✅✅✅✅❌✅✅✅✅✅✅❌✅✅✅✅✅✅❌✅✅✅✅✅✅❌✅✅✅✅✅✅❌✅✅✅✅✅✅❌✅✅✅✅✅✅❌✅✅✅✅✅✅❌✅✅✅✅✅✅❌✅✅✅✅✅✅❌✅,ppppppfppppppfppppppfppppppfppppppfppppppfppppppfppppppfppppppfppppppfppppppfppppppfppppppfppppppfppppppfppppppfppppppfppppppfp,input/codex/raindrops/2.txt,"[[""'Buzz'"", ""'Plong'""], [""'Buzz'"", ""'Plong'""], [""'PlingBuzz'"", ""'PlingPlong'""], [""'Buzz'"", ""'Plong'""], [""'PlangBuzz'"", ""'PlangPlong'""], [""'PlingBuzz'"", ""'PlingPlong'""], [""'Buzz'"", ""'Plong'""], [""'Buzz'"", ""'Plong'""], [""'PlingBuzz'"", ""'PlingPlong'""], [""'PlangBuzz'"", ""'PlangPlong'""], [""'Buzz'"", ""'Plong'""], [""'PlingBuzz'"", ""'PlingPlong'""], [""'Buzz'"", ""'Plong'""], [""'Buzz'"", ""'Plong'""], [""'PlingPlangBuzz'"", ""'PlingPlangPlong'""], [""'Buzz'"", ""'Plong'""], [""'Buzz'"", ""'Plong'""], [""'PlingBuzz'"", ""'PlingPlong'""]]",[]
3,5,7,Pling,Buzz,Plong,✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅,ppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp,input/codex/raindrops/6.txt,[],[]
3,5,7,Pling,Buzz,Plang,✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅,ppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp,input/codex/raindrops/7.txt,[],[]
3,5,7,Plang,Pling,Plong,✅✅❌✅❌❌✅✅❌❌✅❌✅✅❌✅✅❌✅❌❌✅✅❌❌✅❌✅✅❌✅✅❌✅❌❌✅✅❌❌✅❌✅✅❌✅✅❌✅❌❌✅✅❌❌✅❌✅✅❌✅✅❌✅❌❌✅✅❌❌✅❌✅✅❌✅✅❌✅❌❌✅✅❌❌✅❌✅✅❌✅✅❌✅❌❌✅✅❌❌✅❌✅✅❌✅✅❌✅❌❌✅✅❌❌✅❌✅✅❌✅✅❌✅❌❌✅,ppfpffppffpfppfppfpffppffpfppfppfpffppffpfppfppfpffppffpfppfppfpffppffpfppfppfpffppffpfppfppfpffppffpfppfppfpffppffpfppfppfpffp,input/codex/raindrops/12.txt,"[[""'Plang'"", ""'Pling'""], [""'Pling'"", ""'Plang'""], [""'Plang'"", ""'Pling'""], [""'Plang'"", ""'Pling'""], [""'Pling'"", ""'Plang'""], [""'Plang'"", ""'Pling'""], [""'PlangPling'"", ""'PlingPlang'""], [""'Plang'"", ""'Pling'""], [""'Pling'"", ""'Plang'""], [""'PlangPlong'"", ""'PlingPlong'""], [""'Plang'"", ""'Pling'""], [""'Pling'"", ""'Plang'""], [""'Plang'"", ""'Pling'""], [""'PlangPling'"", ""'PlingPlang'""], [""'Plang'"", ""'Pling'""], [""'PlingPlong'"", ""'PlangPlong'""], [""'Plang'"", ""'Pling'""], [""'Plang'"", ""'Pling'""], [""'Pling'"", ""'Plang'""], [""'PlangPlong'"", ""'PlingPlong'""], [""'PlangPling'"", ""'PlingPlang'""], [""'Plang'"", ""'Pling'""], [""'Pling'"", ""'Plang'""], [""'Plang'"", ""'Pling'""], [""'Plang'"", ""'Pling'""], [""'Pling'"", ""'Plang'""], [""'Plang'"", ""'Pling'""], [""'PlangPling'"", ""'PlingPlang'""], [""'PlangPlong'"", ""'PlingPlong'""], [""'Pling'"", ""'Plang'""], [""'Plang'"", ""'Pling'""], [""'Plang'"", ""'Pling'""], [""'PlingPlong'"", ""'PlangPlong'""], [""'Plang'"", ""'Pling'""], [""'PlangPling'"", ""'PlingPlang'""], [""'Plang'"", ""'Pling'""], [""'Pling'"", ""'Plang'""], [""'Plang'"", ""'Pling'""], [""'PlangPlong'"", ""'PlingPlong'""], [""'Pling'"", ""'Plang'""], [""'Plang'"", ""'Pling'""], [""'PlangPling'"", ""'PlingPlang'""], [""'Plang'"", ""'Pling'""], [""'Pling'"", ""'Plang'""], [""'Plang'"", ""'Pling'""], [""'Plang'"", ""'Pling'""], [""'Pling'"", ""'Plang'""], [""'Plang'"", ""'Pling'""], [""'PlangPlingPlong'"", ""'PlingPlangPlong'""], [""'Plang'"", ""'Pling'""], [""'Pling'"", ""'Plang'""], [""'Plang'"", ""'Pling'""], [""'Plang'"", ""'Pling'""], [""'Pling'"", ""'Plang'""], [""'Plang'"", ""'Pling'""], [""'PlangPling'"", ""'PlingPlang'""], [""'Plang'"", ""'Pling'""], [""'Pling'"", ""'Plang'""], [""'PlangPlong'"", ""'PlingPlong'""]]",[]
3,5,7,Plang,Pling,Buzz,✅✅❌✅❌❌❌✅❌❌✅❌✅❌❌✅✅❌✅❌❌✅✅❌❌✅❌❌✅❌✅✅❌✅❌❌✅✅❌❌✅❌✅✅❌✅✅❌❌❌❌✅✅❌❌❌❌✅✅❌✅✅❌✅❌❌✅✅❌❌✅❌✅✅❌✅❌❌✅❌❌✅✅❌❌✅❌✅✅❌❌✅❌✅❌❌✅❌❌❌✅❌✅✅❌✅✅❌✅❌❌❌✅❌❌✅❌✅❌❌✅✅❌✅❌❌✅,ppfpfffpffpfpffppfpffppffpffpfppfpffppffpfppfppffffppffffppfppfpffppffpfppfpffpffppffpfppffpfpffpfffpfppfppfpfffpffpfpffppfpffp,input/codex/raindrops/14.txt,"[[""'Plang'"", ""'Pling'""], [""'Pling'"", ""'Plang'""], [""'Plang'"", ""'Pling'""], [""'Buzz'"", ""'Plong'""], [""'Plang'"", ""'Pling'""], [""'Pling'"", ""'Plang'""], [""'Plang'"", ""'Pling'""], [""'Buzz'"", ""'Plong'""], [""'PlangPling'"", ""'PlingPlang'""], [""'Plang'"", ""'Pling'""], [""'Pling'"", ""'Plang'""], [""'PlangBuzz'"", ""'PlingPlong'""], [""'Plang'"", ""'Pling'""], [""'Pling'"", ""'Plang'""], [""'Plang'"", ""'Pling'""], [""'Buzz'"", ""'Plong'""], [""'PlangPling'"", ""'PlingPlang'""], [""'Plang'"", ""'Pling'""], [""'PlingBuzz'"", ""'PlangPlong'""], [""'Plang'"", ""'Pling'""], [""'Plang'"", ""'Pling'""], [""'Pling'"", ""'Plang'""], [""'PlangBuzz'"", ""'PlingPlong'""], [""'PlangPling'"", ""'PlingPlang'""], [""'Plang'"", ""'Pling'""], [""'Buzz'"", ""'Plong'""], [""'Pling'"", ""'Plang'""], [""'Plang'"", ""'Pling'""], [""'Plang'"", ""'Pling'""], [""'Pling'"", ""'Plang'""], [""'Buzz'"", ""'Plong'""], [""'Plang'"", ""'Pling'""], [""'PlangPling'"", ""'PlingPlang'""], [""'PlangBuzz'"", ""'PlingPlong'""], [""'Pling'"", ""'Plang'""], [""'Plang'"", ""'Pling'""], [""'Plang'"", ""'Pling'""], [""'PlingBuzz'"", ""'PlangPlong'""], [""'Plang'"", ""'Pling'""], [""'PlangPling'"", ""'PlingPlang'""], [""'Buzz'"", ""'Plong'""], [""'Plang'"", ""'Pling'""], [""'Pling'"", ""'Plang'""], [""'Plang'"", ""'Pling'""], [""'PlangBuzz'"", ""'PlingPlong'""], [""'Pling'"", ""'Plang'""], [""'Plang'"", ""'Pling'""], [""'PlangPling'"", ""'PlingPlang'""], [""'Buzz'"", ""'Plong'""], [""'Plang'"", ""'Pling'""], [""'Pling'"", ""'Plang'""], [""'Plang'"", ""'Pling'""], [""'Buzz'"", ""'Plong'""], [""'Plang'"", ""'Pling'""], [""'Pling'"", ""'Plang'""], [""'Plang'"", ""'Pling'""], [""'PlangPlingBuzz'"", ""'PlingPlangPlong'""], [""'Plang'"", ""'Pling'""], [""'Pling'"", ""'Plang'""], [""'Plang'"", ""'Pling'""], [""'Buzz'"", ""'Plong'""], [""'Plang'"", ""'Pling'""], [""'Pling'"", ""'Plang'""], [""'Plang'"", ""'Pling'""], [""'Buzz'"", ""'Plong'""], [""'PlangPling'"", ""'PlingPlang'""], [""'Plang'"", ""'Pling'""], [""'Pling'"", ""'Plang'""], [""'PlangBuzz'"", ""'PlingPlong'""]]",[]
3,5,7,Plang,Buzz,Plong,✅✅❌✅❌❌✅✅❌❌✅❌✅✅❌✅✅❌✅❌❌✅✅❌❌✅❌✅✅❌✅✅❌✅❌❌✅✅❌❌✅❌✅✅❌✅✅❌✅❌❌✅✅❌❌✅❌✅✅❌✅✅❌✅❌❌✅✅❌❌✅❌✅✅❌✅✅❌✅❌❌✅✅❌❌✅❌✅✅❌✅✅❌✅❌❌✅✅❌❌✅❌✅✅❌✅✅❌✅❌❌✅✅❌❌✅❌✅✅❌✅✅❌✅❌❌✅,ppfpffppffpfppfppfpffppffpfppfppfpffppffpfppfppfpffppffpfppfppfpffppffpfppfppfpffppffpfppfppfpffppffpfppfppfpffppffpfppfppfpffp,input/codex/raindrops/15.txt,"[[""'Plang'"", ""'Pling'""], [""'Buzz'"", ""'Plang'""], [""'Plang'"", ""'Pling'""], [""'Plang'"", ""'Pling'""], [""'Buzz'"", ""'Plang'""], [""'Plang'"", ""'Pling'""], [""'PlangBuzz'"", ""'PlingPlang'""], [""'Plang'"", ""'Pling'""], [""'Buzz'"", ""'Plang'""], [""'PlangPlong'"", ""'PlingPlong'""], [""'Plang'"", ""'Pling'""], [""'Buzz'"", ""'Plang'""], [""'Plang'"", ""'Pling'""], [""'PlangBuzz'"", ""'PlingPlang'""], [""'Plang'"", ""'Pling'""], [""'BuzzPlong'"", ""'PlangPlong'""], [""'Plang'"", ""'Pling'""], [""'Plang'"", ""'Pling'""], [""'Buzz'"", ""'Plang'""], [""'PlangPlong'"", ""'PlingPlong'""], [""'PlangBuzz'"", ""'PlingPlang'""], [""'Plang'"", ""'Pling'""], [""'Buzz'"", ""'Plang'""], [""'Plang'"", ""'Pling'""], [""'Plang'"", ""'Pling'""], [""'Buzz'"", ""'Plang'""], [""'Plang'"", ""'Pling'""], [""'PlangBuzz'"", ""'PlingPlang'""], [""'PlangPlong'"", ""'PlingPlong'""], [""'Buzz'"", ""'Plang'""], [""'Plang'"", ""'Pling'""], [""'Plang'"", ""'Pling'""], [""'BuzzPlong'"", ""'PlangPlong'""], [""'Plang'"", ""'Pling'""], [""'PlangBuzz'"", ""'PlingPlang'""], [""'Plang'"", ""'Pling'""], [""'Buzz'"", ""'Plang'""], [""'Plang'"", ""'Pling'""], [""'PlangPlong'"", ""'PlingPlong'""], [""'Buzz'"", ""'Plang'""], [""'Plang'"", ""'Pling'""], [""'PlangBuzz'"", ""'PlingPlang'""], [""'Plang'"", ""'Pling'""], [""'Buzz'"", ""'Plang'""], [""'Plang'"", ""'Pling'""], [""'Plang'"", ""'Pling'""], [""'Buzz'"", ""'Plang'""], [""'Plang'"", ""'Pling'""], [""'PlangBuzzPlong'"", ""'PlingPlangPlong'""], [""'Plang'"", ""'Pling'""], [""'Buzz'"", ""'Plang'""], [""'Plang'"", ""'Pling'""], [""'Plang'"", ""'Pling'""], [""'Buzz'"", ""'Plang'""], [""'Plang'"", ""'Pling'""], [""'PlangBuzz'"", ""'PlingPlang'""], [""'Plang'"", ""'Pling'""], [""'Buzz'"", ""'Plang'""], [""'PlangPlong'"", ""'PlingPlong'""]]",[]
3,5,7,Fizz,Plang,Plong,✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅,ppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp,input/codex/raindrops/18.txt,[],[]
3,5,7,Fizz,Plang,Buzz,✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅,ppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp,input/codex/raindrops/20.txt,[],[]
3,5,7,Fizz,Pling,Plong,✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅,ppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp,input/codex/raindrops/21.txt,[],[]
