small_ret,large_ret,default_ret,small_limit,large_limit,result_emojis,result,model_input,failed_inputs,errors
small,large,,-100,-1,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/0.txt,[],[]
small,large,,-100,2,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/1.txt,[],[]
small,large,,-100,15,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/2.txt,[],[]
small,large,,-100,2000,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/3.txt,[],[]
small,large,,2,15,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/6.txt,[],[]
small,large,,2,2000,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/7.txt,[],[]
small,large,,10,15,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/10.txt,[],[]
small,large,,10,2000,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/11.txt,[],[]
small,large,,1000,2000,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/15.txt,[],[]
small,large,None,-100,-1,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/16.txt,[],[]
small,large,None,-100,2,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/17.txt,[],[]
small,large,None,-100,15,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/18.txt,[],[]
small,large,None,-100,2000,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/19.txt,[],[]
small,large,None,2,15,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/22.txt,[],[]
small,large,None,2,2000,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/23.txt,[],[]
small,large,None,10,15,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/26.txt,[],[]
small,large,None,10,2000,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/27.txt,[],[]
small,large,None,1000,2000,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/31.txt,[],[]
small,large,neither,-100,-1,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/32.txt,[],[]
small,large,neither,-100,2,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/33.txt,[],[]
small,large,neither,-100,15,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/34.txt,[],[]
small,large,neither,-100,2000,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/35.txt,[],[]
small,large,neither,2,15,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/38.txt,[],[]
small,large,neither,2,2000,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/39.txt,[],[]
small,large,neither,10,15,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/42.txt,[],[]
small,large,neither,10,2000,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/43.txt,[],[]
small,large,neither,1000,2000,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/47.txt,[],[]
