ret_index,cmp_index,cmp,func_name,result_emojis,result,model_input,failed_inputs,errors
first,first,smallest,extract_value,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/0.txt,[],[]
first,first,smallest,tuple_extract,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/1.txt,[],[]
first,first,smallest,f,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/2.txt,[],[]
first,first,smallest,some_func,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/3.txt,[],[]
first,first,smallest,fibonacci,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/4.txt,[],[]
first,first,smallest,min_max,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/5.txt,[],[]
first,first,largest,extract_value,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/6.txt,[],[]
first,first,largest,tuple_extract,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/7.txt,[],[]
first,first,largest,f,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/8.txt,[],[]
first,first,largest,some_func,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/9.txt,[],[]
first,first,largest,fibonacci,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/10.txt,[],[]
first,first,largest,min_max,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/11.txt,[],[]
first,second,smallest,extract_value,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/12.txt,[],[]
first,second,smallest,tuple_extract,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/13.txt,[],[]
first,second,smallest,f,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/14.txt,[],[]
first,second,smallest,some_func,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/15.txt,[],[]
first,second,smallest,fibonacci,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/16.txt,[],[]
first,second,smallest,min_max,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/17.txt,[],[]
first,second,largest,extract_value,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/18.txt,[],[]
first,second,largest,tuple_extract,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/19.txt,[],[]
first,second,largest,f,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/20.txt,[],[]
first,second,largest,some_func,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/21.txt,[],[]
first,second,largest,fibonacci,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/22.txt,[],[]
first,second,largest,min_max,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/23.txt,[],[]
first,third,smallest,extract_value,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/24.txt,[],[]
first,third,smallest,tuple_extract,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/25.txt,[],[]
first,third,smallest,f,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/26.txt,[],[]
first,third,smallest,some_func,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/27.txt,[],[]
first,third,smallest,fibonacci,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/28.txt,[],[]
first,third,smallest,min_max,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/29.txt,[],[]
first,third,largest,extract_value,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/30.txt,[],[]
first,third,largest,tuple_extract,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/31.txt,[],[]
first,third,largest,f,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/32.txt,[],[]
first,third,largest,some_func,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/33.txt,[],[]
first,third,largest,fibonacci,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/34.txt,[],[]
first,third,largest,min_max,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/35.txt,[],[]
first,twelfth,smallest,extract_value,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/36.txt,[],[]
first,twelfth,smallest,tuple_extract,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/37.txt,[],[]
first,twelfth,smallest,f,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/38.txt,[],[]
first,twelfth,smallest,some_func,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/39.txt,[],[]
first,twelfth,smallest,fibonacci,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/40.txt,[],[]
first,twelfth,smallest,min_max,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/41.txt,[],[]
first,twelfth,largest,extract_value,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/42.txt,[],[]
first,twelfth,largest,tuple_extract,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/43.txt,[],[]
first,twelfth,largest,f,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/44.txt,[],[]
first,twelfth,largest,some_func,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/45.txt,[],[]
first,twelfth,largest,fibonacci,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/46.txt,[],[]
first,twelfth,largest,min_max,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/47.txt,[],[]
first,eleventh,smallest,extract_value,✅❌✅❌❌❌❌❌❌,pfpffffff,input/codex/tuple_list/48.txt,"[[""71"", ""4""], [""15"", ""21""], [""90"", ""35""], [""65"", ""72""], [""71"", ""73""], [""65"", ""24""], [""21"", ""11""]]",[]
first,eleventh,smallest,tuple_extract,✅❌✅❌❌❌❌❌❌,pfpffffff,input/codex/tuple_list/49.txt,"[[""71"", ""4""], [""15"", ""21""], [""90"", ""35""], [""65"", ""72""], [""71"", ""73""], [""65"", ""24""], [""21"", ""11""]]",[]
first,eleventh,smallest,f,✅❌✅❌❌❌❌❌❌,pfpffffff,input/codex/tuple_list/50.txt,"[[""71"", ""4""], [""15"", ""21""], [""90"", ""35""], [""65"", ""72""], [""71"", ""73""], [""65"", ""24""], [""21"", ""11""]]",[]
first,eleventh,smallest,some_func,✅❌✅❌❌❌❌❌❌,pfpffffff,input/codex/tuple_list/51.txt,"[[""71"", ""4""], [""15"", ""21""], [""90"", ""35""], [""65"", ""72""], [""71"", ""73""], [""65"", ""24""], [""21"", ""11""]]",[]
first,eleventh,smallest,fibonacci,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/52.txt,[],[]
first,eleventh,smallest,min_max,✅❌✅❌❌❌❌❌❌,pfpffffff,input/codex/tuple_list/53.txt,"[[""71"", ""4""], [""15"", ""21""], [""90"", ""35""], [""65"", ""72""], [""71"", ""73""], [""65"", ""24""], [""21"", ""11""]]",[]
first,eleventh,largest,extract_value,✅❌✅❌❌❌❌❌❌,pfpffffff,input/codex/tuple_list/54.txt,"[[""4"", ""71""], [""4"", ""64""], [""35"", ""90""], [""72"", ""27""], [""88"", ""57""], [""41"", ""68""], [""79"", ""8""]]",[]
first,eleventh,largest,tuple_extract,✅❌✅❌❌❌❌❌❌,pfpffffff,input/codex/tuple_list/55.txt,"[[""4"", ""71""], [""4"", ""64""], [""35"", ""90""], [""72"", ""27""], [""88"", ""57""], [""41"", ""68""], [""79"", ""8""]]",[]
first,eleventh,largest,f,✅❌✅❌❌❌❌❌❌,pfpffffff,input/codex/tuple_list/56.txt,"[[""4"", ""71""], [""4"", ""64""], [""35"", ""90""], [""72"", ""27""], [""88"", ""57""], [""41"", ""68""], [""79"", ""8""]]",[]
first,eleventh,largest,some_func,✅❌✅❌❌❌❌❌❌,pfpffffff,input/codex/tuple_list/57.txt,"[[""4"", ""71""], [""4"", ""64""], [""35"", ""90""], [""72"", ""27""], [""88"", ""57""], [""41"", ""68""], [""79"", ""8""]]",[]
first,eleventh,largest,fibonacci,✅❌✅❌❌❌❌❌❌,pfpffffff,input/codex/tuple_list/58.txt,"[[""4"", ""71""], [""4"", ""64""], [""35"", ""90""], [""72"", ""27""], [""88"", ""57""], [""41"", ""68""], [""79"", ""8""]]",[]
first,eleventh,largest,min_max,✅❌✅❌❌❌❌❌❌,pfpffffff,input/codex/tuple_list/59.txt,"[[""4"", ""71""], [""4"", ""64""], [""35"", ""90""], [""72"", ""27""], [""88"", ""57""], [""41"", ""68""], [""79"", ""8""]]",[]
first,last,smallest,extract_value,✅❌✅❌✅✅❌✅✅,pfpfppfpp,input/codex/tuple_list/60.txt,"[[""4"", ""71""], [""21"", ""4""], [""73"", ""71""]]",[]
first,last,smallest,tuple_extract,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/61.txt,[],[]
first,last,smallest,f,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/62.txt,[],[]
first,last,smallest,some_func,✅❌✅❌✅✅❌✅✅,pfpfppfpp,input/codex/tuple_list/63.txt,"[[""4"", ""71""], [""21"", ""4""], [""73"", ""71""]]",[]
first,last,smallest,fibonacci,✅❌✅❌✅✅❌✅✅,pfpfppfpp,input/codex/tuple_list/64.txt,"[[""4"", ""71""], [""21"", ""4""], [""73"", ""71""]]",[]
first,last,smallest,min_max,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/65.txt,[],[]
first,last,largest,extract_value,✅❌✅✅❌❌❌❌❌,pfppfffff,input/codex/tuple_list/66.txt,"[[""71"", ""4""], [""90"", ""81""], [""27"", ""65""], [""57"", ""10""], [""68"", ""41""], [""8"", ""39""]]",[]
first,last,largest,tuple_extract,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/67.txt,[],[]
first,last,largest,f,✅❌✅✅❌❌❌❌❌,pfppfffff,input/codex/tuple_list/68.txt,"[[""71"", ""4""], [""90"", ""81""], [""27"", ""65""], [""57"", ""10""], [""68"", ""41""], [""8"", ""39""]]",[]
first,last,largest,some_func,✅❌✅✅❌❌❌❌❌,pfppfffff,input/codex/tuple_list/69.txt,"[[""71"", ""4""], [""90"", ""81""], [""27"", ""65""], [""57"", ""10""], [""68"", ""41""], [""8"", ""39""]]",[]
first,last,largest,fibonacci,✅❌✅✅❌❌❌❌❌,pfppfffff,input/codex/tuple_list/70.txt,"[[""71"", ""4""], [""90"", ""81""], [""27"", ""65""], [""57"", ""10""], [""68"", ""41""], [""8"", ""39""]]",[]
first,last,largest,min_max,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/71.txt,[],[]
second,first,smallest,extract_value,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/72.txt,[],[]
second,first,smallest,tuple_extract,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/73.txt,[],[]
second,first,smallest,f,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/74.txt,[],[]
second,first,smallest,some_func,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/75.txt,[],[]
second,first,smallest,fibonacci,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/76.txt,[],[]
second,first,smallest,min_max,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/77.txt,[],[]
second,first,largest,extract_value,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/78.txt,[],[]
second,first,largest,tuple_extract,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/79.txt,[],[]
second,first,largest,f,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/80.txt,[],[]
second,first,largest,some_func,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/81.txt,[],[]
second,first,largest,fibonacci,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/82.txt,[],[]
second,first,largest,min_max,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/83.txt,[],[]
second,second,smallest,extract_value,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/84.txt,[],[]
second,second,smallest,tuple_extract,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/85.txt,[],[]
second,second,smallest,f,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/86.txt,[],[]
second,second,smallest,some_func,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/87.txt,[],[]
second,second,smallest,fibonacci,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/88.txt,[],[]
second,second,smallest,min_max,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/89.txt,[],[]
second,second,largest,extract_value,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/90.txt,[],[]
second,second,largest,tuple_extract,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/91.txt,[],[]
second,second,largest,f,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/92.txt,[],[]
second,second,largest,some_func,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/93.txt,[],[]
second,second,largest,fibonacci,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/94.txt,[],[]
second,second,largest,min_max,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/95.txt,[],[]
