var,val,success_rate
input,"[1, 1]",0.9
count,1,0.9285714285714286
input,"[0, 536870911]",0.95
count,29,0.9642857142857143
word_count,True,0.9857142857142858
word_count,False,0.9928571428571429
count,0,1.0
input,"[0, 1]",1.0
input,"[0, 3]",1.0
input,"[0, 7]",1.0
input,"[0, 31]",1.0
input,"[0, 2047]",1.0
input,"[0, 32767]",1.0
input,"[1, 3]",1.0
input,"[2, 7]",1.0
input,"[21, 31]",1.0
input,"[341, 2047]",1.0
input,"[21877, 32767]",1.0
input,"[262143, 536870911]",1.0
count,2,1.0
count,3,1.0
count,4,1.0
count,5,1.0
count,6,1.0
count,11,1.0
count,15,1.0
