var,val,success_rate
double_class,consonant (lower-case or upper-case),0.7142857142857143
double_class,letter,0.8095238095238095
triple_class,consonant (lower-case or upper-case),0.8214285714285714
triple_class,question mark,0.8571428571428571
triple_class,exclamation point,0.8979591836734694
double_class,exclamation point,0.8979591836734694
triple_class,number,1.0
double_class,number,1.0
triple_class,letter,1.0
triple_class,upper-case letter,1.0
triple_class,lower-case letter,1.0
triple_class,vowel (lower-case or upper-case),1.0
double_class,upper-case letter,1.0
double_class,lower-case letter,1.0
double_class,question mark,1.0
double_class,vowel (lower-case or upper-case),1.0
