var,val,success_rate
factor2,11,0.796875
factor3,13,0.8090277777777778
digit,7,0.8194444444444444
example_input,50,0.8194444444444444
factor2,7,0.8333333333333334
example_input,78,0.8506944444444444
digit,3,0.8518518518518519
input,200,0.8796296296296297
input,4000,0.8796296296296297
input,10000,0.8796296296296297
input,100000,0.8796296296296297
input,78,0.8981481481481481
input,79,0.8981481481481481
input,100,0.8981481481481481
input,50,0.9074074074074074
factor3,11,0.9166666666666666
digit,4,0.9259259259259259
factor3,3819,0.9375
factor2,13,0.9583333333333334
digit,1,0.9629629629629629
example_input,3298,1.0
factor2,1837,1.0
