var,val,success_rate
factors,"[3, 5]",0.5
factors,"[5, 3, 2]",0.5
agg,product,0.6530612244897959
factors,"[5, 3]",0.6904761904761905
example_below,10,0.7244897959183674
below,600,0.7619047619047619
below,100,0.7857142857142857
below,197,0.7857142857142857
below,124,0.8095238095238095
below,500,0.8095238095238095
below,1000,0.8095238095238095
example_below,5,0.8095238095238095
below,200,0.8571428571428571
example_below,15,0.8660714285714286
factors,"[2, 3, 5]",0.9285714285714286
agg,sum,0.9523809523809523
factors,"[2, 5]",1.0
factors,"[5, 7, 9]",1.0
factors,"[2, 9]",1.0
factors,"[13, 17]",1.0
