var,val,success_rate
factor1_result,Plang,0.7800899887514061
factor2,3,0.7986501687289089
factor3,5,0.8408323959505062
factor1,13,0.8536075847661899
factor3_result,Plong,0.8713642937489957
factor2_result,Buzz,0.8725534308211473
factor1,3,0.8765466816647919
factor3_result,Buzz,0.8824521934758155
factor1_result,Pling,0.8831552305961755
factor2_result,Plang,0.8879358830146231
factor3,7,0.8881568375381649
factor2_result,Pling,0.8921259842519685
factor3_result,Plang,0.9152605924259467
factor2,5,0.9277840269966254
factor1_result,Fizz,0.9288928169693074
factor3,11,0.9315710536182977
factor2,11,0.9357424071991001
factor1,11,0.9645669291338582
