var,val,success_rate
small_limit,10,0.8273809523809523
large_ret,house,0.8503086419753086
small_ret,large,0.8865740740740741
small_ret,small,0.8888888888888888
large_limit,15,0.9007936507936508
large_limit,2000,0.9122023809523809
small_limit,1000,0.9166666666666666
default_ret,None,0.9196428571428571
default_ret,neither,0.9345238095238095
small_limit,2,0.9375
large_ret,small,0.9652777777777778
small_limit,-100,0.96875
small_ret,mouse,0.9737654320987654
large_limit,2,0.9821428571428571
large_limit,-1,0.9880952380952381
large_ret,large,0.9953703703703703
