var,val,success_rate
ret_index,eleventh,0.2638888888888889
ret_index,twelfth,0.3055555555555556
cmp_index,eleventh,0.39351851851851855
cmp_index,first,0.4722222222222222
func_name,extract_value,0.5385802469135802
func_name,fibonacci,0.5447530864197531
cmp,largest,0.5555555555555556
input,"[[(13, 60, 89, 98, 11, 8, 19, 67, 82, 74, 69, 3), (70, 73, 64, 31, 96, 69, 3, 67, 37, 15, 10, 6), (59, 92, 17, 14, 34, 55, 41, 97, 67, 92, 18, 29), (70, 38, 36, 45, 63, 3, 23, 22, 33, 12, 40, 76), (34, 23, 82, 38, 55, 76, 56, 45, 92, 66, 62, 98), (50, 40, 34, 22, 13, 39, 87, 41, 55, 2, 56, 80), (10, 59, 91, 15, 2, 56, 56, 48, 48, 10, 14, 25), (79, 30, 44, 82, 72, 98, 80, 22, 60, 7, 74, 31)]]",0.5601851851851852
input,"[[(11, 88, 36, 39, 41, 7, 64, 19, 21, 59, 71, 24), (0, 84, 92, 98, 0, 54, 41, 24, 50, 40, 80, 43), (86, 35, 26, 81, 30, 50, 81, 47, 51, 30, 12, 40), (24, 87, 87, 32, 83, 38, 61, 18, 27, 14, 16, 33), (24, 3, 24, 89, 38, 52, 82, 21, 40, 48, 13, 81), (91, 59, 31, 19, 42, 92, 93, 96, 56, 35, 18, 11), (73, 78, 59, 69, 57, 25, 84, 31, 75, 56, 76, 87), (66, 66, 8, 52, 39, 80, 94, 57, 14, 37, 0, 23), (12, 45, 77, 90, 98, 62, 14, 16, 88, 29, 59, 60)]]",0.5601851851851852
func_name,tuple_extract,0.5601851851851852
input,"[[(10, 69, 51, 59, 77, 84, 43, 2, 80, 59, 56, 26), (62, 100, 55, 95, 29, 22, 44, 84, 48, 55, 41, 15), (55, 6, 72, 13, 53, 75, 37, 15, 13, 64, 56, 59), (83, 43, 21, 84, 11, 44, 48, 14, 71, 55, 90, 7), (66, 59, 86, 58, 34, 77, 5, 16, 20, 67, 65, 15)]]",0.5625
cmp_index,last,0.5709876543209876
input,"[[(3, 42, 63, 7, 86, 0, 92, 99, 79, 14, 71, 94), (68, 96, 72, 28, 39, 97, 92, 73, 31, 18, 58, 74), (85, 84, 17, 42, 0, 2, 86, 97, 69, 81, 16, 45), (19, 19, 29, 42, 75, 8, 24, 91, 90, 23, 85, 6)]]",0.5717592592592593
input,"[[(32, 84, 13, 40, 47, 8, 38, 8, 77, 93, 16, 14), (3, 15, 6, 25, 91, 1, 84, 41, 43, 76, 0, 92), (25, 42, 92, 37, 93, 38, 48, 5, 32, 5, 80, 47), (7, 69, 42, 89, 16, 32, 59, 88, 77, 87, 89, 65), (99, 53, 7, 65, 63, 27, 10, 20, 24, 9, 17, 13), (97, 12, 27, 90, 2, 76, 75, 0, 74, 97, 93, 6)]]",0.5717592592592593
input,"[[(11, 94, 41, 78, 18, 30, 20, 91, 66, 42, 63, 33), (31, 70, 31, 57, 19, 18, 67, 50, 82, 44, 21, 95)]]",0.5763888888888888
input,"[[(43, 54, 78, 55, 90, 98, 93, 9, 32, 72, 39, 76), (80, 0, 13, 79, 16, 58, 1, 76, 60, 9, 92, 50), (55, 78, 40, 51, 90, 45, 84, 98, 71, 36, 0, 65)]]",0.5763888888888888
ret_index,last,0.5833333333333334
cmp_index,second,0.5879629629629629
func_name,some_func,0.5941358024691358
input,"[[(92, 87, 39, 38, 67, 84, 92, 57, 3, 1, 50, 53), (1, 4, 46, 17, 95, 90, 41, 39, 65, 29, 80, 70), (68, 5, 79, 45, 57, 94, 56, 11, 90, 93, 28, 4), (38, 63, 3, 67, 80, 66, 17, 84, 81, 54, 36, 38), (54, 85, 79, 26, 25, 43, 84, 95, 72, 39, 62, 78), (46, 44, 29, 43, 57, 26, 4, 71, 40, 80, 57, 27), (56, 10, 19, 13, 98, 24, 36, 15, 47, 38, 59, 31)]]",0.5972222222222222
cmp,smallest,0.6100823045267489
func_name,f,0.6188271604938271
func_name,min_max,0.6404320987654321
input,"[[(32, 41, 66, 77, 18, 13, 67, 16, 86, 99, 40, 82)]]",0.6689814814814815
cmp_index,third,0.6805555555555556
ret_index,first,0.7237654320987654
ret_index,third,0.7885802469135802
cmp_index,twelfth,0.7916666666666666
ret_index,second,0.8317901234567902
