type,example_input,input,result,result_emojis,model_output,model_input,expected,actual
string,"['a', 3.14, 5]","[[4, {}, [], 23.2, 9, 'adasd']]",p,✅,outputs/tlh/filter_types/0/0.py,input/tlh/filter_types/0.txt,,
string,"['a', 3.14, 5]","[[3, 'c', 3, 3, 'a', 'b']]",p,✅,outputs/tlh/filter_types/0/0.py,input/tlh/filter_types/0.txt,,
string,"[1, 2, 3, 3.6, 'abc', {}, [], (1,)]","[[4, {}, [], 23.2, 9, 'adasd']]",p,✅,outputs/tlh/filter_types/1/0.py,input/tlh/filter_types/1.txt,,
string,"[1, 2, 3, 3.6, 'abc', {}, [], (1,)]","[[3, 'c', 3, 3, 'a', 'b']]",p,✅,outputs/tlh/filter_types/1/0.py,input/tlh/filter_types/1.txt,,
integer,"['a', 3.14, 5]","[[4, {}, [], 23.2, 9, 'adasd']]",e,💀,outputs/tlh/filter_types/2/0.py,input/tlh/filter_types/2.txt,,
integer,"['a', 3.14, 5]","[[3, 'c', 3, 3, 'a', 'b']]",e,💀,outputs/tlh/filter_types/2/0.py,input/tlh/filter_types/2.txt,,
integer,"[1, 2, 3, 3.6, 'abc', {}, [], (1,)]","[[4, {}, [], 23.2, 9, 'adasd']]",p,✅,outputs/tlh/filter_types/3/0.py,input/tlh/filter_types/3.txt,,
integer,"[1, 2, 3, 3.6, 'abc', {}, [], (1,)]","[[3, 'c', 3, 3, 'a', 'b']]",p,✅,outputs/tlh/filter_types/3/0.py,input/tlh/filter_types/3.txt,,
float,"['a', 3.14, 5]","[[4, {}, [], 23.2, 9, 'adasd']]",p,✅,outputs/tlh/filter_types/4/0.py,input/tlh/filter_types/4.txt,,
float,"['a', 3.14, 5]","[[3, 'c', 3, 3, 'a', 'b']]",p,✅,outputs/tlh/filter_types/4/0.py,input/tlh/filter_types/4.txt,,
float,"[1, 2, 3, 3.6, 'abc', {}, [], (1,)]","[[4, {}, [], 23.2, 9, 'adasd']]",f,❌,outputs/tlh/filter_types/5/0.py,input/tlh/filter_types/5.txt,[23.2],"[4.0, 23.2, 9.0]"
float,"[1, 2, 3, 3.6, 'abc', {}, [], (1,)]","[[3, 'c', 3, 3, 'a', 'b']]",f,❌,outputs/tlh/filter_types/5/0.py,input/tlh/filter_types/5.txt,[],"[3.0, 3.0, 3.0]"
dictionary,"['a', 3.14, 5]","[[4, {}, [], 23.2, 9, 'adasd']]",f,❌,outputs/tlh/filter_types/6/0.py,input/tlh/filter_types/6.txt,[{}],[]
dictionary,"['a', 3.14, 5]","[[3, 'c', 3, 3, 'a', 'b']]",p,✅,outputs/tlh/filter_types/6/0.py,input/tlh/filter_types/6.txt,,
dictionary,"[1, 2, 3, 3.6, 'abc', {}, [], (1,)]","[[4, {}, [], 23.2, 9, 'adasd']]",p,✅,outputs/tlh/filter_types/7/0.py,input/tlh/filter_types/7.txt,,
dictionary,"[1, 2, 3, 3.6, 'abc', {}, [], (1,)]","[[3, 'c', 3, 3, 'a', 'b']]",f,❌,outputs/tlh/filter_types/7/0.py,input/tlh/filter_types/7.txt,[],[{}]
list,"['a', 3.14, 5]","[[4, {}, [], 23.2, 9, 'adasd']]",f,❌,outputs/tlh/filter_types/8/0.py,input/tlh/filter_types/8.txt,[[]],[]
list,"['a', 3.14, 5]","[[3, 'c', 3, 3, 'a', 'b']]",p,✅,outputs/tlh/filter_types/8/0.py,input/tlh/filter_types/8.txt,,
list,"[1, 2, 3, 3.6, 'abc', {}, [], (1,)]","[[4, {}, [], 23.2, 9, 'adasd']]",p,✅,outputs/tlh/filter_types/9/0.py,input/tlh/filter_types/9.txt,,
list,"[1, 2, 3, 3.6, 'abc', {}, [], (1,)]","[[3, 'c', 3, 3, 'a', 'b']]",f,❌,outputs/tlh/filter_types/9/0.py,input/tlh/filter_types/9.txt,[],[[]]
tuple,"['a', 3.14, 5]","[[4, {}, [], 23.2, 9, 'adasd']]",p,✅,outputs/tlh/filter_types/10/0.py,input/tlh/filter_types/10.txt,,
tuple,"['a', 3.14, 5]","[[3, 'c', 3, 3, 'a', 'b']]",p,✅,outputs/tlh/filter_types/10/0.py,input/tlh/filter_types/10.txt,,
tuple,"[1, 2, 3, 3.6, 'abc', {}, [], (1,)]","[[4, {}, [], 23.2, 9, 'adasd']]",f,❌,outputs/tlh/filter_types/11/0.py,input/tlh/filter_types/11.txt,[],"[(4,), (9,)]"
tuple,"[1, 2, 3, 3.6, 'abc', {}, [], (1,)]","[[3, 'c', 3, 3, 'a', 'b']]",f,❌,outputs/tlh/filter_types/11/0.py,input/tlh/filter_types/11.txt,[],"[(3,), (3,), (3,)]"
