hash_type,transform,example_input,input,result,result_emojis,model_output,model_input
md5,none,,Hello world,p,✅,outputs/de/hash/0/0.py,input/de/hash/0.txt
md5,none,,A B C,p,✅,outputs/de/hash/0/0.py,input/de/hash/0.txt
md5,none,,password,p,✅,outputs/de/hash/0/0.py,input/de/hash/0.txt
md5,none,,,p,✅,outputs/de/hash/0/0.py,input/de/hash/0.txt
md5,none,Hello world,Hello world,p,✅,outputs/de/hash/1/0.py,input/de/hash/1.txt
md5,none,Hello world,A B C,p,✅,outputs/de/hash/1/0.py,input/de/hash/1.txt
md5,none,Hello world,password,p,✅,outputs/de/hash/1/0.py,input/de/hash/1.txt
md5,none,Hello world,,p,✅,outputs/de/hash/1/0.py,input/de/hash/1.txt
md5,none,Hallo welt,Hello world,p,✅,outputs/de/hash/2/0.py,input/de/hash/2.txt
md5,none,Hallo welt,A B C,p,✅,outputs/de/hash/2/0.py,input/de/hash/2.txt
md5,none,Hallo welt,password,p,✅,outputs/de/hash/2/0.py,input/de/hash/2.txt
md5,none,Hallo welt,,p,✅,outputs/de/hash/2/0.py,input/de/hash/2.txt
md5,none,0,Hello world,p,✅,outputs/de/hash/3/0.py,input/de/hash/3.txt
md5,none,0,A B C,p,✅,outputs/de/hash/3/0.py,input/de/hash/3.txt
md5,none,0,password,p,✅,outputs/de/hash/3/0.py,input/de/hash/3.txt
md5,none,0,,p,✅,outputs/de/hash/3/0.py,input/de/hash/3.txt
md5,none,sha1,Hello world,p,✅,outputs/de/hash/4/0.py,input/de/hash/4.txt
md5,none,sha1,A B C,p,✅,outputs/de/hash/4/0.py,input/de/hash/4.txt
md5,none,sha1,password,p,✅,outputs/de/hash/4/0.py,input/de/hash/4.txt
md5,none,sha1,,p,✅,outputs/de/hash/4/0.py,input/de/hash/4.txt
md5,none,md5,Hello world,p,✅,outputs/de/hash/5/0.py,input/de/hash/5.txt
md5,none,md5,A B C,p,✅,outputs/de/hash/5/0.py,input/de/hash/5.txt
md5,none,md5,password,p,✅,outputs/de/hash/5/0.py,input/de/hash/5.txt
md5,none,md5,,p,✅,outputs/de/hash/5/0.py,input/de/hash/5.txt
md5,uppercase,,Hello world,p,✅,outputs/de/hash/6/0.py,input/de/hash/6.txt
md5,uppercase,,A B C,p,✅,outputs/de/hash/6/0.py,input/de/hash/6.txt
md5,uppercase,,password,p,✅,outputs/de/hash/6/0.py,input/de/hash/6.txt
md5,uppercase,,,p,✅,outputs/de/hash/6/0.py,input/de/hash/6.txt
md5,uppercase,Hello world,Hello world,p,✅,outputs/de/hash/7/0.py,input/de/hash/7.txt
md5,uppercase,Hello world,A B C,p,✅,outputs/de/hash/7/0.py,input/de/hash/7.txt
md5,uppercase,Hello world,password,p,✅,outputs/de/hash/7/0.py,input/de/hash/7.txt
md5,uppercase,Hello world,,p,✅,outputs/de/hash/7/0.py,input/de/hash/7.txt
md5,uppercase,Hallo welt,Hello world,p,✅,outputs/de/hash/8/0.py,input/de/hash/8.txt
md5,uppercase,Hallo welt,A B C,p,✅,outputs/de/hash/8/0.py,input/de/hash/8.txt
md5,uppercase,Hallo welt,password,p,✅,outputs/de/hash/8/0.py,input/de/hash/8.txt
