count,word_count,result_emojis,result,model_input,failed_inputs,errors
0,True,💀💀💀💀💀💀💀💀💀💀💀💀💀💀,eeeeeeeeeeeeee,input/incoder/bitdiff/0.txt,[],"[""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output""]"
0,False,✅✅✅✅✅✅✅✅✅✅✅✅✅✅,pppppppppppppp,input/incoder/bitdiff/1.txt,[],[]
1,True,✅❌❌❌❌❌❌✅❌❌❌❌❌❌,pffffffpffffff,input/incoder/bitdiff/2.txt,"[[""False"", ""3""], [""False"", ""7""], [""False"", ""31""], [""False"", ""2047""], [""False"", ""32767""], [""False"", ""536870911""], [""True"", ""2""], [""False"", ""5""], [""False"", ""10""], [""False"", ""1706""], [""False"", ""10890""], [""False"", ""536608768""]]",[]
1,False,✅❌❌❌❌❌❌✅✅❌❌❌❌❌,pffffffppfffff,input/incoder/bitdiff/3.txt,"[[""False"", ""2""], [""False"", ""3""], [""False"", ""5""], [""False"", ""11""], [""False"", ""15""], [""False"", ""29""], [""False"", ""2""], [""False"", ""2""], [""False"", ""6""], [""False"", ""6""], [""False"", ""11""]]",[]
2,True,❌❌❌❌❌❌❌✅❌❌❌❌❌❌,fffffffpffffff,input/incoder/bitdiff/4.txt,"[[""False"", ""1""], [""True"", ""2""], [""False"", ""3""], [""False"", ""5""], [""False"", ""11""], [""False"", ""15""], [""False"", ""29""], [""False"", ""1""], [""True"", ""2""], [""True"", ""2""], [""False"", ""6""], [""False"", ""6""], [""False"", ""11""]]",[]
2,False,❌❌❌❌❌❌❌✅❌❌❌❌❌❌,fffffffpffffff,input/incoder/bitdiff/5.txt,"[[""False"", ""1""], [""True"", ""2""], [""False"", ""3""], [""False"", ""5""], [""False"", ""11""], [""False"", ""15""], [""False"", ""29""], [""False"", ""1""], [""True"", ""2""], [""True"", ""2""], [""False"", ""6""], [""False"", ""6""], [""False"", ""11""]]",[]
3,True,✅✅✅❌❌❌❌✅✅✅✅✅✅✅,pppffffppppppp,input/incoder/bitdiff/6.txt,"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""]]",[]
3,False,✅✅❌✅✅✅✅✅✅✅✅✅✅✅,ppfppppppppppp,input/incoder/bitdiff/7.txt,"[[""True"", ""False""]]",[]
4,True,✅✅✅✅✅✅✅✅✅✅✅✅✅✅,pppppppppppppp,input/incoder/bitdiff/8.txt,[],[]
4,False,✅✅✅✅✅✅✅✅✅✅✅✅✅✅,pppppppppppppp,input/incoder/bitdiff/9.txt,[],[]
5,True,✅✅✅❌✅✅✅✅✅✅✅✅✅✅,pppfpppppppppp,input/incoder/bitdiff/10.txt,"[[""True"", ""False""]]",[]
5,False,✅✅✅❌✅✅✅✅✅✅✅✅✅✅,pppfpppppppppp,input/incoder/bitdiff/11.txt,"[[""True"", ""False""]]",[]
6,True,✅✅✅✅✅✅✅✅✅✅✅❌❌❌,pppppppppppfff,input/incoder/bitdiff/12.txt,"[[""True"", ""False""], [""True"", ""False""], [""False"", ""True""]]",[]
6,False,✅✅✅✅✅✅✅✅✅✅✅❌❌✅,pppppppppppffp,input/incoder/bitdiff/13.txt,"[[""True"", ""False""], [""True"", ""False""]]",[]
11,True,❌❌❌❌❌❌❌❌❌❌❌❌❌❌,ffffffffffffff,input/incoder/bitdiff/14.txt,"[[""False"", ""'0b1'""], [""False"", ""'0b11'""], [""False"", ""'0b111'""], [""False"", ""'0b11111'""], [""True"", ""'11111111111'""], [""False"", ""'11111111111'""], [""False"", ""'11111111111'""], [""False"", ""'0b0'""], [""False"", ""'0b10'""], [""False"", ""'0b101'""], [""False"", ""'0b1010'""], [""False"", ""'11010101010'""], [""False"", ""'01010001010'""], [""True"", ""'00000000000'""]]",[]
11,False,✅✅✅✅❌✅✅✅✅✅✅✅✅❌,ppppfppppppppf,input/incoder/bitdiff/15.txt,"[[""True"", ""False""], [""True"", ""False""]]",[]
15,True,✅✅✅✅✅❌✅✅❌❌❌❌❌❌,pppppfppffffff,input/incoder/bitdiff/16.txt,"[[""True"", ""False""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""]]",[]
15,False,❌❌❌✅✅❌✅✅❌❌✅✅✅❌,fffppfppffpppf,input/incoder/bitdiff/17.txt,"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""True"", ""False""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""]]",[]
29,True,✅✅✅✅✅✅❌✅✅✅✅✅✅✅,ppppppfppppppp,input/incoder/bitdiff/18.txt,"[[""True"", ""False""]]",[]
29,False,✅✅✅✅✅✅❌✅✅✅✅✅✅✅,ppppppfppppppp,input/incoder/bitdiff/19.txt,"[[""True"", ""False""]]",[]
