offset_char,mod,result_emojis,result,model_input,failed_inputs,errors
the space character,64,✅✅✅,ppp,input/incoder/checksum/0.txt,[],[]
the space character,128,✅✅✅,ppp,input/incoder/checksum/1.txt,[],[]
the space character,256,✅✅✅,ppp,input/incoder/checksum/2.txt,[],[]
the newline character,64,✅✅✅,ppp,input/incoder/checksum/3.txt,[],[]
the newline character,128,❌❌❌,fff,input/incoder/checksum/4.txt,"[[""' '"", ""'\\x96'""], [""'0'"", ""'\u00a6'""], [""'x'"", ""'\u00ee'""]]",[]
the newline character,256,✅✅✅,ppp,input/incoder/checksum/5.txt,[],[]
uppercase X,64,❌❌❌,fff,input/incoder/checksum/6.txt,"[[""'n'"", ""'V'""], [""'~'"", ""'f'""], [""'\\x86'"", ""'n'""]]",[]
uppercase X,128,❌❌❌,fff,input/incoder/checksum/7.txt,"[[""'n'"", ""'V'""], [""'~'"", ""'f'""], [""'\u00c6'"", ""'\u00ae'""]]",[]
uppercase X,256,❌❌❌,fff,input/incoder/checksum/8.txt,"[[""'\u00ee'"", ""None""], [""'~'"", ""None""], [""'\u0146'"", ""None""]]",[]
lowercase u,64,✅✅✅,ppp,input/incoder/checksum/9.txt,[],[]
lowercase u,128,❌❌❌,fff,input/incoder/checksum/10.txt,"[[""'\\x8b'"", ""'\\x16'""], [""'\\x9b'"", ""'&'""], [""'\u00e3'"", ""'n'""]]",[]
lowercase u,256,❌✅❌,fpf,input/incoder/checksum/11.txt,"[[""'\u010b'"", ""'\\x0b'""], [""'\u0163'"", ""'c'""]]",[]
an exclamation mark,64,❌❌❌,fff,input/incoder/checksum/12.txt,"[[""'7'"", ""'U'""], [""'G'"", ""'e'""], [""'O'"", ""'m'""]]",[]
an exclamation mark,128,❌❌❌,fff,input/incoder/checksum/13.txt,"[[""'7'"", ""'\\x16'""], [""'G'"", ""'&'""], [""'\\x8f'"", ""'n'""]]",[]
an exclamation mark,256,✅✅❌,ppf,input/incoder/checksum/14.txt,"[[""'\u010f'"", ""'\\x0f'""]]",[]
a question mark,64,❌❌❌,fff,input/incoder/checksum/15.txt,"[[""'U'"", ""'V'""], [""'e'"", ""'f'""], [""'m'"", ""'n'""]]",[]
a question mark,128,❌❌❌,fff,input/incoder/checksum/16.txt,"[[""'U'"", ""'\\x16'""], [""'e'"", ""'&'""], [""'\\xad'"", ""'n'""]]",[]
a question mark,256,✅✅✅,ppp,input/incoder/checksum/17.txt,[],[]
