double_class,triple_class,result_emojis,result,model_input,failed_inputs,errors
letter,number,✅✅✅✅✅✅✅,ppppppp,input/incoder/double_letters/1.txt,[],[]
letter,exclamation point,❌❌❌❌❌✅❌,fffffpf,input/incoder/double_letters/4.txt,"[[""'aaaaaaAABB1!!!1kkff!!!kkdd3?ff3ffkk?llkk3'"", ""'aaaaaaAABB11!!11kkff!!kkdd33??ff33ffkk??llkk33'""], [""'???!!!!!!!!!!!!AABBCCddeeffgg1234aaaaaaeeee'"", ""'??????!!!!!!!!AABBCCddeeffgg11223344aaaaaaeeee'""], [""'AA?'"", ""'AA??'""], [""'?'"", ""'??'""], [""'!!!!!!!!!!!!!!!'"", ""'!!!!!!!!!!'""], [""'1AA2BB3CC!!!'"", ""'11AA22BB33CC!!'""]]",[]
letter,question mark,💀💀💀💀💀💀💀,eeeeeee,input/incoder/double_letters/5.txt,[],"[""'str' object has no attribute 'ascii_lowercase'"", ""'str' object has no attribute 'ascii_lowercase'"", ""'str' object has no attribute 'ascii_lowercase'"", ""'str' object has no attribute 'ascii_lowercase'"", ""'str' object has no attribute 'ascii_lowercase'"", ""'str' object has no attribute 'ascii_lowercase'"", ""'str' object has no attribute 'ascii_lowercase'""]"
number,letter,💀💀💀💀💀💀💀,eeeeeee,input/incoder/double_letters/8.txt,[],"[""name 're' is not defined"", ""name 're' is not defined"", ""name 're' is not defined"", ""name 're' is not defined"", ""name 're' is not defined"", ""name 're' is not defined"", ""name 're' is not defined""]"
number,upper-case letter,💀💀💀💀💀💀💀,eeeeeee,input/incoder/double_letters/10.txt,[],"[""name 're' is not defined"", ""name 're' is not defined"", ""name 're' is not defined"", ""name 're' is not defined"", ""name 're' is not defined"", ""name 're' is not defined"", ""name 're' is not defined""]"
number,lower-case letter,💀💀💀💀💀💀💀,eeeeeee,input/incoder/double_letters/11.txt,[],"[""name 're' is not defined"", ""name 're' is not defined"", ""name 're' is not defined"", ""name 're' is not defined"", ""name 're' is not defined"", ""name 're' is not defined"", ""name 're' is not defined""]"
number,exclamation point,✅✅✅✅✅✅✅,ppppppp,input/incoder/double_letters/12.txt,[],[]
number,question mark,✅✅✅✅✅✅✅,ppppppp,input/incoder/double_letters/13.txt,[],[]
number,vowel (lower-case or upper-case),❌❌✅✅✅✅❌,ffppppf,input/incoder/double_letters/14.txt,"[[""'aaaaaaaaaAAAB11!11kf!kd33?f33fk?lk33'"", ""'aaaaaaaaaAAABBB11!11kkkfff!kkkddd33?fff33fffkkk?lllkkk33'""], [""'???!!!!AAABCdeeefg11223344aaaaaaaaaeeeeee'"", ""'???!!!!AAABBBCCCdddeeefffggg11223344aaaaaaaaaeeeeee'""], [""'11AAA22B33C!'"", ""'11AAA22BBB33CCC!'""]]",[]
number,consonant (lower-case or upper-case),❌❌❌✅✅❌❌,fffppff,input/incoder/double_letters/15.txt,"[[""'aaaABBB11!11kkkfff!kkkddd33?fff33fffkkk?lllkkk33'"", ""'aaaaaaaaaAAABBB11!11kkkfff!kkkddd33?fff33fffkkk?lllkkk33'""], [""'???!!!!ABBBCCCdddefffggg11223344aaaee'"", ""'???!!!!AAABBBCCCdddeeefffggg11223344aaaaaaaaaeeeeee'""], [""'A?'"", ""'AAA?'""], [""'AAAaaaaaAAAA'"", ""'AAAAAAAAAaaaaaaaaaaaaaaaAAAAAAAAAAAA'""], [""'11A22BBB33CCC!'"", ""'11AAA22BBB33CCC!'""]]",[]
upper-case letter,number,✅✅✅✅✅✅✅,ppppppp,input/incoder/double_letters/17.txt,[],[]
upper-case letter,lower-case letter,❌❌❌✅✅❌❌,fffppff,input/incoder/double_letters/19.txt,"[[""'aaaaaaaaaAABB1!1kkkfff!kkkddd3?fff3fffkkk?lllkkk3'"", ""'aaaAB1!1kf!kd3?f3fk?lk3'""], [""'???!!!!AABBCCdddeeefffggg1234aaaaaaaaaeeeeee'"", ""'???!!!!ABCdefg1234aaaee'""], [""'AA?'"", ""'A?'""], [""'AAAAAAaaaaaaaaaaaaaaaAAAAAAAA'"", ""'AAAaaaaaAAAA'""], [""'1AA2BB3CC!'"", ""'1A2B3C!'""]]",[]
upper-case letter,exclamation point,❌❌❌❌❌❌❌,fffffff,input/incoder/double_letters/20.txt,"[[""'aaaAABB1!!!1kf!!!kd3?f3fk?lk3'"", ""'aaaaaaAB11!11kkff!kkdd33??ff33ffkk??llkk33'""], [""'???!!!!!!!!!!!!AABBCCdefg1234aaaee'"", ""'??????!!!!ABCddeeffgg11223344aaaaaaeeee'""], [""'AA?'"", ""'A??'""], [""'?'"", ""'??'""], [""'!!!!!!!!!!!!!!!'"", ""'!!!!!'""], [""'AAAAAAaaaaaAAAAAAAA'"", ""'AAAaaaaaaaaaaAAAA'""], [""'1AA2BB3CC!!!'"", ""'11A22B33C!'""]]",[]
upper-case letter,question mark,❌❌✅✅✅❌✅,ffpppfp,input/incoder/double_letters/21.txt,"[[""'aaaAABB1!1kf!kd3???f3fk???lk3'"", ""'aaaAABB1!1kf!kd3?????????f3fk?????????lk3'""], [""'?????????!!!!AABBCCdefg1234aaaee'"", ""'?????????????????????????????????????????????????????????????????????????????????!!!!AABBCCdefg1234aaaee'""], [""'AAAAAAaaaaaAAAAAAAA'"", ""'AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAaaaaaAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA'""]]",[]
lower-case letter,number,❌❌✅✅✅❌❌,ffpppff,input/incoder/double_letters/25.txt,"[[""'aaaaaaAB111!111kkff!kkdd333?ff333ffkk?llkk333'"", ""'aaaAB11!11kf!kd33?f33fk?lk33'""], [""'???!!!!ABCddeeffgg111222333444aaaaaaeeee'"", ""'???!!!!ABCdefg11223344aaaee'""], [""'AAAaaaaaaaaaaAAAA'"", ""'AAAaaaaaAAAA'""], [""'111A222B333C!'"", ""'11A22B33C!'""]]",[]
lower-case letter,upper-case letter,❌❌❌❌❌❌❌,fffffff,input/incoder/double_letters/26.txt,"[[""'aaaaaaAAABBB1!1kkff!kkdd3?ff3ffkk?llkk3'"", ""'aaaABkfkdffklk'""], [""'???!!!!AAABBBCCCddeeffgg1234aaaaaaeeee'"", ""'ABCdefgaaaee'""], [""'AAA?'"", ""'A'""], [""'?'"", ""''""], [""'!!!!!'"", ""''""], [""'AAAAAAAAAaaaaaaaaaaAAAAAAAAAAAA'"", ""'AAAaaaaaAAAA'""], [""'1AAA2BBB3CCC!'"", ""'ABC'""]]",[]
lower-case letter,exclamation point,❌❌❌❌❌❌❌,fffffff,input/incoder/double_letters/28.txt,"[[""'aaaaaaAB1!!!1kkff!!!kkdd3?ff3ffkk?llkk3'"", ""'aaaaaakkffkkddffffkkllkk'""], [""'???!!!!!!!!!!!!ABCddeeffgg1234aaaaaaeeee'"", ""'ddeeffggaaaaaaeeee'""], [""'A?'"", ""''""], [""'?'"", ""''""], [""'!!!!!!!!!!!!!!!'"", ""''""], [""'AAAaaaaaaaaaaAAAA'"", ""'aaaaaaaaaa'""], [""'1A2B3C!!!'"", ""''""]]",[]
lower-case letter,question mark,❌❌✅✅✅❌✅,ffpppfp,input/incoder/double_letters/29.txt,"[[""'aaaaaaAB1!1kkff!kkdd3???ff3ffkk???llkk3'"", ""'aaaaaaaaaaaaaaaaaaaaaaaaAB1!1kkkkkkkkkkkkkkkkffffffff!kkkkkkkkkkkkkkkkdd3?????????ffffffff3ffffffffkkkkkkkkkkkkkkkk?????????llkkkkkkkkkkkkkkkk3'""], [""'?????????!!!!ABCddeeffgg1234aaaaaaeeee'"", ""'?????????????????????????????????????????????????????????????????????????????????!!!!ABCddeeeeeeeeffgg1234aaaaaaaaaaaaaaaaaaaaaaaaeeeeeeeeeeeeeeee'""], [""'AAAaaaaaaaaaaAAAA'"", ""'AAAaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaAAAA'""]]",[]
exclamation point,letter,❌❌❌❌✅❌❌,ffffpff,input/incoder/double_letters/32.txt,"[[""'aaaaaaaaaAAABBB1!!1kkkfff!!kkkddd3?fff3fffkkk?lllkkk3'"", ""'aaaAB1!!1kf!!kd3??f3fk??lk3'""], [""'???!!!!!!!!AAABBBCCCdddeeefffggg1234aaaaaaaaaeeeeee'"", ""'??????!!!!!!!!ABCdefg1234aaaee'""], [""'AAA?'"", ""'A??'""], [""'?'"", ""'??'""], [""'AAAAAAAAAaaaaaaaaaaaaaaaAAAAAAAAAAAA'"", ""'AAAaaaaaAAAA'""], [""'1AAA2BBB3CCC!!'"", ""'1A2B3C!!'""]]",[]
exclamation point,number,💀💀💀💀💀💀💀,eeeeeee,input/incoder/double_letters/33.txt,[],"[""name 're' is not defined"", ""name 're' is not defined"", ""name 're' is not defined"", ""name 're' is not defined"", ""name 're' is not defined"", ""name 're' is not defined"", ""name 're' is not defined""]"
exclamation point,upper-case letter,💀💀💀💀💀💀💀,eeeeeee,input/incoder/double_letters/34.txt,[],"[""name 're' is not defined"", ""name 're' is not defined"", ""name 're' is not defined"", ""name 're' is not defined"", ""name 're' is not defined"", ""name 're' is not defined"", ""name 're' is not defined""]"
exclamation point,lower-case letter,💀💀💀💀💀💀💀,eeeeeee,input/incoder/double_letters/35.txt,[],"[""name 're' is not defined"", ""name 're' is not defined"", ""name 're' is not defined"", ""name 're' is not defined"", ""name 're' is not defined"", ""name 're' is not defined"", ""name 're' is not defined""]"
exclamation point,question mark,💀💀💀💀💀💀💀,eeeeeee,input/incoder/double_letters/37.txt,[],"[""name 're' is not defined"", ""name 're' is not defined"", ""name 're' is not defined"", ""name 're' is not defined"", ""name 're' is not defined"", ""name 're' is not defined"", ""name 're' is not defined""]"
exclamation point,vowel (lower-case or upper-case),❌❌✅✅✅❌✅,ffpppfp,input/incoder/double_letters/38.txt,"[[""'aaaaaaaaaAAAB1!!1kf!!kd3?f3fk?lk3'"", ""'aaaaaaAAAB1!!1kf!!kd3?f3fk?lk3'""], [""'???!!!!!!!!AAABCdeeefg1234aaaaaaaaaeeeeee'"", ""'???!!!!!!!!AAABCdeefg1234aaaaaaeeee'""], [""'AAAAAAAAAaaaaaaaaaaaaaaaAAAAAAAAAAAA'"", ""'AAAAAAAAAaaaaaaaaaaAAAAAAAAAAAA'""]]",[]
