factor1,factor2,result_emojis,result,model_input,failed_inputs,errors
3,5,❌❌✅❌✅✅❌❌✅✅❌✅❌❌✅❌❌✅❌✅✅❌❌✅✅❌✅❌❌✅❌❌✅❌✅✅❌❌✅✅❌✅❌❌✅❌❌✅❌✅✅❌❌✅✅❌✅❌❌✅❌❌✅❌✅✅❌❌✅✅❌✅❌❌✅❌❌✅❌✅✅❌❌✅✅❌✅❌❌✅❌❌✅❌✅✅❌❌✅✅❌✅❌❌✅❌❌✅❌✅✅❌❌✅✅❌✅❌❌✅❌❌✅❌✅✅❌,ffpfppffppfpffpffpfppffppfpffpffpfppffppfpffpffpfppffppfpffpffpfppffppfpffpffpfppffppfpffpffpfppffppfpffpffpfppffppfpffpffpfppf,input/incoder/fizzbuzz/0.txt,"[[""1"", ""'1'""], [""2"", ""'2'""], [""4"", ""'4'""], [""7"", ""'7'""], [""8"", ""'8'""], [""11"", ""'11'""], [""13"", ""'13'""], [""14"", ""'14'""], [""16"", ""'16'""], [""17"", ""'17'""], [""19"", ""'19'""], [""22"", ""'22'""], [""23"", ""'23'""], [""26"", ""'26'""], [""28"", ""'28'""], [""29"", ""'29'""], [""31"", ""'31'""], [""32"", ""'32'""], [""34"", ""'34'""], [""37"", ""'37'""], [""38"", ""'38'""], [""41"", ""'41'""], [""43"", ""'43'""], [""44"", ""'44'""], [""46"", ""'46'""], [""47"", ""'47'""], [""49"", ""'49'""], [""52"", ""'52'""], [""53"", ""'53'""], [""56"", ""'56'""], [""58"", ""'58'""], [""59"", ""'59'""], [""61"", ""'61'""], [""62"", ""'62'""], [""64"", ""'64'""], [""67"", ""'67'""], [""68"", ""'68'""], [""71"", ""'71'""], [""73"", ""'73'""], [""74"", ""'74'""], [""76"", ""'76'""], [""77"", ""'77'""], [""79"", ""'79'""], [""82"", ""'82'""], [""83"", ""'83'""], [""86"", ""'86'""], [""88"", ""'88'""], [""89"", ""'89'""], [""91"", ""'91'""], [""92"", ""'92'""], [""94"", ""'94'""], [""97"", ""'97'""], [""98"", ""'98'""], [""101"", ""'101'""], [""103"", ""'103'""], [""104"", ""'104'""], [""106"", ""'106'""], [""107"", ""'107'""], [""109"", ""'109'""], [""112"", ""'112'""], [""113"", ""'113'""], [""116"", ""'116'""], [""118"", ""'118'""], [""119"", ""'119'""], [""121"", ""'121'""], [""122"", ""'122'""], [""124"", ""'124'""], [""127"", ""'127'""]]",[]
3,11,✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅,ppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp,input/incoder/fizzbuzz/2.txt,[],[]
3,17,✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅,ppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp,input/incoder/fizzbuzz/3.txt,[],[]
3,23,✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅,ppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp,input/incoder/fizzbuzz/4.txt,[],[]
3,twenty-three,✅✅✅✅❌✅✅✅✅❌✅✅✅✅❌✅✅✅✅❌✅✅❌✅❌✅✅✅✅❌✅✅✅✅❌✅✅✅✅❌✅✅✅✅❌❌✅✅✅❌✅✅✅✅❌✅✅✅✅❌✅✅✅✅❌✅✅✅❌❌✅✅✅✅❌✅✅✅✅❌✅✅✅✅❌✅✅✅✅❌✅❌✅✅❌✅✅✅✅❌✅✅✅✅❌✅✅✅✅❌✅✅✅✅✅✅✅✅✅❌✅✅✅✅❌✅✅,ppppfppppfppppfppppfppfpfppppfppppfppppfppppffpppfppppfppppfppppfpppffppppfppppfppppfppppfpfppfppppfppppfppppfpppppppppfppppfpp,input/incoder/fizzbuzz/6.txt,"[[""5"", ""'Buzz'""], [""10"", ""'Buzz'""], [""'Fizz'"", ""'FizzBuzz'""], [""20"", ""'Buzz'""], [""'Buzz'"", ""23""], [""25"", ""'Buzz'""], [""'Fizz'"", ""'FizzBuzz'""], [""35"", ""'Buzz'""], [""40"", ""'Buzz'""], [""'Fizz'"", ""'FizzBuzz'""], [""'Buzz'"", ""46""], [""50"", ""'Buzz'""], [""55"", ""'Buzz'""], [""'Fizz'"", ""'FizzBuzz'""], [""65"", ""'Buzz'""], [""'FizzBuzz'"", ""'Fizz'""], [""70"", ""'Buzz'""], [""'Fizz'"", ""'FizzBuzz'""], [""80"", ""'Buzz'""], [""85"", ""'Buzz'""], [""'Fizz'"", ""'FizzBuzz'""], [""'Buzz'"", ""92""], [""95"", ""'Buzz'""], [""100"", ""'Buzz'""], [""'Fizz'"", ""'FizzBuzz'""], [""110"", ""'Buzz'""], [""'Fizz'"", ""'FizzBuzz'""], [""125"", ""'Buzz'""]]",[]
4,5,✅✅❌❌✅❌✅❌❌✅✅✅✅✅❌❌✅❌✅❌❌✅✅✅✅✅❌❌✅❌✅❌❌✅✅✅✅✅❌❌✅❌✅❌❌✅✅✅✅✅❌❌✅❌✅❌❌✅✅✅✅✅❌❌✅❌✅❌❌✅✅✅✅✅❌❌✅❌✅❌❌✅✅✅✅✅❌❌✅❌✅❌❌✅✅✅✅✅❌❌✅❌✅❌❌✅✅✅✅✅❌❌✅❌✅❌❌✅✅✅✅✅❌❌✅❌✅,ppffpfpffpppppffpfpffpppppffpfpffpppppffpfpffpppppffpfpffpppppffpfpffpppppffpfpffpppppffpfpffpppppffpfpffpppppffpfpffpppppffpfp,input/incoder/fizzbuzz/8.txt,"[[""3"", ""'Fizz'""], [""'Fizz'"", ""4""], [""6"", ""'Fizz'""], [""'Fizz'"", ""8""], [""9"", ""'Fizz'""], [""'Buzz'"", ""'FizzBuzz'""], [""'Fizz'"", ""16""], [""18"", ""'Fizz'""], [""'FizzBuzz'"", ""'Buzz'""], [""21"", ""'Fizz'""], [""27"", ""'Fizz'""], [""'Fizz'"", ""28""], [""'Buzz'"", ""'FizzBuzz'""], [""'Fizz'"", ""32""], [""33"", ""'Fizz'""], [""39"", ""'Fizz'""], [""'FizzBuzz'"", ""'Buzz'""], [""42"", ""'Fizz'""], [""'Fizz'"", ""44""], [""'Buzz'"", ""'FizzBuzz'""], [""51"", ""'Fizz'""], [""'Fizz'"", ""52""], [""54"", ""'Fizz'""], [""'Fizz'"", ""56""], [""57"", ""'Fizz'""], [""63"", ""'Fizz'""], [""'Fizz'"", ""64""], [""66"", ""'Fizz'""], [""'Fizz'"", ""68""], [""69"", ""'Fizz'""], [""'Buzz'"", ""'FizzBuzz'""], [""'Fizz'"", ""76""], [""78"", ""'Fizz'""], [""'FizzBuzz'"", ""'Buzz'""], [""81"", ""'Fizz'""], [""87"", ""'Fizz'""], [""'Fizz'"", ""88""], [""'Buzz'"", ""'FizzBuzz'""], [""'Fizz'"", ""92""], [""93"", ""'Fizz'""], [""99"", ""'Fizz'""], [""'FizzBuzz'"", ""'Buzz'""], [""102"", ""'Fizz'""], [""'Fizz'"", ""104""], [""'Buzz'"", ""'FizzBuzz'""], [""111"", ""'Fizz'""], [""'Fizz'"", ""112""], [""114"", ""'Fizz'""], [""'Fizz'"", ""116""], [""117"", ""'Fizz'""], [""123"", ""'Fizz'""], [""'Fizz'"", ""124""], [""126"", ""'Fizz'""]]",[]
4,3,✅✅❌❌❌❌✅❌❌❌✅❌✅✅❌❌✅❌✅❌❌✅✅❌❌✅❌❌✅❌✅❌❌✅❌❌✅✅❌❌✅❌✅❌❌✅✅❌✅❌❌❌✅❌❌❌❌✅✅✅✅✅❌❌❌❌✅❌❌❌✅❌✅✅❌❌✅❌✅❌❌✅✅❌❌✅❌❌✅❌✅❌❌✅❌❌✅✅❌❌✅❌✅❌❌✅✅❌✅❌❌❌✅❌❌❌❌✅✅✅✅✅❌❌❌❌✅,ppffffpfffpfppffpfpffppffpffpfpffpffppffpfpffppfpfffpffffpppppffffpfffpfppffpfpffppffpffpfpffpffppffpfpffppfpfffpffffpppppffffp,input/incoder/fizzbuzz/9.txt,"[[""'Buzz'"", ""'Fizz'""], [""'Fizz'"", ""4""], [""5"", ""'Buzz'""], [""'Buzz'"", ""'Fizz'""], [""'Fizz'"", ""8""], [""'Buzz'"", ""'Fizz'""], [""10"", ""'Buzz'""], [""'FizzBuzz'"", ""'Fizz'""], [""'Buzz'"", ""'FizzBuzz'""], [""'Fizz'"", ""16""], [""'Buzz'"", ""'Fizz'""], [""'Fizz'"", ""'Buzz'""], [""'Buzz'"", ""'Fizz'""], [""'FizzBuzz'"", ""'Fizz'""], [""25"", ""'Buzz'""], [""'Buzz'"", ""'Fizz'""], [""'Fizz'"", ""28""], [""'Buzz'"", ""'FizzBuzz'""], [""'Fizz'"", ""32""], [""'Buzz'"", ""'Fizz'""], [""35"", ""'Buzz'""], [""'FizzBuzz'"", ""'Fizz'""], [""'Buzz'"", ""'Fizz'""], [""'Fizz'"", ""'Buzz'""], [""'Buzz'"", ""'Fizz'""], [""'Fizz'"", ""44""], [""'Buzz'"", ""'FizzBuzz'""], [""'FizzBuzz'"", ""'Fizz'""], [""50"", ""'Buzz'""], [""'Buzz'"", ""'Fizz'""], [""'Fizz'"", ""52""], [""'Buzz'"", ""'Fizz'""], [""55"", ""'Buzz'""], [""'Fizz'"", ""56""], [""'Buzz'"", ""'Fizz'""], [""'Buzz'"", ""'Fizz'""], [""'Fizz'"", ""64""], [""65"", ""'Buzz'""], [""'Buzz'"", ""'Fizz'""], [""'Fizz'"", ""68""], [""'Buzz'"", ""'Fizz'""], [""70"", ""'Buzz'""], [""'FizzBuzz'"", ""'Fizz'""], [""'Buzz'"", ""'FizzBuzz'""], [""'Fizz'"", ""76""], [""'Buzz'"", ""'Fizz'""], [""'Fizz'"", ""'Buzz'""], [""'Buzz'"", ""'Fizz'""], [""'FizzBuzz'"", ""'Fizz'""], [""85"", ""'Buzz'""], [""'Buzz'"", ""'Fizz'""], [""'Fizz'"", ""88""], [""'Buzz'"", ""'FizzBuzz'""], [""'Fizz'"", ""92""], [""'Buzz'"", ""'Fizz'""], [""95"", ""'Buzz'""], [""'FizzBuzz'"", ""'Fizz'""], [""'Buzz'"", ""'Fizz'""], [""'Fizz'"", ""'Buzz'""], [""'Buzz'"", ""'Fizz'""], [""'Fizz'"", ""104""], [""'Buzz'"", ""'FizzBuzz'""], [""'FizzBuzz'"", ""'Fizz'""], [""110"", ""'Buzz'""], [""'Buzz'"", ""'Fizz'""], [""'Fizz'"", ""112""], [""'Buzz'"", ""'Fizz'""], [""115"", ""'Buzz'""], [""'Fizz'"", ""116""], [""'Buzz'"", ""'Fizz'""], [""'Buzz'"", ""'Fizz'""], [""'Fizz'"", ""124""], [""125"", ""'Buzz'""], [""'Buzz'"", ""'Fizz'""]]",[]
4,11,✅✅❌❌❌❌✅❌❌❌❌✅✅✅❌❌✅❌✅❌❌❌✅✅❌✅❌❌✅❌✅❌❌✅❌✅✅✅❌❌✅❌✅❌❌✅✅✅✅❌❌❌✅❌✅❌❌✅✅❌✅✅❌❌❌❌✅❌❌❌✅✅✅✅❌❌❌❌✅❌❌✅✅✅❌✅❌❌✅❌✅❌❌✅❌✅✅✅❌❌✅❌✅❌❌✅✅✅✅✅❌❌✅❌❌❌❌✅✅❌❌✅❌❌❌❌✅,ppffffpffffpppffpfpfffppfpffpfpffpfpppffpfpffppppfffpfpffppfppffffpfffppppffffpffpppfpffpfpffpfpppffpfpffpppppffpffffppffpffffp,input/incoder/fizzbuzz/10.txt,"[[""3"", ""'Fizz'""], [""'Fizz'"", ""4""], [""5"", ""'Buzz'""], [""6"", ""'Fizz'""], [""'Fizz'"", ""8""], [""9"", ""'Fizz'""], [""10"", ""'Buzz'""], [""'Buzz'"", ""11""], [""15"", ""'FizzBuzz'""], [""'Fizz'"", ""16""], [""18"", ""'Fizz'""], [""'Fizz'"", ""'Buzz'""], [""21"", ""'Fizz'""], [""'Buzz'"", ""22""], [""25"", ""'Buzz'""], [""27"", ""'Fizz'""], [""'Fizz'"", ""28""], [""30"", ""'FizzBuzz'""], [""'Fizz'"", ""32""], [""'Buzz'"", ""'Fizz'""], [""35"", ""'Buzz'""], [""39"", ""'Fizz'""], [""'Fizz'"", ""'Buzz'""], [""42"", ""'Fizz'""], [""'FizzBuzz'"", ""44""], [""45"", ""'FizzBuzz'""], [""50"", ""'Buzz'""], [""51"", ""'Fizz'""], [""'Fizz'"", ""52""], [""54"", ""'Fizz'""], [""'Fizz'"", ""56""], [""57"", ""'Fizz'""], [""'Fizz'"", ""'FizzBuzz'""], [""63"", ""'Fizz'""], [""'Fizz'"", ""64""], [""65"", ""'Buzz'""], [""'Buzz'"", ""'Fizz'""], [""'Fizz'"", ""68""], [""69"", ""'Fizz'""], [""70"", ""'Buzz'""], [""75"", ""'FizzBuzz'""], [""'Fizz'"", ""76""], [""'Buzz'"", ""77""], [""78"", ""'Fizz'""], [""'Fizz'"", ""'Buzz'""], [""81"", ""'Fizz'""], [""85"", ""'Buzz'""], [""87"", ""'Fizz'""], [""'FizzBuzz'"", ""88""], [""90"", ""'FizzBuzz'""], [""'Fizz'"", ""92""], [""93"", ""'Fizz'""], [""95"", ""'Buzz'""], [""'Buzz'"", ""'Fizz'""], [""'Fizz'"", ""'Buzz'""], [""102"", ""'Fizz'""], [""'Fizz'"", ""104""], [""105"", ""'FizzBuzz'""], [""111"", ""'Fizz'""], [""'Fizz'"", ""112""], [""114"", ""'Fizz'""], [""115"", ""'Buzz'""], [""'Fizz'"", ""116""], [""117"", ""'Fizz'""], [""'Fizz'"", ""'FizzBuzz'""], [""'Buzz'"", ""121""], [""123"", ""'Fizz'""], [""'Fizz'"", ""124""], [""125"", ""'Buzz'""], [""126"", ""'Fizz'""]]",[]
4,17,✅✅❌❌❌❌✅❌❌❌✅✅✅✅❌❌❌❌✅❌❌✅✅✅❌✅❌❌✅❌✅❌❌❌❌✅✅✅❌❌✅❌✅❌❌✅✅✅✅❌❌❌✅❌❌❌❌✅✅❌✅✅❌❌❌❌✅❌❌❌✅✅✅✅❌❌✅❌✅❌❌✅✅✅✅✅❌❌✅❌✅❌❌✅❌✅✅✅❌❌✅❌✅❌❌✅✅✅✅❌❌❌✅❌❌❌❌✅❌❌✅✅❌❌❌❌✅,ppffffpfffppppffffpffpppfpffpfpffffpppffpfpffppppfffpffffppfppffffpfffppppffpfpffpppppffpfpffpfpppffpfpffppppfffpffffpffppffffp,input/incoder/fizzbuzz/11.txt,"[[""3"", ""'Fizz'""], [""'Fizz'"", ""4""], [""5"", ""'Buzz'""], [""6"", ""'Fizz'""], [""'Fizz'"", ""8""], [""9"", ""'Fizz'""], [""10"", ""'Buzz'""], [""15"", ""'FizzBuzz'""], [""'Fizz'"", ""16""], [""'Buzz'"", ""17""], [""18"", ""'Fizz'""], [""'Fizz'"", ""'Buzz'""], [""21"", ""'Fizz'""], [""25"", ""'Buzz'""], [""27"", ""'Fizz'""], [""'Fizz'"", ""28""], [""30"", ""'FizzBuzz'""], [""'Fizz'"", ""32""], [""33"", ""'Fizz'""], [""'Buzz'"", ""34""], [""35"", ""'Buzz'""], [""39"", ""'Fizz'""], [""'Fizz'"", ""'Buzz'""], [""42"", ""'Fizz'""], [""'Fizz'"", ""44""], [""45"", ""'FizzBuzz'""], [""50"", ""'Buzz'""], [""'Buzz'"", ""'Fizz'""], [""'Fizz'"", ""52""], [""54"", ""'Fizz'""], [""55"", ""'Buzz'""], [""'Fizz'"", ""56""], [""57"", ""'Fizz'""], [""'Fizz'"", ""'FizzBuzz'""], [""63"", ""'Fizz'""], [""'Fizz'"", ""64""], [""65"", ""'Buzz'""], [""66"", ""'Fizz'""], [""'FizzBuzz'"", ""68""], [""69"", ""'Fizz'""], [""70"", ""'Buzz'""], [""75"", ""'FizzBuzz'""], [""'Fizz'"", ""76""], [""78"", ""'Fizz'""], [""'Fizz'"", ""'Buzz'""], [""81"", ""'Fizz'""], [""87"", ""'Fizz'""], [""'Fizz'"", ""88""], [""90"", ""'FizzBuzz'""], [""'Fizz'"", ""92""], [""93"", ""'Fizz'""], [""95"", ""'Buzz'""], [""99"", ""'Fizz'""], [""'Fizz'"", ""'Buzz'""], [""'Buzz'"", ""'Fizz'""], [""'Fizz'"", ""104""], [""105"", ""'FizzBuzz'""], [""110"", ""'Buzz'""], [""111"", ""'Fizz'""], [""'Fizz'"", ""112""], [""114"", ""'Fizz'""], [""115"", ""'Buzz'""], [""'Fizz'"", ""116""], [""117"", ""'Fizz'""], [""'Buzz'"", ""119""], [""'Fizz'"", ""'FizzBuzz'""], [""123"", ""'Fizz'""], [""'Fizz'"", ""124""], [""125"", ""'Buzz'""], [""126"", ""'Fizz'""]]",[]
4,23,❌❌❌✅❌❌❌✅❌❌❌✅❌❌❌✅❌❌❌✅❌❌✅✅❌❌❌✅❌❌❌✅❌❌❌✅❌❌❌✅❌❌❌✅❌✅❌✅❌❌❌✅❌❌❌✅❌❌❌✅❌❌❌✅❌❌❌✅✅❌❌✅❌❌❌✅❌❌❌✅❌❌❌✅❌❌❌✅❌❌❌❌❌❌❌✅❌❌❌✅❌❌❌✅❌❌❌✅❌❌❌✅❌❌✅✅❌❌❌✅❌❌❌✅❌❌❌,fffpfffpfffpfffpfffpffppfffpfffpfffpfffpfffpfpfpfffpfffpfffpfffpfffppffpfffpfffpfffpfffpfffffffpfffpfffpfffpfffpffppfffpfffpfff,input/incoder/fizzbuzz/12.txt,"[[""1"", ""'1'""], [""2"", ""'2'""], [""3"", ""'3'""], [""5"", ""'5'""], [""6"", ""'6'""], [""7"", ""'7'""], [""9"", ""'9'""], [""10"", ""'10'""], [""11"", ""'11'""], [""13"", ""'13'""], [""14"", ""'14'""], [""15"", ""'15'""], [""17"", ""'17'""], [""18"", ""'18'""], [""19"", ""'19'""], [""21"", ""'21'""], [""22"", ""'22'""], [""25"", ""'25'""], [""26"", ""'26'""], [""27"", ""'27'""], [""29"", ""'29'""], [""30"", ""'30'""], [""31"", ""'31'""], [""33"", ""'33'""], [""34"", ""'34'""], [""35"", ""'35'""], [""37"", ""'37'""], [""38"", ""'38'""], [""39"", ""'39'""], [""41"", ""'41'""], [""42"", ""'42'""], [""43"", ""'43'""], [""45"", ""'45'""], [""47"", ""'47'""], [""49"", ""'49'""], [""50"", ""'50'""], [""51"", ""'51'""], [""53"", ""'53'""], [""54"", ""'54'""], [""55"", ""'55'""], [""57"", ""'57'""], [""58"", ""'58'""], [""59"", ""'59'""], [""61"", ""'61'""], [""62"", ""'62'""], [""63"", ""'63'""], [""65"", ""'65'""], [""66"", ""'66'""], [""67"", ""'67'""], [""70"", ""'70'""], [""71"", ""'71'""], [""73"", ""'73'""], [""74"", ""'74'""], [""75"", ""'75'""], [""77"", ""'77'""], [""78"", ""'78'""], [""79"", ""'79'""], [""81"", ""'81'""], [""82"", ""'82'""], [""83"", ""'83'""], [""85"", ""'85'""], [""86"", ""'86'""], [""87"", ""'87'""], [""89"", ""'89'""], [""90"", ""'90'""], [""91"", ""'91'""], [""'FizzBuzz'"", ""'Fizz'""], [""93"", ""'93'""], [""94"", ""'94'""], [""95"", ""'95'""], [""97"", ""'97'""], [""98"", ""'98'""], [""99"", ""'99'""], [""101"", ""'101'""], [""102"", ""'102'""], [""103"", ""'103'""], [""105"", ""'105'""], [""106"", ""'106'""], [""107"", ""'107'""], [""109"", ""'109'""], [""110"", ""'110'""], [""111"", ""'111'""], [""113"", ""'113'""], [""114"", ""'114'""], [""117"", ""'117'""], [""118"", ""'118'""], [""119"", ""'119'""], [""121"", ""'121'""], [""122"", ""'122'""], [""123"", ""'123'""], [""125"", ""'125'""], [""126"", ""'126'""], [""127"", ""'127'""]]",[]
