digit,factor2,factor3,example_input,result_emojis,result,model_input,failed_inputs,errors
7,11,13,50,✅❌❌❌❌❌❌❌,pfffffff,input/incoder/fizzbuzz_count/0.txt,"[[""2"", ""1""], [""3"", ""0""], [""3"", ""0""], [""6"", ""0""], [""192"", ""0""], [""639"", ""0""], [""8026"", ""0""]]",[]
7,11,13,78,✅❌❌❌❌❌❌❌,pfffffff,input/incoder/fizzbuzz_count/1.txt,"[[""2"", ""1""], [""3"", ""0""], [""3"", ""0""], [""6"", ""0""], [""192"", ""0""], [""639"", ""0""], [""8026"", ""0""]]",[]
7,11,13,3298,✅❌❌❌❌❌❌❌,pfffffff,input/incoder/fizzbuzz_count/2.txt,"[[""2"", ""1""], [""3"", ""0""], [""3"", ""0""], [""6"", ""0""], [""192"", ""0""], [""639"", ""0""], [""8026"", ""0""]]",[]
7,11,3819,50,✅❌❌❌❌❌❌❌,pfffffff,input/incoder/fizzbuzz_count/6.txt,"[[""2"", ""0""], [""2"", ""0""], [""2"", ""0""], [""4"", ""0""], [""109"", ""0""], [""365"", ""0""], [""4558"", ""0""]]",[]
7,11,3819,78,✅❌❌❌❌❌❌❌,pfffffff,input/incoder/fizzbuzz_count/7.txt,"[[""2"", ""0""], [""2"", ""0""], [""2"", ""0""], [""4"", ""0""], [""109"", ""0""], [""365"", ""0""], [""4558"", ""0""]]",[]
7,11,3819,3298,✅❌❌❌❌❌❌❌,pfffffff,input/incoder/fizzbuzz_count/8.txt,"[[""2"", ""0""], [""2"", ""0""], [""2"", ""0""], [""4"", ""0""], [""109"", ""0""], [""365"", ""0""], [""4558"", ""0""]]",[]
7,13,11,50,✅❌❌❌❌❌❌❌,pfffffff,input/incoder/fizzbuzz_count/12.txt,"[[""2"", ""1""], [""3"", ""0""], [""3"", ""0""], [""6"", ""0""], [""192"", ""0""], [""639"", ""0""], [""8026"", ""0""]]",[]
7,13,11,78,✅❌❌❌❌❌❌❌,pfffffff,input/incoder/fizzbuzz_count/13.txt,"[[""2"", ""1""], [""3"", ""0""], [""3"", ""0""], [""6"", ""0""], [""192"", ""0""], [""639"", ""0""], [""8026"", ""0""]]",[]
7,13,11,3298,✅❌❌❌❌❌❌❌,pfffffff,input/incoder/fizzbuzz_count/14.txt,"[[""2"", ""1""], [""3"", ""0""], [""3"", ""0""], [""6"", ""0""], [""192"", ""0""], [""639"", ""0""], [""8026"", ""0""]]",[]
7,13,3819,50,✅❌❌❌❌❌❌❌,pfffffff,input/incoder/fizzbuzz_count/15.txt,"[[""0"", ""1""], [""1"", ""0""], [""1"", ""0""], [""2"", ""0""], [""93"", ""0""], [""308"", ""0""], [""3858"", ""0""]]",[]
7,13,3819,78,✅❌❌❌❌❌❌❌,pfffffff,input/incoder/fizzbuzz_count/16.txt,"[[""0"", ""1""], [""1"", ""0""], [""1"", ""0""], [""2"", ""0""], [""93"", ""0""], [""308"", ""0""], [""3858"", ""0""]]",[]
7,13,3819,3298,✅❌❌❌❌❌❌❌,pfffffff,input/incoder/fizzbuzz_count/17.txt,"[[""0"", ""1""], [""1"", ""0""], [""1"", ""0""], [""2"", ""0""], [""93"", ""0""], [""308"", ""0""], [""3858"", ""0""]]",[]
7,7,13,50,✅❌❌❌❌❌❌❌,pfffffff,input/incoder/fizzbuzz_count/18.txt,"[[""4"", ""1""], [""5"", ""0""], [""5"", ""1""], [""8"", ""1""], [""254"", ""0""], [""837"", ""1""], [""10441"", ""0""]]",[]
7,7,13,78,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/fizzbuzz_count/19.txt,"[[""1"", ""0""], [""4"", ""2""], [""5"", ""1""], [""5"", ""0""], [""8"", ""0""], [""254"", ""0""], [""837"", ""0""], [""10441"", ""0""]]",[]
7,7,13,3298,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/fizzbuzz_count/20.txt,"[[""1"", ""0""], [""4"", ""1""], [""5"", ""0""], [""5"", ""0""], [""8"", ""0""], [""254"", ""0""], [""837"", ""0""], [""10441"", ""0""]]",[]
7,7,11,50,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/fizzbuzz_count/21.txt,"[[""1"", ""0""], [""4"", ""1""], [""4"", ""1""], [""4"", ""0""], [""8"", ""0""], [""265"", ""0""], [""883"", ""0""], [""11031"", ""0""]]",[]
7,7,11,78,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/fizzbuzz_count/22.txt,"[[""1"", ""0""], [""4"", ""1""], [""4"", ""1""], [""4"", ""0""], [""8"", ""0""], [""265"", ""0""], [""883"", ""0""], [""11031"", ""0""]]",[]
7,7,11,3298,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/fizzbuzz_count/23.txt,"[[""1"", ""22""], [""4"", ""20""], [""4"", ""22""], [""4"", ""30""], [""8"", ""51""], [""265"", ""437""], [""883"", ""1513""], [""11031"", ""3567""]]",[]
7,7,3819,50,✅❌❌❌❌❌❌❌,pfffffff,input/incoder/fizzbuzz_count/24.txt,"[[""4"", ""0""], [""4"", ""0""], [""4"", ""1""], [""6"", ""1""], [""173"", ""0""], [""574"", ""1""], [""7156"", ""0""]]",[]
7,7,3819,78,✅❌❌❌❌❌❌❌,pfffffff,input/incoder/fizzbuzz_count/25.txt,"[[""4"", ""0""], [""4"", ""0""], [""4"", ""1""], [""6"", ""1""], [""173"", ""0""], [""574"", ""1""], [""7156"", ""0""]]",[]
7,7,3819,3298,✅❌❌❌❌❌❌❌,pfffffff,input/incoder/fizzbuzz_count/26.txt,"[[""4"", ""0""], [""4"", ""0""], [""4"", ""1""], [""6"", ""1""], [""173"", ""0""], [""574"", ""1""], [""7156"", ""0""]]",[]
7,1837,13,50,✅❌❌❌❌❌❌❌,pfffffff,input/incoder/fizzbuzz_count/27.txt,"[[""0"", ""1""], [""1"", ""0""], [""1"", ""0""], [""2"", ""0""], [""95"", ""0""], [""310"", ""0""], [""3869"", ""0""]]",[]
7,1837,13,78,✅✅❌❌❌❌❌❌,ppffffff,input/incoder/fizzbuzz_count/28.txt,"[[""1"", ""0""], [""1"", ""0""], [""2"", ""0""], [""95"", ""0""], [""310"", ""0""], [""3869"", ""0""]]",[]
7,1837,13,3298,✅✅❌❌❌❌❌❌,ppffffff,input/incoder/fizzbuzz_count/29.txt,"[[""1"", ""0""], [""1"", ""0""], [""2"", ""0""], [""95"", ""0""], [""310"", ""0""], [""3869"", ""0""]]",[]
7,1837,3819,50,✅✅✅✅✅❌❌❌,pppppfff,input/incoder/fizzbuzz_count/33.txt,"[[""2"", ""0""], [""4"", ""0""], [""39"", ""0""]]",[]
7,1837,3819,78,✅✅✅✅✅❌❌❌,pppppfff,input/incoder/fizzbuzz_count/34.txt,"[[""2"", ""0""], [""4"", ""0""], [""39"", ""0""]]",[]
7,1837,3819,3298,✅✅✅✅✅❌❌❌,pppppfff,input/incoder/fizzbuzz_count/35.txt,"[[""2"", ""0""], [""4"", ""0""], [""39"", ""0""]]",[]
4,11,13,50,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/fizzbuzz_count/36.txt,"[[""2"", ""0""], [""2"", ""3""], [""2"", ""0""], [""2"", ""0""], [""5"", ""0""], [""190"", ""0""], [""639"", ""0""], [""8040"", ""0""]]",[]
4,11,13,78,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/fizzbuzz_count/37.txt,"[[""2"", ""0""], [""2"", ""1""], [""2"", ""0""], [""2"", ""0""], [""5"", ""0""], [""190"", ""0""], [""639"", ""0""], [""8040"", ""0""]]",[]
4,11,13,3298,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/fizzbuzz_count/38.txt,"[[""2"", ""0""], [""2"", ""0""], [""2"", ""0""], [""2"", ""0""], [""5"", ""0""], [""190"", ""0""], [""639"", ""0""], [""8040"", ""0""]]",[]
4,11,3819,50,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/fizzbuzz_count/42.txt,"[[""2"", ""0""], [""2"", ""0""], [""2"", ""0""], [""2"", ""0""], [""4"", ""0""], [""108"", ""0""], [""364"", ""0""], [""4557"", ""0""]]",[]
4,11,3819,78,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/fizzbuzz_count/43.txt,"[[""2"", ""0""], [""2"", ""0""], [""2"", ""0""], [""2"", ""0""], [""4"", ""0""], [""108"", ""0""], [""364"", ""0""], [""4557"", ""0""]]",[]
4,11,3819,3298,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/fizzbuzz_count/44.txt,"[[""2"", ""0""], [""2"", ""0""], [""2"", ""0""], [""2"", ""0""], [""4"", ""0""], [""108"", ""0""], [""364"", ""0""], [""4557"", ""0""]]",[]
4,13,11,50,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/fizzbuzz_count/48.txt,"[[""2"", ""0""], [""2"", ""1""], [""2"", ""0""], [""2"", ""0""], [""5"", ""0""], [""190"", ""0""], [""639"", ""0""], [""8040"", ""0""]]",[]
4,13,11,78,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/fizzbuzz_count/49.txt,"[[""2"", ""0""], [""2"", ""1""], [""2"", ""0""], [""2"", ""0""], [""5"", ""0""], [""190"", ""0""], [""639"", ""0""], [""8040"", ""0""]]",[]
4,13,11,3298,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/fizzbuzz_count/50.txt,"[[""2"", ""0""], [""2"", ""1""], [""2"", ""0""], [""2"", ""0""], [""5"", ""0""], [""190"", ""0""], [""639"", ""0""], [""8040"", ""0""]]",[]
4,13,3819,50,✅❌✅✅❌❌❌❌,pfppffff,input/incoder/fizzbuzz_count/51.txt,"[[""0"", ""2""], [""2"", ""0""], [""92"", ""0""], [""306"", ""0""], [""3857"", ""0""]]",[]
4,13,3819,78,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/fizzbuzz_count/52.txt,"[[""0"", ""3""], [""0"", ""6""], [""0"", ""6""], [""0"", ""7""], [""2"", ""15""], [""92"", ""308""], [""306"", ""771""], [""3857"", ""7716""]]",[]
4,13,3819,3298,✅✅✅✅❌❌❌❌,ppppffff,input/incoder/fizzbuzz_count/53.txt,"[[""2"", ""0""], [""92"", ""0""], [""306"", ""0""], [""3857"", ""0""]]",[]
4,7,13,50,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/fizzbuzz_count/54.txt,"[[""3"", ""0""], [""3"", ""1""], [""3"", ""0""], [""4"", ""0""], [""9"", ""0""], [""252"", ""0""], [""837"", ""0""], [""10441"", ""0""]]",[]
4,7,13,78,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/fizzbuzz_count/55.txt,"[[""3"", ""0""], [""3"", ""1""], [""3"", ""0""], [""4"", ""0""], [""9"", ""0""], [""252"", ""0""], [""837"", ""0""], [""10441"", ""0""]]",[]
4,7,13,3298,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/fizzbuzz_count/56.txt,"[[""3"", ""0""], [""3"", ""1""], [""3"", ""0""], [""4"", ""0""], [""9"", ""0""], [""252"", ""0""], [""837"", ""0""], [""10441"", ""0""]]",[]
4,7,11,50,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/fizzbuzz_count/57.txt,"[[""5"", ""0""], [""5"", ""1""], [""5"", ""1""], [""6"", ""0""], [""10"", ""0""], [""266"", ""0""], [""889"", ""0""], [""11038"", ""0""]]",[]
4,7,11,78,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/fizzbuzz_count/58.txt,"[[""5"", ""0""], [""5"", ""1""], [""5"", ""1""], [""6"", ""0""], [""10"", ""0""], [""266"", ""0""], [""889"", ""0""], [""11038"", ""0""]]",[]
4,7,11,3298,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/fizzbuzz_count/59.txt,"[[""5"", ""0""], [""5"", ""1""], [""5"", ""1""], [""6"", ""0""], [""10"", ""0""], [""266"", ""0""], [""889"", ""0""], [""11038"", ""0""]]",[]
4,7,3819,50,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/fizzbuzz_count/60.txt,"[[""3"", ""0""], [""3"", ""1""], [""3"", ""1""], [""4"", ""0""], [""7"", ""0""], [""173"", ""0""], [""574"", ""0""], [""7157"", ""0""]]",[]
4,7,3819,78,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/fizzbuzz_count/61.txt,"[[""3"", ""0""], [""3"", ""0""], [""3"", ""0""], [""4"", ""0""], [""7"", ""0""], [""173"", ""0""], [""574"", ""0""], [""7157"", ""0""]]",[]
4,7,3819,3298,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/fizzbuzz_count/62.txt,"[[""3"", ""0""], [""3"", ""0""], [""3"", ""0""], [""4"", ""0""], [""7"", ""0""], [""173"", ""0""], [""574"", ""0""], [""7157"", ""0""]]",[]
4,1837,13,50,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/fizzbuzz_count/63.txt,"[[""0"", ""3""], [""0"", ""2""], [""0"", ""3""], [""0"", ""3""], [""2"", ""3""], [""93"", ""3""], [""308"", ""3""], [""3869"", ""3""]]",[]
